case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_035,1,2,component_round_robin,124820,169571,1.3585242749559365,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,45080,10.330484900041483,0.0,,2,2,ok,94f1d1aaf3cab8de33811914e213a837e1f9fe7e9d77b57ce4e6f472fdee8537,False
case_035,1,2,component_lpt,95406,169571,1.7773620107750037,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,74792,17.788640299986582,0.0,,2,2,ok,24f1aad5ee638fa0488320d73d41e162c21dbada17affeebbc106a17375000fc,False
case_035,1,2,chain_heft,303243,169571,0.5591918032732824,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,132.51050980004948,0.0,,2363,2363,ok,ef22bf9f0c36e1ac2451d6d0580486af2097ed4d584824d119b732f185736991,False
case_035,1,2,window8_heft,132622,169571,1.2786038515480087,410854,2627412,2216558,2216558,0,0.0,0,0,0,0,2627412,73728,29184,23.68900139996549,0.0,,257,257,ok,5b7075ead08930d3e31c2c51ddb58e6ffe89b301b82b9cc7686a1e05e279fd9b,False
case_035,1,2,window10_heft,125952,169571,1.3463144690040652,410854,1997262,1586408,1586408,0,0.0,0,0,0,0,1997262,73728,29184,22.568656000017654,0.0,,256,256,ok,99606f5883595877a39814fb90651068ebff65967c080cb7b0e82c6581c1a569,False
case_035,1,2,window16_heft,121314,169571,1.3977859109418533,410854,1567726,1156872,1156872,0,0.0,0,0,0,0,1567726,73728,32768,20.137453800009098,0.0,,149,149,ok,ad80187316ade2187839a05fb00c6f46bc6724722ca03ab6ab28d77a5d3246f8,False
case_035,1,2,component_pipe_lpt,95406,169571,1.7773620107750037,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,31.940117199963424,0.0,,16,16,ok,0149202e6ae650eed70b682b1f685b8080ed1603fb97b009ebddb42812a46f63,False
case_035,1,2,component_comm,98509,169571,1.7213757118638906,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,21.06208100001095,0.0,,16,16,ok,042d2711d3e9a9ca16d14c024b5faa28866c03780004ce1617a4d0aa7bf39250,False
case_035,1,2,pipe_lane_pack,361382,169571,0.46922923665262795,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,112.1379159000353,0.0,,2363,2363,ok,bf1874a7b8dadada00341c7a0c29b83b2607295868173a1a84f6a6dc4352a587,False
case_035,1,2,window2_heft,270753,169571,0.6262940761505874,410854,5781958,5371104,5371104,0,0.0,0,0,0,0,5781958,16384,16386,80.02123429998755,0.0,,1668,1668,ok,1904c35363bbe78c0cf8633a92056ed84c168349e64f239aa580b86d0286220c,False
case_035,1,2,window12_heft,125038,169571,1.3561557286584878,410854,1968414,1557560,1557560,0,0.0,0,0,0,0,1968414,73728,29184,14.549689200008288,0.0,,231,231,ok,ad45078c7ade5912e030a378616282b401a10d58edc1d018d07548b1a2e038a6,False
case_035,1,2,window4_heft,172520,169571,0.9829063297009042,410854,3830874,3420020,3420020,0,0.0,0,0,0,0,3830874,16384,25120,31.22392179997405,0.0,,639,639,ok,7437b4141bbdd9e5f582de54a1e19f96ee7bfc1fa6d520e94d0abe3e3f61a1d9,False
case_035,1,2,bundle_pack,148782,169571,1.1397279240768372,410854,2776972,2366118,2366118,0,0.0,0,0,0,0,2776972,73728,18440,33.35854480002308,0.0,,525,525,ok,04fd117435c6edc5867b9dbe8c136e2c4ce61ac94b999e3042c25dbd0b7e1b6b,False
case_035,1,2,whole_graph,169571,169571,1.0,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,74792,0.0,0.0,,1,1,ok,c317e035dd222500d94dd80cda1ffb33b4e9879e180069ca38fd78c74644dde9,True
case_035,1,3,component_round_robin,102654,169571,1.6518693864827478,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,32784,2.184489700011909,0.0,,3,3,ok,e2d38c06e00b12145e995cf208307cec60df8951ed35176748558fc411c9de59,False
case_035,1,3,component_lpt,95424,169571,1.77702674379611,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,48152,2.148973500006832,0.0,,3,3,ok,354e4d312819e8672ad20177e59aefd320f24a0ae03f16b170d95862195b8919,False
case_035,1,3,component_pipe_balance,95424,169571,1.77702674379611,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,52252,12.124414800025988,0.0,,3,3,ok,0b02840f84ac1317a80c587be25f5786465bdf7aacb664cd0b4109e60eaae64e,False
case_035,1,3,chain_heft,249429,169571,0.679836747130446,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,91.7811490999884,0.0,,2363,2363,ok,4e0fdc6199c4708192234ba5ad36308089864bc70f5f61a659c016ea899fd1c8,False
case_035,1,3,window8_heft,103060,169571,1.6453619250921794,410854,2627412,2216558,2216558,0,0.0,0,0,0,0,2627412,73728,29184,20.906842699972913,0.0,,257,257,ok,2bfb931085d2f7be5d2cd96d11c8088ac8d517980ced09ab1cbb5a60b8ef5192,False
case_035,1,3,window10_heft,97950,169571,1.7311995916283818,410854,1997262,1586408,1586408,0,0.0,0,0,0,0,1997262,73728,29184,5.099910299992189,0.0,,256,256,ok,717d3660d3adc862b611bbc4dccce938e302ef71c96de2ff82433c2c2b6f2459,False
case_035,1,3,window16_heft,98292,169571,1.725176006185651,410854,1567726,1156872,1156872,0,0.0,0,0,0,0,1567726,73728,32768,11.716235200001393,0.0,,149,149,ok,9d86c4905f7c72269a1245bb75825083cf7d4ffa673555ace5e6d241d08ebe6c,False
case_035,1,3,component_pipe_lpt,95424,169571,1.77702674379611,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,26.746774700004607,0.0,,16,16,ok,0926803921bb16565166352c2736eae1aaf87aed578d36c24c91b328ce9dfe18,False
case_035,1,3,component_comm,98527,169571,1.721061231946573,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,32.25407860003179,0.0,,16,16,ok,5b62445e4f20021c8538256e13963dc92c31084a9ff0599a85828495c8e482d6,False
case_035,1,3,pipe_lane_pack,284377,169571,0.5962894326897041,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,94.15532589994837,0.0,,2363,2363,ok,cb3f02cf4b0ae1a7bda3f97f25702ea84a77284f492492f1fc8f1b692b508ce6,False
case_035,1,3,window3_heft,166095,169571,1.0209277822932659,410854,4452812,4041958,4041958,0,0.0,0,0,0,0,4452812,16384,16388,49.75573109998368,0.0,,960,960,ok,29547c3445eefae9d9f9282e740bc5023dd81936f744b6b21df1c3c5089d43e6,False
case_035,1,3,window12_heft,96544,169571,1.7564115843553199,410854,1968414,1557560,1557560,0,0.0,0,0,0,0,1968414,73728,29184,2.9528852999792434,0.0,,231,231,ok,8f0cd21e26d37813241bf2c708b8a162b14ecc5037137fa58dc14879c96ea0af,False
case_035,1,3,whole_graph,169571,169571,1.0,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,74792,0.0,0.0,,1,1,ok,cfa1157c41823ed4367dbc233b3c0f68599f015c1ad84d68dc7b373bb29b4f95,True
case_035,1,4,component_round_robin,104436,169571,1.623683404190126,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,34832,2.1071939999819733,0.0,,4,4,ok,8ab9d1713b697e7e6908fa5b46508d4267e4cbef0ad2368c676eacffa4a4af40,False
case_035,1,4,component_lpt,95442,169571,1.7766916032773832,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,43028,1.994196399988141,0.0,,4,4,ok,aff4e1f1c70a0ed7a17a8fbc8fc08036a7867cac0d04750de6d2e602b118d19f,False
case_035,1,4,component_pipe_balance,95442,169571,1.7766916032773832,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,62496,21.170557799981907,0.0,,4,4,ok,782fac3a2739d36f7aee448f7711e2ce236b8d9351dc0acd961ec31d6de3b15a,False
case_035,1,4,chain_heft,211857,169571,0.8004031020924491,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,89.46027260000119,0.0,,2363,2363,ok,3e87a25994c9cefe446d7c23c8ec80ecc9970af496a5fbb984b124b5e72cce51,False
case_035,1,4,window8_heft,88925,169571,1.9068990722518977,410854,2627412,2216558,2216558,0,0.0,0,0,0,0,2627412,73728,29184,8.937336100032553,0.0,,257,257,ok,39e0307879f3f51772a08887dbd0d6dd7a436581e2381cad86f18628498c28a1,False
case_035,1,4,window10_heft,83857,169571,2.0221448418140406,410854,1997262,1586408,1586408,0,0.0,0,0,0,0,1997262,73728,29184,21.745231900014915,0.0,,256,256,ok,5bc8571c8f03679d4e1d820acf82fa8e9673e26c1a590bac762e4f5999e27561,False
case_035,1,4,window16_heft,85446,169571,1.9845399433560378,410854,1567726,1156872,1156872,0,0.0,0,0,0,0,1567726,73728,32768,9.588049300014973,0.0,,149,149,ok,2bdbe24134f83684817e161481c2e0fdb79b5e28ac0cc14faaf84154d6840785,False
case_035,1,4,component_pipe_lpt,95442,169571,1.7766916032773832,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,22.609911000006832,0.0,,16,16,ok,79ce58d984d8aafc37ca24077b4a2ce4041dae166a86237e0489b4ecdb3aaa35,False
case_035,1,4,component_comm,95442,169571,1.7766916032773832,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,18.547936199989635,0.0,,16,16,ok,09dc86aed15b37ffb0d6fc51bc8e8344b1634dee814289394b09bdb372b3d415,False
case_035,1,4,pipe_lane_pack,248196,169571,0.6832140727489565,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,78.3533683999558,0.0,,2363,2363,ok,39afede9ff41d6c292994baad31ee782b9291f2d065e068ddd216f18c4c29d13,False
case_035,1,4,window3_heft,130470,169571,1.2996934161109834,410854,4452812,4041958,4041958,0,0.0,0,0,0,0,4452812,16384,16388,48.167955700017046,0.0,,960,960,ok,e3bcab89e6f117a368a95c805f14f734dbee7cc396ccb4ade9bfc41065ff03d1,False
case_035,1,4,window12_heft,85436,169571,1.984772227164193,410854,1968414,1557560,1557560,0,0.0,0,0,0,0,1968414,73728,29184,15.398065899964422,0.0,,231,231,ok,805efdda32fe2a897cfd7c3d37acec6832eaf18dcdbc8e9435f1d99d6701d9ba,False
case_035,1,4,whole_graph,169571,169571,1.0,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,74792,0.0,0.0,,1,1,ok,832e3284dba01ae9a13c5e578d58c22b45264636c34d4d400bb4d16f7b86be49,True
case_035,1,5,component_round_robin,99892,169571,1.6975433468145598,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,24588,2.0359946000389755,0.0,,5,5,ok,59e47dedb0be91d656944f47554f8da3b2dd2ae36dcca77a487967f0c753eddc,False
case_035,1,5,component_lpt,95460,169571,1.7763565891472868,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,48152,1.9667732999660075,0.0,,5,5,ok,780a3a7492dce53e125c18cd228c8641a14bdccd24aebd271a07e88cd943a949,False
case_035,1,5,component_pipe_balance,95460,169571,1.7763565891472868,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,39956,13.158940299996175,0.0,,5,5,ok,2a9c08bac57cdbe2eda4f1e0022c7d5b0edcacfc78abde9b27319c4e9a2501fb,False
case_035,1,5,chain_heft,199427,169571,0.8502910839555327,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,70.92477089999011,0.0,,2363,2363,ok,26522960e68ec2d4681db32383aeefcdc3488c120842557a7d91cf2f10b143e3,False
case_035,1,5,window8_heft,81289,169571,2.086026399635867,410854,2627412,2216558,2216558,0,0.0,0,0,0,0,2627412,73728,29184,22.621810899989214,0.0,,257,257,ok,7e1bcf0a3ddb8b90ad0df2680b6a4d439ddc2f9e1d7474d7a115e991edd024e7,False
case_035,1,5,window10_heft,79144,169571,2.1425629232790864,410854,1997262,1586408,1586408,0,0.0,0,0,0,0,1997262,73728,29184,20.895554799993988,0.0,,256,256,ok,19efba9a2e7301f7605805a1df61c69ac83da552c2ee8746b6c60e50a0295054,False
case_035,1,5,window16_heft,79391,169571,2.135897016034563,410854,1567726,1156872,1156872,0,0.0,0,0,0,0,1567726,73728,32768,13.076147299958393,0.0,,149,149,ok,b687df9483142c534cf22ce854d32013030ec759ec20bdefc7c76056494d907d,False
case_035,1,5,component_pipe_lpt,95460,169571,1.7763565891472868,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,32.833846000023186,0.0,,16,16,ok,fa828045672ac8ab5388c1cbb93b8134521bce8eb53df02dc562e8720db62e15,False
case_035,1,5,component_comm,95460,169571,1.7763565891472868,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,23.205350500007626,0.0,,16,16,ok,79f89e5bd176cd8339a909bd4fa8042f4440f3ecad8ee3c9b668eeaf294d1f82,False
case_035,1,5,pipe_lane_pack,226050,169571,0.750148197301482,410854,4592502,4181648,4181648,0,0.0,0,0,0,0,4592502,13824,16384,93.71224749996327,0.0,,2363,2363,ok,c93ad30351c339f7fc09a6db649f8dbed0b86cdef4117ac32f16fa83c93351a6,False
case_035,1,5,window12_heft,80926,169571,2.0953834367199664,410854,1968414,1557560,1557560,0,0.0,0,0,0,0,1968414,73728,29184,24.12263209995581,0.0,,231,231,ok,e1283d6269f157a0cd119ad93370bfd14225110b153598bd8864300bb429f2b7,False
case_035,1,5,window4_heft,107824,169571,1.5726647128654103,410854,3830874,3420020,3420020,0,0.0,0,0,0,0,3830874,16384,25120,36.54413170000771,0.0,,639,639,ok,5236a31de97d0173bd9aae8aaa72920c804a29c8b3a66459677ff8cc18693d9b,False
case_035,1,5,weighted_window_20_s1.0,71491,169571,2.3719209410974806,410854,1891834,1480980,1480980,0,0.0,0,0,0,0,1891834,73728,23808,13.853770199988503,0.0,,140,140,ok,e7fc7e289fa19a316425e1a9d98428675289edd68faab417c5dc008ae6e473f2,False
case_035,1,5,weighted_window_15_s0.65,87170,169571,1.9452908110588505,410854,1424940,1014086,1014086,0,0.0,0,0,0,0,1424940,73728,27904,11.234288299980108,0.0,,105,105,ok,ec1a4e1d6720bf27247620700aa0813df3f252d8f169e68a33eef0b5a9738773,False
case_035,1,5,weighted_window_10_s0.35,87442,169571,1.9392397246174606,410854,1086656,675802,675802,0,0.0,0,0,0,0,1086656,73728,27392,9.056187700014561,0.0,,81,81,ok,829a76d3d03435105553f2e0d93398082071967e1bfcbcdb900da163e9b23956,False
case_035,1,5,critical_cut_b0.16_s1.0,95500,169571,1.775612565445026,410854,649944,239090,239090,0,0.0,0,0,0,0,649944,73728,19140,6.9601203999482095,0.0,,125,125,ok,c6c1deb63aca9c33207290628d8d53e818a8b7fed4d1cbfc6892e65d727d3866,False
case_035,1,5,critical_cut_b0.06_s0.35,90911,169571,1.8652418299215716,410854,823406,412552,412552,0,0.0,0,0,0,0,823406,73728,19140,11.561669900023844,0.0,,83,83,ok,e3aecbd6a021598dcbd1016ae6f8b9d92bd266653afec72b6754ef683fd7b61c,False
case_035,1,5,win_w5,99395,169571,1.7060314905176317,410854,3332880,2922026,2922026,0,0.0,0,0,0,0,3332880,16384,28704,20.651567100023385,0.0,,596,596,ok,bc9a9840c83f8917cf5780617991f9556eb8b7aadcae5aa3057ad2b08350475a,False
case_035,1,5,win_w7,81624,169571,2.077464961285896,410854,2621286,2210432,2210432,0,0.0,0,0,0,0,2621286,13824,29184,19.613725500006694,0.0,,308,308,ok,c3411cfb77ca7d6409a765bf732b6e258df3643dfb563e243913902d41f1b0f3,False
case_035,1,5,win_w14,80686,169571,2.1016161415859007,410854,1566540,1155686,1155686,0,0.0,0,0,0,0,1566540,73728,29184,14.009157399996184,0.0,,175,175,ok,4b266a9bd7eecd5adf83eeaf1c14124edf8f4f14607a5f5a67ec7407c8954b67,False
case_035,1,5,win_w23,80702,169571,2.101199474610295,410854,1213974,803120,803120,0,0.0,0,0,0,0,1213974,73728,32768,11.78363530000206,0.0,,104,104,ok,4c4c83bcf891db52c27791e8c57f39b0addb44aa0e62757e6bd38edeee75b16e,False
case_035,1,5,stageU4_k5,97511,169571,1.7389935494457036,410854,1064472,653618,653618,0,0.0,0,0,0,0,1064472,73728,19652,10.016654399980325,0.0,,139,139,ok,94d9bcbe7851714a3aaa330148b78cebf19b08e174db1a1fe2a35d9da30a3897,False
case_035,1,5,stageC5_k4,96507,169571,1.7570849782917302,410854,527218,116364,116364,0,0.0,0,0,0,0,527218,73728,19652,16.37352009996539,0.0,,64,64,ok,2323f0f153ad3f4494f1cd810e18e4a79b7d91c6c4415abedd490923c4490007,False
case_035,1,5,stageU12_k5,103058,169571,1.6453938558869763,410854,2611352,2200498,2200498,0,0.0,0,0,0,0,2611352,13824,32288,11.616973099997267,0.0,,479,479,ok,49be3de2af1e2add912edcce0626b92fe7941f30388d3f622cbe23e1974d4ac2,False
case_035,1,5,component_group3,137234,169571,1.2356340265531864,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,31760,18.46941010002047,0.0,,6,6,ok,4457fe3669a8a5fe9ad10c92454cbff84eeae098de8d83961dd73f096f8262e7,False
case_035,1,5,component_group4,137460,169571,1.2336025025461952,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,32784,20.64376020000782,0.0,,4,4,ok,fed299d5349785693eb23f5cd0888e864a53c2957e7d0697d61dad4ecf435598,False
case_035,1,5,component_group8,144486,169571,1.1736154367897236,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,52252,31.198819200042635,0.0,,2,2,ok,33dfa0b4662b4cddb35b8c7adda8bbf8baf2ef89beb5c79be398cae77784be66,False
case_035,1,5,pipevec_merge,95460,169571,1.7763565891472868,410854,420070,9216,9216,0,0.0,0,0,0,0,420070,73728,19654,22.83494949998567,0.0,,16,16,ok,634551a7cba7437c06ee2f89dd6660c8555a6b89bed277a87c512b4dabc886d2,False
case_035,1,5,membatch_70,95460,169571,1.7763565891472868,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,19654,24.360371500020847,0.0,,10,10,ok,9a42616c3e2573b1c8f3eb904feea3d79eccbe4c52ec46bad54869743c053288,False
case_035,1,5,kios_pipe_vector_lpt,95460,169571,1.7763565891472868,410854,415462,4608,4608,0,0.0,0,0,0,0,415462,73728,62496,29.59196479996899,0.0,,5,5,ok,d080891ed1acfa7486aec99f897807499e58ede36068b7154cb42ac9edd306c1,False
case_035,1,5,kios_adaptive_batch_t8,95460,169571,1.7763565891472868,410854,410854,0,0,0,0.0,0,0,0,0,410854,73728,19654,16.805943900020793,0.0,,14,14,ok,c484fbf2adc9c4b180312ac57b417d8fafe12bcf6f131df4090714ba1c2bfa30,False
