case,limit_seconds,elapsed_seconds,stage,remote_host,command,output_dir,status
case_056,600,669.2363515999168,candidate_eval,jishishan-remote,conda run -n yolonew python -u src/run_experiments.py --mode full --problems 1 --cores 1 5 --cases case_056 case_075 case_009 case_050 case_068 case_086 case_039 case_019 case_064 case_085 --workers 4 --budget standard,C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_stageA,completed_after_target
case_085,600,821.1214151999447,candidate_eval,jishishan-remote,conda run -n yolonew python -u src/run_experiments.py --mode full --problems 1 --cores 1 5 --cases case_056 case_075 case_009 case_050 case_068 case_086 case_039 case_019 case_064 case_085 --workers 4 --budget standard,C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_stageA,completed_after_target
case_072,600,634.000246400014,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_072 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_072 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_072.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_072,completed_after_target
case_025,600,908.430258899985,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_025 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_025 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_025.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_025,completed_after_target
case_087,600,3371.61287300015,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_087 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_087 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_087.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_087,completed_after_target
case_076,600,619.129993999959,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_076 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_076 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_076.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_076,completed_after_target
case_062,600,2581.78705040005,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_062 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_062 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_062.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_062,completed_after_target
case_079,600,1871.70739330002,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_079 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_079 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_079.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_079,completed_after_target
case_028,600,1323.62420969992,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_028 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_028 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_028.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_028,completed_after_target
case_058,600,1344.32029370009,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_058 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_058 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_058.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_058,completed_after_target
