case,1核,2核,3核,4核,5核
case_001,0.00,1.29,0.58,0.60,18.80
case_002,0.00,28.76,29.00,29.83,53.78
case_003,0.00,122.85,120.53,522.71,143.59
case_004,0.00,1.49,0.84,1.17,24.02
case_005,0.00,318.22,191.31,211.15,548.79
case_006,0.00,1.56,1.21,1.75,84.50
case_007,0.00,139.96,74.32,60.05,330.03
case_008,0.00,1.56,0.68,0.61,35.63
case_009,0.00,500.41,465.56,432.74,201.03
case_010,0.00,1.80,1.70,2.24,103.29
case_011,0.00,1.53,1.27,1.57,37.90
case_012,0.00,2.07,1.98,4.22,65.77
case_013,0.00,30.91,14.07,10.54,128.57
case_014,0.00,546.26,24.68,23.36,417.54
case_015,0.00,2.30,1.51,2.77,94.33
case_016,0.00,126.54,94.94,526.08,81.60
case_017,0.00,3.29,4.78,4.29,101.89
case_018,0.00,64.20,67.82,66.15,195.12
case_019,0.00,1.58,1.15,1.42,83.94
case_020,0.00,40.57,21.76,20.86,113.85
case_021,0.00,140.07,101.73,33.03,477.08
case_022,0.00,2.80,2.25,3.48,86.52
case_023,0.00,2.59,1.89,2.35,52.02
case_024,0.00,368.70,177.17,200.75,571.00
case_025,0.00,186.38,51.31,39.27,95.22
case_026,0.00,1.75,1.56,3.30,105.83
case_027,0.00,5.08,5.03,4.69,123.81
case_028,0.00,287.60,74.99,51.86,105.84
case_029,0.00,1.50,0.74,0.59,35.89
case_030,0.00,44.45,575.93,489.06,96.02
case_031,0.00,66.15,56.26,52.35,330.58
case_032,0.00,4.39,2.03,2.61,54.99
case_033,0.00,240.47,128.68,99.88,109.80
case_034,0.00,237.95,115.47,110.73,274.88
case_035,0.00,332.11,196.88,185.98,110.82
case_036,0.00,61.74,28.99,21.53,182.08
case_037,0.00,1.45,1.01,1.43,28.49
case_038,0.00,89.69,55.58,71.36,346.62
case_039,0.00,65.17,36.09,44.85,79.92
case_040,0.00,79.26,146.60,138.16,127.55
case_041,0.00,138.91,146.14,370.70,284.63
case_042,0.00,406.33,222.86,217.29,178.30
case_043,0.00,437.21,114.03,111.39,223.52
case_044,0.00,3.45,2.84,3.34,54.39
case_045,0.00,2.19,2.13,3.99,77.94
case_046,0.00,1.67,0.78,1.17,37.27
case_047,0.00,93.27,87.75,88.11,244.32
case_048,0.00,36.34,36.62,43.84,55.11
case_049,0.00,408.16,317.06,289.66,96.47
case_050,0.00,417.47,359.73,310.40,154.24
case_051,0.00,5.83,6.77,6.81,168.28
case_052,0.00,2.30,2.22,3.76,72.07
case_053,0.00,66.36,148.55,580.66,175.73
case_054,0.00,164.90,162.10,375.67,206.99
case_055,0.00,2.52,2.06,3.09,73.84
case_056,0.00,145.34,139.02,140.19,193.78
case_057,0.00,4.35,2.30,1.78,76.59
case_058,0.00,79.89,34.84,78.24,84.21
case_059,0.00,35.03,36.24,13.79,344.55
case_060,0.00,64.20,46.00,53.19,248.69
case_061,0.00,2.77,2.38,5.66,87.33
case_062,0.00,291.65,181.18,161.85,212.23
case_063,0.00,397.73,295.43,427.01,178.61
case_064,0.00,5.02,2.88,4.44,181.93
case_065,0.00,1.79,1.77,2.30,36.28
case_066,0.00,87.42,91.12,91.95,215.20
case_067,0.00,530.45,173.56,142.67,478.22
case_068,0.00,507.13,345.32,308.06,189.31
case_069,0.00,5.14,5.66,5.32,105.89
case_070,0.00,2.57,2.04,3.93,77.71
case_071,0.00,3.29,2.73,3.96,212.77
case_072,0.00,392.37,36.68,38.91,38.63
case_073,0.00,257.61,67.92,70.24,96.84
case_074,0.00,220.56,115.04,118.78,111.20
case_075,0.00,148.94,131.52,104.29,121.86
case_076,0.00,445.64,41.34,44.41,41.28
case_077,0.00,234.06,146.28,116.38,124.86
case_078,0.00,2.53,1.78,2.53,176.35
case_079,0.00,265.89,146.60,48.66,278.84
case_080,0.00,2.52,1.98,3.57,69.24
case_081,0.00,48.28,8.49,12.52,335.96
case_082,0.00,316.38,221.02,214.45,559.80
case_083,0.00,126.86,35.92,32.62,52.16
case_084,0.00,207.22,170.54,122.49,210.57
case_085,0.00,217.46,162.48,161.07,166.14
case_086,0.00,459.81,355.47,339.04,114.82
case_087,0.00,207.02,59.11,77.36,252.51
case_088,0.00,234.24,172.71,156.98,244.19
case_089,0.00,85.77,44.89,49.31,350.24
case_090,0.00,5.81,4.03,5.37,31.15
case_091,0.00,489.10,35.62,31.38,407.84
case_092,0.00,183.20,49.18,265.44,60.02
case_093,0.00,1.66,0.82,1.55,18.03
case_094,0.00,1.48,0.95,1.03,34.18
case_095,0.00,180.79,49.84,34.01,415.14
case_096,0.00,2.42,2.54,4.15,198.25
case_097,0.00,89.61,55.31,29.51,394.53
case_098,0.00,3.97,5.26,7.56,144.45
case_099,0.00,86.96,64.28,76.82,403.34
case_100,0.00,4.46,4.60,8.50,244.02
