case,1核来源,2核来源,3核来源,4核来源,5核来源
case_001,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_002,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_003,无候选搜索,单进程重测,单进程重测,全量记录,五核交付记录
case_004,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_005,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_006,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_007,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_008,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_009,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_010,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_011,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_012,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_013,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_014,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_015,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_016,无候选搜索,单进程重测,单进程重测,全量记录,五核交付记录
case_017,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_018,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_019,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_020,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_021,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_022,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_023,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_024,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_025,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_026,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_027,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_028,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_029,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_030,无候选搜索,单进程重测,全量记录,全量记录,单进程抽测
case_031,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_032,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_033,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_034,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_035,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_036,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_037,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_038,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_039,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_040,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_041,无候选搜索,单进程重测,单进程重测,全量记录,五核交付记录
case_042,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_043,无候选搜索,全量记录,单进程重测,单进程重测,单进程重测
case_044,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_045,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_046,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_047,无候选搜索,单进程重测,单进程重测,单进程重测,单进程重测
case_048,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_049,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_050,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_051,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_052,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_053,无候选搜索,单进程重测,单进程重测,全量记录,五核交付记录
case_054,无候选搜索,单进程重测,单进程重测,全量记录,五核交付记录
case_055,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_056,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_057,无候选搜索,全量记录,全量记录,全量记录,单进程重测
case_058,无候选搜索,单进程重测,单进程重测,单进程重测,单进程抽测
case_059,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_060,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_061,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_062,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_063,无候选搜索,全量记录,全量记录,全量记录,单进程抽测
case_064,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_065,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
case_066,无候选搜索,全量记录,全量记录,全量记录,五核交付记录
