case,cores,method,makespan,baseline_makespan,speedup,added_copy_bytes,plan_path,plan_sha256,evidence
case_001,1,official_singlecore,233110,233110,1.0,0,solutions/1cores/case_001_multicore_res.json,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,new_full_search_and_replay
case_001,2,component_round_robin,116868,233110,1.9946435294520313,1152,solutions/2cores/case_001_multicore_res.json,0040a23dc730aa8e8fe425b4ff3ea2a72aefcd3b896a9f9efafc82f7de6897a5,new_full_search_and_replay
case_001,3,component_round_robin,78545,233110,2.9678528232223567,2304,solutions/3cores/case_001_multicore_res.json,a6063c8a12cfb0cb464ac7480454ac2e51d5e31e3416f5d0166d7481869d3b67,new_full_search_and_replay
case_001,4,component_round_robin,58984,233110,3.952088702020887,3456,solutions/4cores/case_001_multicore_res.json,eeccf28f989ea7980e959263b12ef31c0385c9a3fc32aae307f00370374fe8f6,new_full_search_and_replay
case_001,5,component_round_robin,47502,233110,4.9073723211654245,4608,solutions/5cores/case_001_multicore_res.json,3963d4ccddacb77293b6bfe4fb886fcee56d01e3410255737c44d548e7a6b586,delivered_method_reconstruction_and_replay
case_002,1,official_singlecore,261945,261945,1.0,0,solutions/1cores/case_002_multicore_res.json,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,new_full_search_and_replay
case_002,2,window16_heft,133697,261945,1.9592436629094145,27648,solutions/2cores/case_002_multicore_res.json,d2e363bf67e137e9717c8d0b01bde2bbbee6e80461e1d4cea4e1afc505064e2a,new_full_search_and_replay
case_002,3,window12_heft,92552,261945,2.8302467801884346,56832,solutions/3cores/case_002_multicore_res.json,e4b29c420a2bfb65f0b107b7586b2fda9555edb72f1356b9d92c955939d7366a,new_full_search_and_replay
case_002,4,window12_heft,71033,261945,3.687652217983191,56832,solutions/4cores/case_002_multicore_res.json,f61bd56a1155e37284130924b57ebc4b389758e3bdaab7852b2e4d0f800c8a1e,new_full_search_and_replay
case_002,5,hybrid20_10,60113,261945,4.357543293463976,144384,solutions/5cores/case_002_multicore_res.json,6c5bccea3ec782b6429e137a1180b91e901675a7bfd7a3b047f68e51ec5c394e,delivered_method_reconstruction_and_replay
case_003,1,official_singlecore,602212,602212,1.0,0,solutions/1cores/case_003_multicore_res.json,59e61548feaac7f30e65f6e04ca4e46b9086de91c1484308305fc0f77f4d4eae,new_full_search_and_replay
case_003,2,hybrid20_10,370467,602212,1.625548294449978,6317832,solutions/2cores/case_003_multicore_res.json,a2fb433b13543e0dd3253b393d640335605eca2534500fa51bc88271af553f7a,new_full_search_and_replay
case_003,3,window10_heft,273294,602212,2.2035317277364306,8736448,solutions/3cores/case_003_multicore_res.json,ac7d31a9481ecd97d5482974fdd4c4048e9b84025851b6301f2089f1dda77fe4,new_full_search_and_replay
case_003,4,window10_lowcomm,227420,602212,2.648016885058482,8736448,solutions/4cores/case_003_multicore_res.json,96e2f591b2a97c20951ff58142b2fb34fb5c0c2d3ddf1ca805ecde1617f36a28,new_full_search_and_replay
case_003,5,heft_cal_w10_b0.2,204139,602212,2.950009552314844,8736448,solutions/5cores/case_003_multicore_res.json,a431f3560c7d4ef5569d245cfa61b8c789b8a6cd88d7dd061c3438322090e255,delivered_method_reconstruction_and_replay
case_004,1,official_singlecore,392357,392357,1.0,0,solutions/1cores/case_004_multicore_res.json,2be095fa21b5a684c0942382e4142aacda3287bbe85f3ede09ab7a5f720f5245,new_full_search_and_replay
case_004,2,component_round_robin,199074,392357,1.9709103147573264,110592,solutions/2cores/case_004_multicore_res.json,98de9bc9f39570a287ffd2e1129e9e78c5a3d5fc2142f4281fb36438113305da,new_full_search_and_replay
case_004,3,component_round_robin,134043,392357,2.927098020784375,221184,solutions/3cores/case_004_multicore_res.json,db11d22050df733605df72113c4dc0f630b4a3c8f308066e288422624de26ac1,new_full_search_and_replay
case_004,4,component_round_robin,104188,392357,3.765855952700887,331776,solutions/4cores/case_004_multicore_res.json,dbfebd8373e1d3cdb8c36910e549a95832b684e9e1d6fedef1939150c3c09bb9,new_full_search_and_replay
case_004,5,component_round_robin,88341,392357,4.441391879195391,442368,solutions/5cores/case_004_multicore_res.json,64dfb598f993236d36d0905d10ea638ffc12ba0e401c4468a6163c543301d4f5,delivered_method_reconstruction_and_replay
