case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,status,plan_sha256,reused_singlecore
case_001,1,5,component_round_robin,47502,233110,4.9073723211654245,1639552,1644160,4608,4608,0,0.0,0,0,0,0,1644160,13440,8192,0.48251770000206307,0.0,,5,5,ok,8bbb5cdc53db45251b1d0840f587de58fd1d232ff41cadc1bab3b9d244fbe497,False
case_001,1,5,component_pipe_lpt,88140,233110,2.6447696845926933,1639552,1868800,229248,229248,0,0.0,0,0,0,0,1868800,9344,8192,0.8681987999880221,0.0,,200,200,ok,4b38214170a55c2e88aa0bf4b84836cf01b72824bf853b0d49e987b8024092e6,False
case_001,1,5,weighted_window_20_s1.0,165140,233110,1.4115901659198256,1639552,5964800,4325248,4325248,0,0.0,0,0,0,0,5964800,9344,8192,2.5297706999990623,0.0,,600,600,ok,9f81b2a6659ca10dbeddb70892a95931945c63759744b280a8964c97f03f7b8d,False
case_001,1,5,weighted_window_15_s0.65,130500,233110,1.7862835249042146,1639552,4326400,2686848,2686848,0,0.0,0,0,0,0,4326400,9344,8192,1.9844789000053424,0.0,,400,400,ok,a599b5565dcc3db3b4451c1bd48aeb6f27875e2c8c456ba1bb9dacfb02d16258,False
case_001,1,5,critical_cut_b0.16_s1.0,138717,233110,1.6804717518400774,1639552,4645888,3006336,3006336,0,0.0,0,0,0,0,4645888,9344,8192,2.2274845000065397,0.0,,439,439,ok,0687d81aeacd78066c178347cd580765ae4d9591fc267a69ec27c059f7b49210,False
case_001,1,5,critical_cut_b0.06_s0.35,123437,233110,1.8884937255442047,1639552,3933184,2293632,2293632,0,0.0,0,0,0,0,3933184,9344,8192,1.7258349000185262,0.0,,368,368,ok,a5998e62dfc2757255a5d4d0c96f433f4cfb266ab78517d404d66ef8082b0d31,False
case_001,1,5,component_group3,62833,233110,3.7099931564623687,1639552,1715584,76032,76032,0,0.0,0,0,0,0,1715584,13440,8192,0.6497566000034567,0.0,,67,67,ok,ecd2c8ed4a0da9a572e02d82af31968fb617436f1f73099a98c7a47541a17302,False
case_001,1,5,component_group4,56880,233110,4.098277074542898,1639552,1696000,56448,56448,0,0.0,0,0,0,0,1696000,13440,8192,0.30563980000442825,0.0,,50,50,ok,ef392180c028b7a19aa7dcb3ee4444f44dc3a70208646adf49ecaf4417c2934d,False
case_001,1,5,component_group5,54796,233110,4.25414263814877,1639552,1684480,44928,44928,0,0.0,0,0,0,0,1684480,13440,8192,0.600607400003355,0.0,,40,40,ok,de403611ecaa31a292b296eeaed7f7f4154cfab2f90beee70c31f2cb2b787a21,False
case_001,1,5,component_group6,55855,233110,4.1734849163011365,1639552,1677568,38016,38016,0,0.0,0,0,0,0,1677568,13440,8192,0.5862664000014775,0.0,,34,34,ok,aaefd41c7462e468b294c4498190d89c6befb164bdf696d649dd28d7b4728b78,False
case_001,1,5,component_group8,51670,233110,4.511515386104122,1639552,1667200,27648,27648,0,0.0,0,0,0,0,1667200,13440,8192,0.6435759000014514,0.0,,25,25,ok,ed78317e6e49c1ace44a7b49b824a24f16c81a8dc1d0a9d7fa5bbfb41eff5496,False
case_001,1,5,membatch_70,50628,233110,4.604369123805009,1639552,1661440,21888,21888,0,0.0,0,0,0,0,1661440,13440,8192,0.8272869999927934,0.0,,20,20,ok,4346780813478b15e20c99e6425a43158821605615c1caf4a00aa0dec5ce1f9e,False
case_001,1,5,whole_graph,233110,233110,1.0,1639552,1639552,0,0,0,0.0,0,0,0,0,1639552,13440,8192,0.009439999994356185,0.0,,1,1,ok,3cb96911ec6cbc5122786637040ecf2c1c0796c44466a1b1408d3e452bf1556d,True
case_002,1,5,component_round_robin,261945,261945,1.0,1224192,1224192,0,0,0,0.0,0,0,0,0,1224192,7680,13824,7.949999417178333e-05,0.0,,1,1,ok,d2461fc04aee470915e433ef02ffe477fb2123a652e74c57fc35458cccf1f0eb,True
