case,problem,cores,method,makespan,baseline_makespan,speedup,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_accesses,physical_ddr_bytes_derived,peak_L1,peak_UB,evaluation_seconds,solver_seconds,official_task_count,executed_task_count_derived,subgraph_count,candidate_count,invalid_candidate_count,search_evaluation_seconds,official_result_path,plan_path,cache_speedup_vs_same_plan
case_001,1,5,component_round_robin,47502,233110,4.9073723211654245,1639552,1644160,4608,4608,0,0.0,0,0,0,0,1644160,13440,8192,0.48251770000206307,0.26899569999659434,,5,5,13,0,13.440858600020874,official_results/case_001_p1_n5.json.gz,plans/case_001_p1_n5.json,
case_002,1,5,hybrid20_10,60113,261945,4.357543293463976,1224192,1368576,144384,144384,0,0.0,0,0,0,0,1368576,7680,10752,0.7161133000045083,0.6493151999893598,,48,48,23,0,90.13526450001518,official_results/case_002_p1_n5.json.gz,plans/case_002_p1_n5.json,
case_003,1,5,window10_heft,211232,602212,2.8509506135434024,1284264,10020712,8736448,8736448,0,0.0,0,0,0,0,10020712,108544,18560,23.21557450000546,4.538211600010982,,541,541,19,0,1823.9667249999766,official_results/case_003_p1_n5.json.gz,plans/case_003_p1_n5.json,
case_004,1,5,component_round_robin,88341,392357,4.441391879195391,792576,1234944,442368,442368,0,0.0,0,0,0,0,1234944,125952,12288,0.6562070999934804,0.1926841999811586,,5,5,17,0,23.7424082000216,official_results/case_004_p1_n5.json.gz,plans/case_004_p1_n5.json,
case_005,1,5,win_w23,58427,95618,1.6365379019973643,333414,1694752,1361338,1361338,0,0.0,0,0,0,0,1694752,14112,23090,5.194035900000017,3.2011622000136413,,38,38,24,0,205.2533606000361,official_results/case_005_p1_n5.json.gz,plans/case_005_p1_n5.json,
case_006,1,5,scene_a_spine,21188,82837,3.909618652067208,543348,814920,271572,271572,0,0.0,0,0,0,0,814920,32768,57348,0.6700143000052776,0.6301829000003636,,46,46,31,0,23.799919600016437,official_results/case_006_p1_n5.json.gz,plans/case_006_p1_n5.json,
case_007,1,5,component_round_robin,203834,1012562,4.967581463347626,1732608,1843200,110592,110592,0,0.0,0,0,0,0,1843200,35328,6144,4.246175000007497,1.5104551000113133,,5,5,12,0,175.3684831999126,official_results/case_007_p1_n5.json.gz,plans/case_007_p1_n5.json,
case_008,1,5,component_round_robin,100603,487605,4.846823653370178,2654424,2654424,0,0,0,0.0,0,0,0,0,2654424,36864,37056,0.420569699985208,0.21090030000777915,,5,5,14,0,20.050743499974487,official_results/case_008_p1_n5.json.gz,plans/case_008_p1_n5.json,
case_009,1,5,window10_heft,74382,153261,2.0604581753650075,495332,2060822,1565490,1565490,0,0.0,0,0,0,0,2060822,15872,20486,8.893257599993376,5.0040752000059,,335,335,32,0,541.3414401999617,official_results/case_009_p1_n5.json.gz,plans/case_009_p1_n5.json,
case_010,1,5,bundle_pack,23710,86969,3.6680303669337833,384150,960142,575992,575992,0,0.0,0,0,0,0,960142,16384,32770,0.3328495000023395,0.4948355999949854,,47,47,33,0,15.699198099813657,official_results/case_010_p1_n5.json.gz,plans/case_010_p1_n5.json,
case_011,1,5,component_group4,46880,184697,3.9397824232081913,606208,1687552,1081344,1081344,0,0.0,0,0,0,0,1687552,69632,0,0.6351767999876756,0.511753900005715,,4,4,23,0,30.077873500064015,official_results/case_011_p1_n5.json.gz,plans/case_011_p1_n5.json,
case_012,1,5,component_lpt,13406,59088,4.407578696106221,554898,608466,53568,53568,0,0.0,0,0,0,0,608466,28224,30728,1.5292080999934115,0.7524125000054482,,5,5,27,0,45.371408100036206,official_results/case_012_p1_n5.json.gz,plans/case_012_p1_n5.json,
case_013,1,5,component_round_robin,54363,263949,4.855305998565201,2527232,2560000,32768,32768,0,0.0,0,0,0,0,2560000,20480,0,1.2361600000003818,0.4441833000164479,,5,5,10,0,70.94183890003478,official_results/case_013_p1_n5.json.gz,plans/case_013_p1_n5.json,
case_014,1,5,component_batches,3678253,17698626,4.811693486010886,9932740,114641356,104708616,99970224,4738392,0.0,0,0,0,0,114641356,523152,132,25.121817699982785,3.6349863999930676,,152,152,6,0,3133.2276767999865,official_results/case_014_p1_n5.json.gz,plans/case_014_p1_n5.json,
case_015,1,5,component_group3,40013,177362,4.432609401944368,884614,1127302,242688,242688,0,0.0,0,0,0,0,1127302,196608,114700,0.741295399988303,0.42445500000030734,,16,16,29,0,27.98046200015233,official_results/case_015_p1_n5.json.gz,plans/case_015_p1_n5.json,
case_016,1,5,stage_pack,3223183,7715523,2.3937589023024755,393218,119949170,119555952,119555952,0,0.0,0,0,0,0,119949170,32768,65538,73.60875270000543,5.041196199978003,,1830,1830,13,0,802.7169874999672,official_results/case_016_p1_n5.json.gz,plans/case_016_p1_n5.json,
case_017,1,5,component_batches,33998,162810,4.788811106535679,643862,984854,340992,340992,0,0.0,0,0,0,0,984854,86016,43020,1.7636779000167735,0.28655339998658746,,9,9,27,0,52.94241979991784,official_results/case_017_p1_n5.json.gz,plans/case_017_p1_n5.json,
case_018,1,5,component_batches_128,203962,1004367,4.924284915817652,1592848,8138256,6545408,6545408,0,0.0,0,0,0,0,8138256,282624,65536,2.710859499988146,0.9853019000147469,,25,25,29,0,108.5200627000595,official_results/case_018_p1_n5.json.gz,plans/case_018_p1_n5.json,
case_019,1,5,scene_a_peft,19881,81144,4.081484834766862,186984,449264,262280,262280,0,0.0,0,0,0,0,449264,28416,18432,0.6112715000053868,0.5993524999939837,,35,35,32,0,19.81461509995279,official_results/case_019_p1_n5.json.gz,plans/case_019_p1_n5.json,
case_020,1,5,component_lpt,107650,532746,4.948871342313051,2359296,2359296,0,0,0,0.0,0,0,0,0,2359296,0,32768,8.184972099988954,2.6873020000057295,,5,5,19,0,491.15201710001566,official_results/case_020_p1_n5.json.gz,plans/case_020_p1_n5.json,
case_021,1,5,component_group8,1243902,6567937,5.280108079253832,3338240,10711040,7372800,7372800,0,0.0,0,0,0,0,10711040,231424,0,3.5453205999801867,1.2433038000017405,,10,10,19,0,174.26327529994887,official_results/case_021_p1_n5.json.gz,plans/case_021_p1_n5.json,
case_022,1,5,component_lpt,11603,56780,4.893562009825045,213686,234422,20736,20736,0,0.0,0,0,0,0,234422,22528,63496,1.677302200027043,0.3110846999916248,,5,5,28,0,36.397397500113584,official_results/case_022_p1_n5.json.gz,plans/case_022_p1_n5.json,
case_023,1,5,component_lpt,24573,122614,4.989785536971473,443444,788084,344640,344640,0,0.0,0,0,0,0,788084,90112,28806,1.7295884999912232,0.26502230000915006,,5,5,27,0,36.31483339998522,official_results/case_023_p1_n5.json.gz,plans/case_023_p1_n5.json,
case_024,1,5,bundle_pack,1067515,2555343,2.3937302988716787,393218,39720866,39327648,39327648,0,0.0,0,0,0,0,39720866,32768,65538,10.770644000003813,4.493577199988067,,606,606,24,0,195.5115805999667,official_results/case_024_p1_n5.json.gz,plans/case_024_p1_n5.json,
case_025,1,5,component_round_robin,975282,4863026,4.986276789687495,8217600,8328192,110592,110592,0,0.0,0,0,0,0,8328192,35328,6144,124.3493667000148,1.9798478999873623,,5,5,4,0,333.4177512000315,official_results/case_025_p1_n5.json.gz,plans/case_025_p1_n5.json,
case_026,1,5,bundle_pack,33988,99203,2.9187654466282216,528854,1402334,873480,873480,0,0.0,0,0,0,0,1402334,32768,57344,0.5158711000112817,0.3393686000199523,,60,60,33,0,20.731353200011654,official_results/case_026_p1_n5.json.gz,plans/case_026_p1_n5.json,
case_027,1,5,scene_a_spine,494406,2363952,4.7813982840014075,2039808,9732096,7692288,7692288,0,0.0,0,0,0,0,9732096,59392,0,1.6126180999854114,0.48637389999930747,,104,104,24,0,50.88101239997195,official_results/case_027_p1_n5.json.gz,plans/case_027_p1_n5.json,
case_028,1,5,scene_a_peft,8470888,43836040,5.174904921420281,5908608,332684928,326776320,326776320,0,0.0,0,0,0,0,332684928,191232,0,29.945732000021962,1.8866124000051059,,165,165,12,0,463.68619850004325,official_results/case_028_p1_n5.json.gz,plans/case_028_p1_n5.json,
case_029,1,5,component_round_robin,9383,37555,4.002451241607162,430164,430164,0,0,0,0.0,0,0,0,0,430164,0,14340,0.8467426999995951,0.4200886999897193,,5,5,19,0,29.333001999999397,official_results/case_029_p1_n5.json.gz,plans/case_029_p1_n5.json,
case_030,1,5,component_pipe_balance,561102,2808034,5.004498290863337,2394060,13873100,11479040,7463936,4015104,0.0,0,0,0,0,13873100,524288,132,156.67785349997575,2.6142060999991372,,5,5,14,0,1297.4081047999498,official_results/case_030_p1_n5.json.gz,plans/case_030_p1_n5.json,
case_031,1,5,component_lpt,284848,1414369,4.965346430376902,2185040,10116944,7931904,6274560,1657344,0.0,0,0,0,0,10116944,524288,57344,42.4406944999937,1.6271960000158288,,5,5,28,0,475.71309229987673,official_results/case_031_p1_n5.json.gz,plans/case_031_p1_n5.json,
case_032,1,5,membatch_70,10220,41443,4.05508806262231,293088,305448,12360,12360,0,0.0,0,0,0,0,305448,40960,36876,0.6699263000045903,0.42609619998256676,,7,7,28,0,31.546928199968534,official_results/case_032_p1_n5.json.gz,plans/case_032_p1_n5.json,
case_033,1,5,component_lpt,355102,1774196,4.996299654747086,2972910,10789230,7816320,6509184,1307136,0.0,0,0,0,0,10789230,523776,40964,15.37033119998523,0.9475697999878321,,5,5,29,0,143.6805458999297,official_results/case_033_p1_n5.json.gz,plans/case_033_p1_n5.json,
case_034,1,5,component_lpt,171637,842996,4.911505095055262,2280386,5948354,3667968,3618816,49152,0.0,0,0,0,0,5948354,361984,122890,14.108344100008253,1.6724442999984603,,5,5,28,0,294.078510500025,official_results/case_034_p1_n5.json.gz,plans/case_034_p1_n5.json,
case_035,1,5,weighted_window_20_s1.0,71491,169571,2.3719209410974806,410854,1891834,1480980,1480980,0,0.0,0,0,0,0,1891834,73728,23808,1.8174150999984704,2.034350700007053,,140,140,32,0,122.84760959987761,official_results/case_035_p1_n5.json.gz,plans/case_035_p1_n5.json,
case_036,1,5,component_round_robin,187182,931510,4.976493466252097,6554752,6559360,4608,4608,0,0.0,0,0,0,0,6559360,13440,8192,1.6685099999886006,0.6653915999922901,,5,5,9,0,113.08361669999431,official_results/case_036_p1_n5.json.gz,plans/case_036_p1_n5.json,
case_037,1,5,component_group4,43013,210001,4.882268151489085,614400,1925120,1310720,1310720,0,0.0,0,0,0,0,1925120,73728,0,0.7026689999911468,0.31078179998439737,,5,5,17,0,15.52870349996374,official_results/case_037_p1_n5.json.gz,plans/case_037_p1_n5.json,
case_038,1,5,component_lpt,275133,1364555,4.959619529463932,2802950,12479750,9676800,8567808,1108992,0.0,0,0,0,0,12479750,523776,36864,49.212322599982144,3.02313139999751,,5,5,29,0,539.3131449000502,official_results/case_038_p1_n5.json.gz,plans/case_038_p1_n5.json,
case_039,1,5,component_group8,349807,1435262,4.103011088971919,4489216,15228928,10739712,10739712,0,0.0,0,0,0,0,15228928,495616,0,9.027656299993396,2.016837100003613,,9,9,19,0,393.6154573998938,official_results/case_039_p1_n5.json.gz,plans/case_039_p1_n5.json,
case_040,1,5,win_w23,93569,253454,2.7087390054398357,911238,2279916,1368678,1368678,0,0.0,0,0,0,0,2279916,245760,73728,1.4244326000043657,1.8942674999998417,,91,91,32,0,100.21296110001276,official_results/case_040_p1_n5.json.gz,plans/case_040_p1_n5.json,
case_041,1,5,component_pipe_balance,1196379,6003957,5.018440644645217,4949980,45580252,40630272,18020352,22609920,0.0,0,0,0,0,45580252,524288,8198,701.6033696999948,1.9039886000100523,,5,5,8,0,1475.833737000008,official_results/case_041_p1_n5.json.gz,plans/case_041_p1_n5.json,
case_042,1,5,component_lpt,342520,1686740,4.924500759079762,2388964,12576580,10187616,7253856,2933760,0.0,0,0,0,0,12576580,524288,32776,25.467041299998527,1.8113621000084095,,5,5,30,0,484.40626640003757,official_results/case_042_p1_n5.json.gz,plans/case_042_p1_n5.json,
case_043,1,5,weighted_window_10_s0.35,210745,677656,3.2155258724999407,1431122,5689566,4258444,4258444,0,0.0,0,0,0,0,5689566,73856,114304,16.369945700018434,3.7633529000158887,,118,118,28,0,1260.9882054999762,official_results/case_043_p1_n5.json.gz,plans/case_043_p1_n5.json,
case_044,1,5,component_group4,123553,154407,1.2497227910289512,975456,6136672,5161216,1860800,3300416,0.0,0,0,0,0,6136672,524192,0,1.3706735000014305,0.24903209999320097,,3,3,27,0,39.1702334000438,official_results/case_044_p1_n5.json.gz,plans/case_044_p1_n5.json,
case_045,1,5,component_lpt,26164,125614,4.801024308209754,557056,557056,0,0,0,0.0,0,0,0,0,557056,0,32768,0.9336547999992035,0.3356291000091005,,5,5,24,0,38.20112629994401,official_results/case_045_p1_n5.json.gz,plans/case_045_p1_n5.json,
case_046,1,5,share_pack_4,124612,276455,2.218526305652746,1061472,5575424,4513952,2791200,1722752,0.0,0,0,0,0,5575424,524288,0,0.9181782999949064,0.2354429999832064,,4,4,22,0,25.399369099905016,official_results/case_046_p1_n5.json.gz,plans/case_046_p1_n5.json,
case_047,1,5,window10_heft,179781,326508,1.8161429739516413,463942,3705486,3241544,3241544,0,0.0,0,0,0,0,3705486,10752,50784,22.404654499987373,4.223200300009921,,409,409,12,0,875.5641085999378,official_results/case_047_p1_n5.json.gz,plans/case_047_p1_n5.json,
case_048,1,5,window9_heft,149685,222220,1.4845842936834017,414790,1461468,1046678,1046678,0,0.0,0,0,0,0,1461468,12800,15152,2.702445999981137,0.7644973999995273,,159,159,24,0,69.79568599996855,official_results/case_048_p1_n5.json.gz,plans/case_048_p1_n5.json,
case_049,1,5,win_w5,85695,196276,2.2904020071182685,152540,3248562,3096022,3096022,0,0.0,0,0,0,0,3248562,12288,16512,6.960488600016106,3.5683042999880854,,487,487,32,0,316.2201928998984,official_results/case_049_p1_n5.json.gz,plans/case_049_p1_n5.json,
case_050,1,5,window10_heft,68461,149690,2.1865003432611267,319376,2338490,2019114,2019114,0,0.0,0,0,0,0,2338490,8064,57632,4.900923100009095,3.3168934999848716,,220,220,32,0,348.1465942999639,official_results/case_050_p1_n5.json.gz,plans/case_050_p1_n5.json,
case_051,1,5,bundle_pack,253856,607628,2.3935932182024455,393218,9438614,9045396,9045396,0,0.0,0,0,0,0,9438614,32768,65538,1.7689734000014141,0.46023199998307973,,144,144,22,0,30.402376699930755,official_results/case_051_p1_n5.json.gz,plans/case_051_p1_n5.json,
case_052,1,5,component_lpt,37846,180301,4.76407017914707,810204,1143516,333312,333312,0,0.0,0,0,0,0,1143516,101376,55312,0.8422701000235975,0.31914570002118126,,5,5,27,0,29.11582090004231,official_results/case_052_p1_n5.json.gz,plans/case_052_p1_n5.json,
case_053,1,5,critical_cut_b0.16_s1.0,490529,1472686,3.002240438383867,2995288,15096496,12101208,12101208,0,0.0,0,0,0,0,15096496,182688,54340,55.19043439999223,5.205616499995813,,102,102,28,0,1658.7366469999251,official_results/case_053_p1_n5.json.gz,plans/case_053_p1_n5.json,
case_054,1,5,window10_heft,247830,815051,3.288750353064601,1606276,9235080,7628804,7628804,0,0.0,0,0,0,0,9235080,81920,12352,31.614644099987345,5.377416600007564,,631,631,18,0,2048.6055228999758,official_results/case_054_p1_n5.json.gz,plans/case_054_p1_n5.json,
case_055,1,5,component_lpt,25570,118835,4.647438404380133,625810,799378,173568,173568,0,0.0,0,0,0,0,799378,47616,86028,1.86250009998912,1.0197820999892429,,5,5,28,0,49.61591929997667,official_results/case_055_p1_n5.json.gz,plans/case_055_p1_n5.json,
case_056,1,5,window12_heft,148649,277285,1.8653674091315784,221600,3298302,3076702,3076702,0,0.0,0,0,0,0,3298302,16416,122912,9.212146700010635,3.7332527000107802,,271,271,31,0,854.0043896000134,official_results/case_056_p1_n5.json.gz,plans/case_056_p1_n5.json,
case_057,1,5,pipevec_merge,13748,59726,4.344340995053826,342460,412732,70272,70272,0,0.0,0,0,0,0,412732,6528,69644,0.7458630999899469,0.25477659999160096,,21,21,29,0,31.666024399979506,official_results/case_057_p1_n5.json.gz,plans/case_057_p1_n5.json,
case_058,1,5,component_round_robin,1004819,4539717,4.517945022934478,7667712,39772160,32104448,18382848,13721600,0.0,0,0,0,0,39772160,524288,0,99.2581328000233,1.323113700025715,,5,5,6,0,193.80768440003158,official_results/case_058_p1_n5.json.gz,plans/case_058_p1_n5.json,
case_059,1,5,component_round_robin,150782,829473,5.501140719714555,1343488,5668864,4325376,4325376,0,0.0,0,0,0,0,5668864,520192,0,5.64737900000182,1.1192237000213936,,5,5,25,0,104.66732739997678,official_results/case_059_p1_n5.json.gz,plans/case_059_p1_n5.json,
case_060,1,5,component_lpt,180081,888789,4.935495693604545,2099006,5832894,3733888,3563904,169984,0.0,0,0,0,0,5832894,524288,122898,28.86411510000471,1.8220165999955498,,5,5,29,0,499.70556619999115,official_results/case_060_p1_n5.json.gz,plans/case_060_p1_n5.json,
case_061,1,5,component_lpt,22283,77191,3.46412063007674,544188,627132,82944,82944,0,0.0,0,0,0,0,627132,47616,19468,1.5130183000001125,0.4040286999952514,,5,5,29,0,31.74780329997884,official_results/case_061_p1_n5.json.gz,plans/case_061_p1_n5.json,
case_062,1,5,window12_heft,603087,2854809,4.733660317665611,13401600,13854720,453120,453120,0,0.0,0,0,0,0,13854720,7680,13824,25.16336199999205,5.750087000022177,,147,147,13,0,1641.9726595000247,official_results/case_062_p1_n5.json.gz,plans/case_062_p1_n5.json,
case_063,1,5,window12_heft,231514,1070397,4.623465535561564,5021184,5207040,185856,185856,0,0.0,0,0,0,0,5207040,7680,10752,4.6142953999806195,4.130328300001565,,60,60,23,0,811.3368412999553,official_results/case_063_p1_n5.json.gz,plans/case_063_p1_n5.json,
case_064,1,5,weighted_window_15_s0.65,11175,19116,1.7106040268456375,37414,219254,181840,181840,0,0.0,0,0,0,0,219254,3136,2336,0.6531869000173174,0.5168728000135161,,72,72,24,0,18.801974799949676,official_results/case_064_p1_n5.json.gz,plans/case_064_p1_n5.json,
case_065,1,5,component_lpt,10984,53068,4.8313911143481425,316202,372074,55872,55872,0,0.0,0,0,0,0,372074,32256,24650,0.734975300001679,0.5359339999849908,,5,5,27,0,22.535574000066845,official_results/case_065_p1_n5.json.gz,plans/case_065_p1_n5.json,
case_066,1,5,stageU4_k5,108033,359070,3.3237066451917467,1107034,3198196,2091162,2091162,0,0.0,0,0,0,0,3198196,49152,48736,6.824680999998236,4.2960079999757,,87,87,31,0,510.5213014999172,official_results/case_066_p1_n5.json.gz,plans/case_066_p1_n5.json,
case_067,1,5,win_w7,13376272,63834834,4.772244015372893,6048128,290407040,284358912,284358912,0,0.0,0,0,0,0,290407040,297984,0,27.556984900002135,1.8878049000049941,,1278,1278,21,0,308.79839050001465,official_results/case_067_p1_n5.json.gz,plans/case_067_p1_n5.json,
case_068,1,5,window16_heft,177749,362095,2.037114132850255,2771250,5295226,2523976,2523976,0,0.0,0,0,0,0,5295226,43008,57344,5.394278200023109,4.122306699980982,,156,156,32,0,483.2461661999987,official_results/case_068_p1_n5.json.gz,plans/case_068_p1_n5.json,
case_069,1,5,stageC5_k4,13951,25144,1.802308078273959,126054,632920,506866,506866,0,0.0,0,0,0,0,632920,13824,32864,1.4245201000012457,0.5592700999986846,,42,42,24,0,38.015657399984775,official_results/case_069_p1_n5.json.gz,plans/case_069_p1_n5.json,
case_070,1,5,component_lpt,25374,117300,4.622842279498699,419964,868988,449024,449024,0,0.0,0,0,0,0,868988,112128,12290,2.1540944000007585,0.18882999999914318,,5,5,28,0,48.3109061998839,official_results/case_070_p1_n5.json.gz,plans/case_070_p1_n5.json,
case_071,1,5,hybrid20_10,11060,18919,1.7105786618444847,121446,470214,348768,348768,0,0.0,0,0,0,0,470214,13824,9312,0.4063665999856312,0.5316915999865159,,24,24,24,0,15.119366900005843,official_results/case_071_p1_n5.json.gz,plans/case_071_p1_n5.json,
case_072,1,5,scene_a_spine,4784578,23897828,4.994761920487031,11103184,186936960,175833776,175833776,0,0.0,0,0,0,0,186936960,229376,30198,28.37938560001203,2.9460981000156607,,476,476,8,0,2422.4527296999877,official_results/case_072_p1_n5.json.gz,plans/case_072_p1_n5.json,
case_073,1,5,critical_cut_b0.06_s0.35,3255280,10081626,3.0970073234867663,4041088,146360448,142319360,142319360,0,0.0,0,0,0,0,146360448,295680,0,3.9406110999989323,1.530373799992958,,195,195,27,0,169.27203310007462,official_results/case_073_p1_n5.json.gz,plans/case_073_p1_n5.json,
case_074,1,5,component_round_robin,334111,1682239,5.034970414024082,3776728,13312216,9535488,9142272,393216,0.0,0,0,0,0,13312216,524288,98312,12.706651999993483,0.9084554000000935,,5,5,29,0,166.51506599996355,official_results/case_074_p1_n5.json.gz,plans/case_074_p1_n5.json,
case_075,1,5,window4_peft,650099,1441809,2.21782989975373,1837190,12692230,10855040,10855040,0,0.0,0,0,0,0,12692230,24576,22530,23.995490600005724,3.5071938000037335,,1190,1190,24,0,379.05933129999903,official_results/case_075_p1_n5.json.gz,plans/case_075_p1_n5.json,
case_076,1,5,component_batches,1234641,6185113,5.009644908924942,4270674,57545298,53274624,53274624,0,0.0,0,0,0,0,57545298,223232,8192,23.786633799987612,3.8986327000020538,,139,139,8,0,2831.2748315999925,official_results/case_076_p1_n5.json.gz,plans/case_076_p1_n5.json,
case_077,1,5,component_pipe_lpt,115074,495320,4.304360672263066,2141360,3288240,1146880,1146880,0,0.0,0,0,0,0,3288240,101952,36864,8.135486100014532,3.0791981000220403,,41,41,32,0,306.01614850002807,official_results/case_077_p1_n5.json.gz,plans/case_077_p1_n5.json,
case_078,1,5,critical_cut_b0.16_s1.0,528769,2296143,4.342431193961825,2345088,18220032,15874944,15874944,0,0.0,0,0,0,0,18220032,169728,0,0.48624739999650046,0.11347310000564903,,56,56,24,0,19.232994399993913,official_results/case_078_p1_n5.json.gz,plans/case_078_p1_n5.json,
case_079,1,5,component_batches,5972750,31052251,5.198987233686325,9351168,73082880,63731712,63731712,0,0.0,0,0,0,0,73082880,292864,0,23.477488500007894,2.3421666999929585,,98,98,7,0,984.9566736999841,official_results/case_079_p1_n5.json.gz,plans/case_079_p1_n5.json,
case_080,1,5,component_group4,89651,292138,3.2586139585726874,1978368,4136960,2158592,2158592,0,0.0,0,0,0,0,4136960,409600,0,0.7635074999998324,0.24681409998447634,,5,5,18,0,30.752348800073378,official_results/case_080_p1_n5.json.gz,plans/case_080_p1_n5.json,
case_081,1,5,component_round_robin,30943,151795,4.905632937982743,1741140,1741140,0,0,0,0.0,0,0,0,0,1741140,0,14340,4.564404299977468,1.52863129999605,,5,5,21,0,178.56938919995446,official_results/case_081_p1_n5.json.gz,plans/case_081_p1_n5.json,
case_082,1,5,win_w5,301774,721041,2.3893410300423494,592006,5797654,5205648,5096080,109568,0.0,0,0,0,0,5797654,29184,130832,8.462272500008112,3.403004499996314,,357,357,24,0,194.39665760000935,official_results/case_082_p1_n5.json.gz,plans/case_082_p1_n5.json,
case_083,1,5,share_pack_10,412888,1057993,2.562421286159927,1438304,18891584,17453280,8373600,9079680,0.0,0,0,0,0,18891584,524288,0,6.017361999984132,0.7390955000009853,,10,10,27,0,141.15388480000547,official_results/case_083_p1_n5.json.gz,plans/case_083_p1_n5.json,
case_084,1,5,component_round_robin,503472,2507412,4.98024120507198,13236330,13236330,0,0,0,0.0,0,0,0,0,13236330,13824,9312,29.707672999997158,2.3632264000189025,,5,5,10,0,816.4523434000148,official_results/case_084_p1_n5.json.gz,plans/case_084_p1_n5.json,
case_085,1,5,window10_peft,834212,3187899,3.82144946368549,1689734,22336226,20646492,20646492,0,0.0,0,0,0,0,22336226,24576,36992,18.937907999992603,7.3245264000142924,,772,772,12,0,1558.5005231999967,official_results/case_085_p1_n5.json.gz,plans/case_085_p1_n5.json,
case_086,1,5,win_w23,71821,118403,1.648584675791203,338022,2080486,1742464,1742464,0,0.0,0,0,0,0,2080486,15264,26546,4.895776399993338,4.50534649999463,,41,41,24,0,263.3497080000234,official_results/case_086_p1_n5.json.gz,plans/case_086_p1_n5.json,
case_087,1,5,component_group6,820877,3974071,4.8412502725743325,5919098,21056378,15137280,15137280,0,0.0,0,0,0,0,21056378,271744,59414,143.20951520002563,1.9361725999915507,,33,33,12,0,2971.476433100004,official_results/case_087_p1_n5.json.gz,plans/case_087_p1_n5.json,
case_088,1,5,stageU12_k5,112203,243623,2.171269930394018,1829798,4670160,2840362,2840362,0,0.0,0,0,0,0,4670160,43008,40704,1.6670348000188824,2.2427849999803584,,190,190,32,0,106.33962359998259,official_results/case_088_p1_n5.json.gz,plans/case_088_p1_n5.json,
case_089,1,5,component_group8,147432,693092,4.701096098540344,566400,1521280,954880,954880,0,0.0,0,0,0,0,1521280,259200,0,5.664842400001362,1.3489716000040062,,5,5,25,0,135.75531430001138,official_results/case_089_p1_n5.json.gz,plans/case_089_p1_n5.json,
case_090,1,5,share_pack_9,492932,1178363,2.39051836764503,2228352,25993248,23764896,17187840,6577056,0.0,0,0,0,0,25993248,519672,0,2.502853900019545,0.31282459999783896,,9,9,28,0,59.37414190013078,official_results/case_090_p1_n5.json.gz,plans/case_090_p1_n5.json,
case_091,1,5,component_batches,1866216,9186769,4.922671866493482,6577656,80776696,74199040,74199040,0,0.0,0,0,0,0,80776696,374784,4100,21.75881749999826,3.2230974000121932,,132,132,8,0,2872.722627899988,official_results/case_091_p1_n5.json.gz,plans/case_091_p1_n5.json,
case_092,1,5,share_pack_10,1618214,4815554,2.975844974768479,3256928,72315328,69058400,8373600,60684800,0.0,0,0,0,0,72315328,524288,0,81.18282290000934,1.6551611000031698,,10,10,10,0,443.11562149997917,official_results/case_092_p1_n5.json.gz,plans/case_092_p1_n5.json,
case_093,1,5,component_round_robin,15876,74205,4.674036281179139,714752,747520,32768,32768,0,0.0,0,0,0,0,747520,20480,0,0.3854343999992125,0.1540746999962721,,5,5,13,0,7.7337795999483205,official_results/case_093_p1_n5.json.gz,plans/case_093_p1_n5.json,
