case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_002,2,0,seed_batches,138077,1.8970936506442058,477696,3.615641299984418,directed_split,0,138077,0.0,477696,,4,directed_split,True,"[138077, 139240, 139240]"
case_002,2,0,seed_combined,133697,1.9592436629094145,27648,3.652893100050278,structural_depth16,3,138077,3.172143079586028,477696,133697,4,directed_split,False,"[141618, 137827]"
case_002,2,0,seed_components,138077,1.8970936506442058,477696,3.8617845000699162,directed_split,0,138077,0.0,477696,,4,directed_split,True,"[138077, 139240, 139240]"
case_002,2,0,seed_depth,133697,1.9592436629094145,27648,3.5598211999749765,structural_depth16,3,138077,3.172143079586028,477696,133697,4,directed_split,False,"[141618, 137827]"
case_002,2,0,shared_region,138077,1.8970936506442058,477696,3.7204182000132278,directed_split,0,138077,0.0,477696,,0,directed_split,True,"[138077, 139240, 139240]"
case_002,3,0,seed_batches,95931,2.730556337367483,532992,3.424020600039512,local_reschedule,0,95931,0.0,532992,,4,local_reschedule,True,[95931]
case_002,3,0,seed_combined,93669,2.7964961726932067,30720,3.435411399928853,directed_split,3,95931,2.357944772805454,532992,93813,4,local_reschedule,False,[]
case_002,3,0,seed_components,95931,2.730556337367483,532992,3.424287599977106,local_reschedule,0,95931,0.0,532992,,4,local_reschedule,True,[95931]
case_002,3,0,seed_depth,93669,2.7964961726932067,30720,3.618989699985832,directed_split,3,95931,2.357944772805454,532992,93813,4,local_reschedule,False,[]
case_002,3,0,shared_region,95931,2.730556337367483,532992,3.6758779999800026,local_reschedule,0,95931,0.0,532992,,0,local_reschedule,True,[95931]
case_002,4,0,seed_batches,74618,3.5104800450293494,536064,3.3705689000198618,directed_split,0,74618,0.0,536064,,4,directed_split,True,"[77749, 74670, 74618]"
case_002,4,0,seed_combined,74670,3.5080353555644836,536064,3.536415799986571,directed_split,3,74618,-0.06968827896754134,536064,93916,4,directed_split,False,"[77749, 74670]"
case_002,4,0,seed_components,74618,3.5104800450293494,536064,3.4716626999434084,directed_split,0,74618,0.0,536064,,4,directed_split,True,"[77749, 74670, 74618]"
case_002,4,0,seed_depth,74670,3.5080353555644836,536064,3.5808918999973685,directed_split,3,74618,-0.06968827896754134,536064,93916,4,directed_split,False,"[77749, 74670]"
case_002,4,0,shared_region,74618,3.5104800450293494,536064,3.588487599976361,directed_split,0,74618,0.0,536064,,0,directed_split,True,"[77749, 74670, 74618]"
case_002,5,0,seed_batches,60651,4.3188900430330905,536064,3.9825299000367522,directed_split,0,60651,0.0,536064,,4,directed_split,True,"[65099, 62090, 60651]"
case_002,5,0,seed_combined,62090,4.218795297149299,529920,4.023897300008684,directed_split,3,60651,-2.37259072397817,536064,86435,4,directed_split,False,"[65099, 62090]"
case_002,5,0,seed_components,60651,4.3188900430330905,536064,3.7545825999695808,directed_split,0,60651,0.0,536064,,4,directed_split,True,"[65099, 62090, 60651]"
case_002,5,0,seed_depth,62090,4.218795297149299,529920,3.859675500076264,directed_split,3,60651,-2.37259072397817,536064,86435,4,directed_split,False,"[65099, 62090]"
case_002,5,0,shared_region,60651,4.3188900430330905,536064,3.8083849999820814,directed_split,0,60651,0.0,536064,,0,directed_split,True,"[65099, 62090, 60651]"
case_017,2,0,seed_batches,79486,2.048285232619581,122140,2.605003000004217,directed_split,1,86968,8.603164382301536,445936,86573,4,directed_split,False,"[81809, 79486]"
case_017,2,0,seed_combined,81117,2.0071008543215356,110100,2.614753399975598,directed_split,4,86968,6.727761935424524,445936,81776,4,directed_split,False,[81117]
case_017,2,0,seed_components,81117,2.0071008543215356,110100,2.8082141999620944,directed_split,3,86968,6.727761935424524,445936,81776,4,directed_split,False,[81117]
case_017,2,0,seed_depth,86968,1.872067887038911,445936,2.9243219998897985,directed_split,0,86968,0.0,445936,,4,directed_split,True,"[92090, 86968, 91570]"
case_017,2,0,shared_region,86968,1.872067887038911,445936,2.8695867999922484,directed_split,0,86968,0.0,445936,,0,directed_split,True,"[92090, 86968, 91570]"
case_017,3,0,seed_batches,49383,3.296883542919628,175104,2.639178700046614,structural_component_batches256,1,58877,16.125142245698658,427492,49383,4,local_reschedule,True,[52315]
case_017,3,0,seed_combined,49383,3.296883542919628,175104,2.8247964000329375,structural_component_batches256,4,58877,16.125142245698658,427492,49383,4,local_reschedule,True,[]
case_017,3,0,seed_components,54361,2.9949780173285996,186656,2.7013537000166252,directed_split,3,58877,7.670227762963466,427492,55092,4,local_reschedule,True,[]
case_017,3,0,seed_depth,58877,2.7652563819488085,427492,2.8731851000338793,local_reschedule,0,58877,0.0,427492,,4,local_reschedule,True,[58877]
case_017,3,0,shared_region,58877,2.7652563819488085,427492,2.9343742000637576,local_reschedule,0,58877,0.0,427492,,0,local_reschedule,True,[58877]
case_017,4,0,seed_batches,39733,4.097601489945386,259200,2.833088199957274,structural_component_batches256,1,58607,32.20434419096695,1472406,39733,4,grain_0.25,True,[58607]
case_017,4,0,seed_combined,39733,4.097601489945386,259200,2.7455759999575093,structural_component_batches256,4,58607,32.20434419096695,1472406,39733,4,grain_0.25,True,[58607]
case_017,4,0,seed_components,41265,3.945474372955289,263440,2.89589090005029,directed_split,3,58607,29.590321975190676,1472406,41309,4,grain_0.25,True,[58607]
case_017,4,0,seed_depth,58607,2.7779958025491833,1472406,3.1745618999702856,grain_0.25,0,58607,0.0,1472406,,4,grain_0.25,True,[58607]
case_017,4,0,shared_region,58607,2.7779958025491833,1472406,2.997731100069359,grain_0.25,0,58607,0.0,1472406,,0,grain_0.25,True,[58607]
case_017,5,0,seed_batches,33998,4.788811106535679,340992,2.776734699960798,structural_component_batches256,1,49911,31.88275129730921,1472406,33998,4,grain_0.25,True,[49911]
case_017,5,0,seed_combined,33998,4.788811106535679,340992,2.7824042999418452,structural_component_batches256,4,49911,31.88275129730921,1472406,33998,4,grain_0.25,True,[49911]
case_017,5,0,seed_components,33332,4.884495379815193,345612,2.8627187000820413,directed_split,3,49911,33.21712648514355,1472406,34252,4,grain_0.25,True,[49911]
case_017,5,0,seed_depth,49911,3.262006371340987,1472406,3.291956300032325,grain_0.25,0,49911,0.0,1472406,,4,grain_0.25,True,[49911]
case_017,5,0,shared_region,49911,3.262006371340987,1472406,3.2329981999937445,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_028,2,0,seed_batches,20808183,2.106673129508713,310682880,119.27974119991995,grain_1.0,1,20808183,0.0,310682880,22648929,4,grain_1.0,True,[20808183]
case_028,2,0,seed_combined,20808183,2.106673129508713,310682880,125.06773909996264,grain_1.0,2,20808183,0.0,310682880,22648929,4,grain_1.0,True,[20808183]
case_028,2,0,seed_components,20808183,2.106673129508713,310682880,125.20005980005953,grain_1.0,1,20808183,0.0,310682880,23638628,4,grain_1.0,True,[20808183]
case_028,2,0,seed_depth,20808183,2.106673129508713,310682880,121.41313910007011,grain_1.0,0,20808183,0.0,310682880,,4,grain_1.0,True,[20808183]
case_028,2,0,shared_region,20808183,2.106673129508713,310682880,114.97472910000943,grain_1.0,0,20808183,0.0,310682880,,0,grain_1.0,True,[20808183]
case_028,3,0,seed_batches,13957556,3.1406673202672444,310848768,116.50658970000222,directed_split,1,13957556,0.0,310848768,16289869,4,directed_split,True,"[14216013, 13957556]"
case_028,3,0,seed_combined,13957556,3.1406673202672444,310848768,115.94595650001429,directed_split,2,13957556,0.0,310848768,16289869,4,directed_split,True,"[14216013, 13957556]"
case_028,3,0,seed_components,13957556,3.1406673202672444,310848768,117.6098921999801,directed_split,1,13957556,0.0,310848768,16770711,4,directed_split,True,"[14216013, 13957556]"
case_028,3,0,seed_depth,13957556,3.1406673202672444,310848768,113.85502429993358,directed_split,0,13957556,0.0,310848768,,4,directed_split,True,"[14216013, 13957556]"
case_028,3,0,shared_region,13957556,3.1406673202672444,310848768,115.73369500006083,directed_split,0,13957556,0.0,310848768,,0,directed_split,True,"[14216013, 13957556]"
case_028,4,0,seed_batches,10694242,4.0990319837535,310848768,120.56886900006793,directed_split,1,10676362,-0.1674727777121083,310848768,13397525,4,local_reschedule,False,[10963263]
case_028,4,0,seed_combined,10694242,4.0990319837535,310848768,113.88151540001854,directed_split,2,10676362,-0.1674727777121083,310848768,13397525,4,local_reschedule,False,[10963263]
case_028,4,0,seed_components,10694242,4.0990319837535,310848768,123.52840640000068,directed_split,1,10676362,-0.1674727777121083,310848768,13608312,4,local_reschedule,False,[10963263]
case_028,4,0,seed_depth,10676362,4.105896746476,310848768,118.66307090001646,local_reschedule,0,10676362,0.0,310848768,,4,local_reschedule,True,"[10963263, 10676362]"
case_028,4,0,shared_region,10676362,4.105896746476,310848768,124.79022630001418,local_reschedule,0,10676362,0.0,310848768,,0,local_reschedule,True,"[10963263, 10676362]"
case_028,5,0,seed_batches,9004662,4.868149409716878,286344264,123.39913160004653,region_boundary_8758_0,1,9004662,0.0,286344264,11427204,4,region_boundary_8758_0,True,[9004662]
case_028,5,0,seed_combined,9020934,4.859368220629926,286341960,113.06386600004043,directed_split,2,9004662,-0.1807063940878625,286344264,11427204,4,region_boundary_8758_0,False,[]
case_028,5,0,seed_components,9004662,4.868149409716878,286344264,127.87802299996838,region_boundary_8758_0,1,9004662,0.0,286344264,11491035,4,region_boundary_8758_0,True,[9004662]
case_028,5,0,seed_depth,9004662,4.868149409716878,286344264,123.80429959995672,region_boundary_8758_0,0,9004662,0.0,286344264,,4,region_boundary_8758_0,True,[9004662]
case_028,5,0,shared_region,9004662,4.868149409716878,286344264,120.49785230006091,region_boundary_8758_0,0,9004662,0.0,286344264,,0,region_boundary_8758_0,True,[9004662]
case_045,2,0,seed_batches,63811,1.968532071272978,0,2.517721700016409,local_reschedule,1,65817,3.0478447817433185,348160,63842,4,directed_split,False,"[64011, 64073]"
case_045,2,0,seed_combined,63059,1.99200748505368,0,2.731654500006698,structural_component_lpt,3,65817,4.190406733822568,348160,63059,4,directed_split,False,[63297]
case_045,2,0,seed_components,63059,1.99200748505368,0,2.5649662000359967,structural_component_lpt,2,65817,4.190406733822568,348160,63059,4,directed_split,False,"[63297, 63138]"
case_045,2,0,seed_depth,65817,1.9085342692617409,348160,2.690817099995911,directed_split,0,65817,0.0,348160,,4,directed_split,True,"[65817, 69268]"
case_045,2,0,shared_region,65817,1.9085342692617409,348160,2.6256659999489784,directed_split,0,65817,0.0,348160,,0,directed_split,True,"[65817, 69268]"
case_045,3,0,seed_batches,43443,2.8914669797205534,0,2.63017919997219,structural_component_batches256,1,48646,10.695637873617564,323584,43443,4,directed_split,False,"[43453, 43453]"
case_045,3,0,seed_combined,42601,2.94861622966597,0,2.797799100051634,structural_component_lpt,3,48646,12.426509887760556,323584,42601,4,directed_split,False,[43046]
case_045,3,0,seed_components,42601,2.94861622966597,0,2.571056899963878,structural_component_lpt,2,48646,12.426509887760556,323584,42601,4,directed_split,False,[43046]
case_045,3,0,seed_depth,48646,2.582206142334416,323584,2.8745774999260902,directed_split,0,48646,0.0,323584,,4,directed_split,True,"[48646, 49359]"
case_045,3,0,shared_region,48646,2.582206142334416,323584,2.8043998000212014,directed_split,0,48646,0.0,323584,,0,directed_split,True,"[48646, 49359]"
case_045,4,0,seed_batches,32050,3.919313572542902,0,2.8190142000094056,region_repartition_1_0,1,37337,14.160216407317138,303104,32257,4,local_reschedule,False,[]
case_045,4,0,seed_combined,31878,3.940460505677897,0,2.5690906000090763,structural_component_lpt,3,37337,14.620885448750569,303104,31878,4,local_reschedule,False,[]
case_045,4,0,seed_components,31878,3.940460505677897,0,2.73775560001377,structural_component_lpt,2,37337,14.620885448750569,303104,31878,4,local_reschedule,False,[]
case_045,4,0,seed_depth,37337,3.3643302889894744,303104,2.8883777000010014,local_reschedule,0,37337,0.0,303104,,4,local_reschedule,True,[37337]
case_045,4,0,shared_region,37337,3.3643302889894744,303104,2.880665099946782,local_reschedule,0,37337,0.0,303104,,0,local_reschedule,True,[37337]
case_045,5,0,seed_batches,26543,4.732471838149418,16384,2.8175527999410406,region_repartition_2_1,1,33313,20.322396661963797,557056,26813,4,region_boundary_246_0,False,[]
case_045,5,0,seed_combined,26164,4.801024308209754,0,2.572575800004415,structural_component_lpt,3,33313,21.460090655299734,557056,26164,4,region_boundary_246_0,False,[]
case_045,5,0,seed_components,26164,4.801024308209754,0,2.661134500056505,structural_component_lpt,2,33313,21.460090655299734,557056,26164,4,region_boundary_246_0,False,[]
case_045,5,0,seed_depth,33313,3.770720139284964,557056,2.8563952000113204,region_boundary_246_0,0,33313,0.0,557056,,4,region_boundary_246_0,True,[33313]
case_045,5,0,shared_region,33313,3.770720139284964,557056,2.9948244999395683,region_boundary_246_0,0,33313,0.0,557056,,0,region_boundary_246_0,True,[33313]
case_048,2,0,seed_batches,197496,1.1251873455664925,1716280,3.8743547999765724,grain_0.25,0,197496,0.0,1716280,,4,grain_0.25,True,[197496]
case_048,2,0,seed_combined,169549,1.3106535573786928,744158,3.7542552000377327,directed_split,3,197496,14.15066634260947,1716280,175656,4,grain_0.25,True,[197496]
case_048,2,0,seed_components,197496,1.1251873455664925,1716280,3.762899700086564,grain_0.25,0,197496,0.0,1716280,,4,grain_0.25,True,[197496]
case_048,2,0,seed_depth,169549,1.3106535573786928,744158,3.6959566000150517,directed_split,3,197496,14.15066634260947,1716280,175656,4,grain_0.25,True,[197496]
case_048,2,0,shared_region,197496,1.1251873455664925,1716280,3.7192643999587744,grain_0.25,0,197496,0.0,1716280,,0,grain_0.25,True,[197496]
case_048,3,0,seed_batches,197613,1.1245211600451388,1716280,3.6792815999360755,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,3,0,seed_combined,148807,1.4933437271096117,1147354,4.002469800063409,directed_split,3,197613,24.697767859401964,1716280,150457,4,grain_0.25,True,[197613]
case_048,3,0,seed_components,197613,1.1245211600451388,1716280,3.685877399984747,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,3,0,seed_depth,148807,1.4933437271096117,1147354,3.8299641999183223,directed_split,3,197613,24.697767859401964,1716280,150457,4,grain_0.25,True,[197613]
case_048,3,0,shared_region,197613,1.1245211600451388,1716280,3.6477117999456823,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_048,4,0,seed_batches,197613,1.1245211600451388,1716280,3.986975000007078,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,4,0,seed_combined,148820,1.4932132777852438,1147354,4.382456100080162,directed_split,3,197613,24.69118934483055,1716280,150287,4,grain_0.25,True,[197613]
case_048,4,0,seed_components,197613,1.1245211600451388,1716280,3.880282900063321,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,4,0,seed_depth,148820,1.4932132777852438,1147354,4.1806086000287905,directed_split,3,197613,24.69118934483055,1716280,150287,4,grain_0.25,True,[197613]
case_048,4,0,shared_region,197613,1.1245211600451388,1716280,3.9151298000942916,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_048,5,0,seed_batches,197613,1.1245211600451388,1716280,4.194705400033854,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,5,0,seed_combined,148893,1.4924811777585245,1147354,4.386486500035971,directed_split,3,197613,24.654248455314175,1716280,150430,4,grain_0.25,True,[197613]
case_048,5,0,seed_components,197613,1.1245211600451388,1716280,4.155065599945374,grain_0.25,0,197613,0.0,1716280,,4,grain_0.25,True,[197613]
case_048,5,0,seed_depth,148893,1.4924811777585245,1147354,4.145128199947067,directed_split,3,197613,24.654248455314175,1716280,150430,4,grain_0.25,True,[197613]
case_048,5,0,shared_region,197613,1.1245211600451388,1716280,4.2054281999589875,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_063,2,0,seed_batches,552512,1.9373280580331287,1903104,23.026364699937403,greedy,0,552512,0.0,1903104,,4,greedy,True,[552512]
case_063,2,0,seed_combined,538695,1.9870186283518503,36864,24.25472839991562,structural_depth16,3,552512,2.5007601644851154,1903104,538695,4,greedy,True,[552512]
case_063,2,0,seed_components,552512,1.9373280580331287,1903104,23.731758499983698,greedy,0,552512,0.0,1903104,,4,greedy,True,[552512]
case_063,2,0,seed_depth,538695,1.9870186283518503,36864,24.559776300098747,structural_depth16,3,552512,2.5007601644851154,1903104,538695,4,greedy,True,[552512]
case_063,2,0,shared_region,552512,1.9373280580331287,1903104,23.496594700030982,greedy,0,552512,0.0,1903104,,0,greedy,True,[552512]
case_063,3,0,seed_batches,371366,2.882323637597411,1903104,20.713481900049374,greedy,0,371366,0.0,1903104,,4,greedy,True,[371366]
case_063,3,0,seed_combined,360020,2.973159824454197,36864,23.200596400070935,structural_depth16,3,371366,3.055206992562593,1903104,360020,4,greedy,True,[371366]
case_063,3,0,seed_components,371366,2.882323637597411,1903104,22.24671129998751,greedy,0,371366,0.0,1903104,,4,greedy,True,[371366]
case_063,3,0,seed_depth,360020,2.973159824454197,36864,23.177586799953133,structural_depth16,3,371366,3.055206992562593,1903104,360020,4,greedy,True,[371366]
case_063,3,0,shared_region,371366,2.882323637597411,1903104,22.402156400028616,greedy,0,371366,0.0,1903104,,0,greedy,True,[371366]
case_063,4,0,seed_batches,283231,3.7792367360917414,1915392,21.965653900057077,directed_split,0,283231,0.0,1915392,,4,directed_split,True,"[283231, 284344, 283534]"
case_063,4,0,seed_combined,283231,3.7792367360917414,1915392,20.256072400021367,directed_split,3,283231,0.0,1915392,337110,4,directed_split,True,[283231]
case_063,4,0,seed_components,283231,3.7792367360917414,1915392,21.592913099913858,directed_split,0,283231,0.0,1915392,,4,directed_split,True,"[283231, 284344, 283534]"
case_063,4,0,seed_depth,283231,3.7792367360917414,1915392,21.398820500005968,directed_split,3,283231,0.0,1915392,337110,4,directed_split,True,[283231]
case_063,4,0,shared_region,283231,3.7792367360917414,1915392,20.738944000098854,directed_split,0,283231,0.0,1915392,,0,directed_split,True,"[283231, 284344, 283534]"
case_063,5,0,seed_batches,229053,4.673141150738039,1920000,21.36503799993079,local_reschedule,0,229053,0.0,1920000,,4,local_reschedule,True,[229053]
case_063,5,0,seed_combined,229053,4.673141150738039,1920000,22.234358999994583,local_reschedule,3,229053,0.0,1920000,337213,4,local_reschedule,True,[229053]
case_063,5,0,seed_components,229053,4.673141150738039,1920000,21.612394999945536,local_reschedule,0,229053,0.0,1920000,,4,local_reschedule,True,[229053]
case_063,5,0,seed_depth,229053,4.673141150738039,1920000,21.961899299989454,local_reschedule,3,229053,0.0,1920000,337213,4,local_reschedule,True,[229053]
case_063,5,0,shared_region,229053,4.673141150738039,1920000,20.33492049993947,local_reschedule,0,229053,0.0,1920000,,0,local_reschedule,True,[229053]
case_065,2,0,seed_batches,27043,1.9623562474577525,13968,1.4683082000119612,structural_component_batches256,1,28757,5.96028792989533,100936,27043,4,region_boundary_788_0,False,[]
case_065,2,0,seed_combined,26410,2.0093903824308974,13984,1.4685902000637725,directed_split,4,28757,8.161491115206733,100936,26802,4,region_boundary_788_0,False,[]
case_065,2,0,seed_components,26410,2.0093903824308974,13984,1.3782289000228047,directed_split,3,28757,8.161491115206733,100936,26802,4,region_boundary_788_0,False,[]
case_065,2,0,seed_depth,28757,1.8453941648989811,100936,1.5719717000611126,region_boundary_788_0,0,28757,0.0,100936,,4,region_boundary_788_0,True,[28757]
case_065,2,0,shared_region,28757,1.8453941648989811,100936,1.423726400011219,region_boundary_788_0,0,28757,0.0,100936,,0,region_boundary_788_0,True,[28757]
case_065,3,0,seed_batches,18135,2.926275158533223,27792,1.3098333000671118,structural_component_batches256,1,22795,20.44307962272428,443572,18135,4,local_reschedule,False,[18495]
case_065,3,0,seed_combined,17851,2.972830653744888,27936,1.3993935000617057,structural_component_round_robin,4,22795,21.68896687870147,443572,17851,4,local_reschedule,False,[]
case_065,3,0,seed_components,17851,2.972830653744888,27936,1.37507980002556,structural_component_round_robin,3,22795,21.68896687870147,443572,17851,4,local_reschedule,False,[]
case_065,3,0,seed_depth,22795,2.328054397894275,443572,1.490490399999544,local_reschedule,0,22795,0.0,443572,,4,local_reschedule,True,[22795]
case_065,3,0,shared_region,22795,2.328054397894275,443572,1.5837394999107346,local_reschedule,0,22795,0.0,443572,,0,local_reschedule,True,[22795]
case_065,4,0,seed_batches,14502,3.659357330023445,41616,1.2788251999299973,structural_component_batches256,1,18606,22.057400838439214,452788,14502,4,directed_split,False,"[14579, 14869]"
case_065,4,0,seed_combined,13800,3.8455072463768114,41904,1.26849150005728,structural_component_lpt,3,18606,25.83037729764592,452788,13800,4,directed_split,False,[13972]
case_065,4,0,seed_components,13800,3.8455072463768114,41904,1.341787499957718,structural_component_lpt,3,18606,25.83037729764592,452788,13800,4,directed_split,False,[13972]
case_065,4,0,seed_depth,18606,2.852198215629367,452788,1.3795927000464872,directed_split,0,18606,0.0,452788,,4,directed_split,True,"[20732, 18606]"
case_065,4,0,shared_region,18606,2.852198215629367,452788,1.4603233999805525,directed_split,0,18606,0.0,452788,,0,directed_split,True,"[20732, 18606]"
case_065,5,0,seed_batches,11607,4.572068579305592,55728,1.257650800049305,structural_component_batches256,1,18100,35.87292817679558,452788,11607,4,directed_split,False,"[12361, 12040]"
case_065,5,0,seed_combined,10949,4.846835327427162,66132,1.2064437000080943,directed_split,3,18100,39.50828729281768,452788,10984,4,directed_split,False,[10949]
case_065,5,0,seed_components,10949,4.846835327427162,66132,1.255184100009501,directed_split,3,18100,39.50828729281768,452788,10984,4,directed_split,False,[10949]
case_065,5,0,seed_depth,18100,2.9319337016574587,452788,1.4683324999641627,directed_split,0,18100,0.0,452788,,4,directed_split,True,"[21443, 18100]"
case_065,5,0,shared_region,18100,2.9319337016574587,452788,1.4708233000710607,directed_split,0,18100,0.0,452788,,0,directed_split,True,"[21443, 18100]"
case_067,2,0,seed_batches,32203165,1.9822534213640182,262601984,36.25909830001183,local_reschedule,1,32203165,0.0,262601984,34176690,4,local_reschedule,True,[32203165]
case_067,2,0,seed_combined,32203165,1.9822534213640182,262601984,37.38940890005324,local_reschedule,2,32203165,0.0,262601984,33768704,4,local_reschedule,True,[32203165]
case_067,2,0,seed_components,32203165,1.9822534213640182,262601984,36.350193699938245,local_reschedule,1,32203165,0.0,262601984,33768704,4,local_reschedule,True,[32203165]
case_067,2,0,seed_depth,32203165,1.9822534213640182,262601984,38.13474219990894,local_reschedule,0,32203165,0.0,262601984,,4,local_reschedule,True,[32203165]
case_067,2,0,shared_region,32203165,1.9822534213640182,262601984,35.823710699914955,local_reschedule,0,32203165,0.0,262601984,,0,local_reschedule,True,[32203165]
case_067,3,0,seed_batches,21585693,2.957275172958311,247821184,40.80336100002751,grain_0.25,1,21585693,0.0,247821184,23874179,4,grain_0.25,True,[21585693]
case_067,3,0,seed_combined,21585693,2.957275172958311,247821184,40.8797043999657,grain_0.25,2,21585693,0.0,247821184,23568859,4,grain_0.25,True,[21585693]
