case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_002,5,1,seed_combined,62090,4.218795297149299,529920,4.669049300020561,directed_split,3,60651,-2.37259072397817,536064,86435,4,directed_split,False,"[65099, 62090]"
case_002,5,1,shared_region,60651,4.3188900430330905,536064,4.595808700076304,directed_split,0,60651,0.0,536064,,0,directed_split,True,"[65099, 62090, 60651]"
case_002,5,2,seed_combined,62090,4.218795297149299,529920,4.966284799971618,directed_split,3,60651,-2.37259072397817,536064,86435,4,directed_split,False,"[65099, 62090]"
case_002,5,2,shared_region,60651,4.3188900430330905,536064,4.795973700005561,directed_split,0,60651,0.0,536064,,0,directed_split,True,"[65099, 62090, 60651]"
case_017,5,1,seed_combined,33998,4.788811106535679,340992,3.6056522000581026,structural_component_batches256,4,49911,31.88275129730921,1472406,33998,4,grain_0.25,True,[49911]
case_017,5,1,shared_region,49911,3.262006371340987,1472406,3.913880700012669,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_017,5,2,seed_combined,33998,4.788811106535679,340992,3.5782402999466285,structural_component_batches256,4,49911,31.88275129730921,1472406,33998,4,grain_0.25,True,[49911]
case_017,5,2,shared_region,49911,3.262006371340987,1472406,3.979236499988474,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_028,5,1,seed_combined,8768758,4.999116180421447,286403400,139.27411619992927,local_reschedule,2,8768758,0.0,286403400,11427204,4,local_reschedule,True,[8768758]
case_028,5,1,shared_region,8768758,4.999116180421447,286403400,145.2518154999707,local_reschedule,0,8768758,0.0,286403400,,0,local_reschedule,True,[8768758]
case_028,5,2,seed_combined,9020934,4.859368220629926,286341960,143.7380227999529,directed_split,2,9004662,-0.1807063940878625,286344264,11427204,4,region_boundary_8758_0,False,[]
case_028,5,2,shared_region,9004662,4.868149409716878,286344264,143.2658989999909,region_boundary_8758_0,0,9004662,0.0,286344264,,0,region_boundary_8758_0,True,[9004662]
case_045,5,1,seed_combined,26164,4.801024308209754,0,3.5162632999708876,structural_component_lpt,3,32747,20.102604818762025,655360,26164,4,local_reschedule,False,[]
case_045,5,1,shared_region,32747,3.8358933642776436,655360,3.679490799899213,local_reschedule,0,32747,0.0,655360,,0,local_reschedule,True,[32747]
case_045,5,2,seed_combined,26164,4.801024308209754,0,3.488796600024216,structural_component_lpt,3,33374,21.603643554863066,536576,26164,4,random_merge,False,[]
case_045,5,2,shared_region,33374,3.763828129681788,536576,3.9235983999678865,random_merge,0,33374,0.0,536576,,0,random_merge,True,[33374]
case_048,5,1,seed_combined,148893,1.4924811777585245,1147354,5.398179600015283,directed_split,3,197613,24.654248455314175,1716280,150430,4,grain_0.25,True,[197613]
case_048,5,1,shared_region,197613,1.1245211600451388,1716280,5.0250186999328434,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_048,5,2,seed_combined,148893,1.4924811777585245,1147354,5.278829000075348,directed_split,3,197613,24.654248455314175,1716280,150430,4,grain_0.25,True,[197613]
case_048,5,2,shared_region,197613,1.1245211600451388,1716280,5.204528599977493,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_063,5,1,seed_combined,230330,4.647232232014935,1952256,24.889437399921007,random_split,3,229321,-0.439994592732458,1964544,337213,4,directed_split,False,[233220]
case_063,5,1,shared_region,229321,4.667679802547521,1964544,26.006546500022523,directed_split,0,229321,0.0,1964544,,0,directed_split,True,"[233220, 229321]"
