case,cores,config,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,official_calls,initial_makespan,best_candidate,noncopy_ops
case_001,1,fixed_single,233110,,1.0,0,0.18486669997218996,1,,,
case_002,1,fixed_single,261945,,1.0,0,0.5074374999385327,1,,,
case_003,1,fixed_single,602212,,1.0,0,149.02482231333852,1,,,
case_004,1,fixed_single,392357,,1.0,0,0.15889540000353009,1,,,
case_005,1,fixed_single,95618,,1.0,0,1.8924375000642613,1,,,
case_006,1,fixed_single,82837,,1.0,16400,0.14662519993726164,1,,,
case_007,1,fixed_single,1012562,,1.0,0,7.0658664889633656,1,,,
case_008,1,fixed_single,487605,,1.0,0,0.32040389999747276,1,,,
case_009,1,fixed_single,153261,,1.0,0,0.05858379998244345,0,,,
case_010,1,fixed_single,86969,,1.0,0,0.1334698999999091,1,,,
case_011,1,fixed_single,184697,,1.0,0,0.13513259997125715,1,,,
case_012,1,fixed_single,59088,,1.0,0,0.26356570003554225,1,,,
case_013,1,fixed_single,263949,,1.0,0,1.0366367999231443,1,,,
case_014,1,fixed_single,17698626,,1.0,71010720,1.1467250678688288,0,,,
case_015,1,fixed_single,177362,,1.0,180256,0.2759828999405727,1,,,
case_016,1,fixed_single,7715523,,1.0,0,257.81222810968757,1,,,
case_017,1,fixed_single,162810,,1.0,22528,0.34561149997171015,1,,,
case_018,1,fixed_single,1004367,,1.0,1970176,1.2541148000163957,1,,,
case_019,1,fixed_single,81144,,1.0,0,0.14565720001701266,1,,,
case_020,1,fixed_single,532746,,1.0,0,0.07569460000377148,0,,,
case_021,1,fixed_single,6567937,,1.0,4501504,3.2160982000641525,1,,,
case_022,1,fixed_single,56780,,1.0,0,0.3075520000420511,1,,,
case_023,1,fixed_single,122614,,1.0,0,0.23224939999636263,1,,,
case_024,1,fixed_single,2555343,,1.0,0,0.06551480002235621,0,,,
case_025,1,fixed_single,4863026,,1.0,0,0.5331892967224121,0,,,
case_026,1,fixed_single,99203,,1.0,0,0.10470520006492734,1,,,
case_027,1,fixed_single,2363952,,1.0,1400832,0.5209292999934405,1,,,
case_028,1,fixed_single,43836040,,1.0,277412256,679.6872243564576,1,,,
case_029,1,fixed_single,37555,,1.0,0,0.19341030006762594,1,,,
case_030,1,fixed_single,2808034,,1.0,5519360,98.25850970298052,1,,,
case_031,1,fixed_single,1414369,,1.0,3491328,0.09885490010492504,0,,,
case_032,1,fixed_single,41443,,1.0,0,0.18584629998076707,1,,,
case_033,1,fixed_single,1774196,,1.0,4592640,2.2958738999441266,1,,,
case_034,1,fixed_single,842996,,1.0,1079832,7.426475090906024,1,,,
case_035,1,fixed_single,169571,,1.0,0,1.872200999991037,1,,,
case_036,1,fixed_single,931510,,1.0,0,1.466005300055258,1,,,
case_037,1,fixed_single,210001,,1.0,0,0.22955759998876601,1,,,
case_038,1,fixed_single,1364555,,1.0,5627904,0.08924740005750209,0,,,
case_039,1,fixed_single,1435262,,1.0,7929856,0.08713290002197027,0,,,
case_040,1,fixed_single,253454,,1.0,0,1.0789700999157503,1,,,
case_041,1,fixed_single,6003957,,1.0,30898176,528.2428213879466,1,,,
case_042,1,fixed_single,1686740,,1.0,6629376,13.804759113118052,1,,,
case_043,1,fixed_single,677656,,1.0,49160,0.08799109992105514,0,,,
case_044,1,fixed_single,154407,,1.0,4438112,0.4707812999840826,1,,,
case_045,1,fixed_single,125614,,1.0,0,0.34975649998523295,1,,,
case_046,1,fixed_single,276455,,1.0,3176288,0.3018393999664113,1,,,
case_047,1,fixed_single,326508,,1.0,0,156.13936982117593,1,,,
case_048,1,fixed_single,222220,,1.0,0,0.4557813999708742,1,,,
case_049,1,fixed_single,196276,,1.0,0,1.9773611000273377,1,,,
case_050,1,fixed_single,149690,,1.0,0,6.5964301489293575,1,,,
case_051,1,fixed_single,607628,,1.0,0,0.3187582999235019,1,,,
case_052,1,fixed_single,180301,,1.0,0,0.30265790002886206,1,,,
case_053,1,fixed_single,1472686,,1.0,5405536,62.14849831163883,1,,,
case_054,1,fixed_single,815051,,1.0,0,204.8658708743751,1,,,
case_055,1,fixed_single,118835,,1.0,69632,0.29752799996640533,1,,,
case_056,1,fixed_single,277285,,1.0,0,0.08055489999242127,0,,,
case_057,1,fixed_single,59726,,1.0,94216,0.18003300006967038,1,,,
case_058,1,fixed_single,4539717,,1.0,28696576,531.4765425920486,1,,,
case_059,1,fixed_single,829473,,1.0,1691648,1.3696563999401405,1,,,
case_060,1,fixed_single,888789,,1.0,2068520,0.10357250005472451,0,,,
case_061,1,fixed_single,77191,,1.0,0,0.26908160001039505,1,,,
case_062,1,fixed_single,2854809,,1.0,0,0.5356526710093021,0,,,
case_063,1,fixed_single,1070397,,1.0,0,0.0913472999818623,0,,,
case_064,1,fixed_single,19116,,1.0,0,0.16735240002162755,1,,,
case_065,1,fixed_single,53068,,1.0,0,0.17723550007212907,1,,,
case_066,1,fixed_single,359070,,1.0,0,0.06220759998541325,0,,,
case_067,1,fixed_single,63834834,,1.0,264449408,0.1401659999974072,0,,,
case_068,1,fixed_single,362095,,1.0,0,0.05431230005342513,0,,,
case_069,1,fixed_single,25144,,1.0,0,0.17889730003662407,1,,,
case_070,1,fixed_single,117300,,1.0,0,0.29737410007510334,1,,,
case_071,1,fixed_single,18919,,1.0,0,0.10585789999458939,1,,,
case_072,1,fixed_single,23897828,,1.0,108613680,1472.7616188041866,1,,,
case_073,1,fixed_single,10081626,,1.0,141570432,17.833000732585788,1,,,
case_074,1,fixed_single,1682239,,1.0,6070280,2.4328472999623045,1,,,
case_075,1,fixed_single,1441809,,1.0,0,0.08126869995612651,0,,,
case_076,1,fixed_single,6185113,,1.0,28280832,1.2126588728278875,0,,,
case_077,1,fixed_single,495320,,1.0,0,6.783543283119798,1,,,
case_078,1,fixed_single,2296143,,1.0,12644568,0.30788879992906004,1,,,
case_079,1,fixed_single,31052251,,1.0,32448512,0.5777684599161148,0,,,
case_080,1,fixed_single,292138,,1.0,548864,0.3377541999798268,1,,,
case_081,1,fixed_single,151795,,1.0,0,2.017779999994673,1,,,
case_082,1,fixed_single,721041,,1.0,0,1.7987723000114784,1,,,
case_083,1,fixed_single,1057993,,1.0,13934688,2.7029781999299303,1,,,
case_084,1,fixed_single,2507412,,1.0,0,166.03660434484482,1,,,
case_085,1,fixed_single,3187899,,1.0,0,317.23725084401667,1,,,
case_086,1,fixed_single,118403,,1.0,0,0.12453812919557095,0,,,
case_087,1,fixed_single,3974071,,1.0,7902720,0.6856701839715242,0,,,
case_088,1,fixed_single,243623,,1.0,0,1.279564299969934,1,,,
case_089,1,fixed_single,693092,,1.0,0,6.668733309954405,1,,,
case_090,1,fixed_single,1178363,,1.0,21233592,0.6441481999354437,1,,,
case_091,1,fixed_single,9186769,,1.0,53947008,1691.083665817976,1,,,
case_092,1,fixed_single,4815554,,1.0,66000096,452.98167476803064,1,,,
case_093,1,fixed_single,74205,,1.0,0,0.18302009999752045,1,,,
case_094,1,fixed_single,94892,,1.0,0,0.13802810001652688,1,,,
case_095,1,fixed_single,2084853,,1.0,0,0.09376809990499169,0,,,
case_096,1,fixed_single,84194,,1.0,0,0.28401079995092005,1,,,
case_097,1,fixed_single,11491509,,1.0,10584064,0.1129128000466153,0,,,
case_098,1,fixed_single,177430,,1.0,0,0.30291500000748783,1,,,
case_099,1,fixed_single,1622999,,1.0,5484544,0.0850420999340713,0,,,
case_100,1,fixed_single,151223,,1.0,0,0.30618760001379997,1,,,
case_001,2,shared_region,123018,233110,1.8949259457965502,265344,1.7464043999789283,11,133968,local_reschedule,600
case_001,2,shared_resource,123018,233110,1.8949259457965502,265344,1.1412538000149652,2,190216,local_reschedule,600
case_001,3,shared_region,85849,233110,2.715349043087281,241920,1.569873199914582,11,98772,grain_1.0,600
case_001,3,shared_resource,85849,233110,2.715349043087281,241920,1.0682240000460297,2,154100,grain_1.0,600
case_001,4,shared_region,67883,233110,3.4339967296672214,470400,1.7769481999566779,11,71772,directed_split,600
case_001,4,shared_resource,67883,233110,3.4339967296672214,470400,1.0166737999534234,2,135678,directed_split,600
case_001,5,shared_region,50223,233110,4.641498914839814,45312,1.5600873000221327,11,50628,region_repartition_3_0,600
case_001,5,shared_resource,50223,233110,4.641498914839814,45312,1.6991029001073912,6,119910,region_repartition_3_0,600
case_002,2,shared_region,138077,261945,1.8970936506442058,477696,3.2332470000255853,11,138980,directed_split,1798
case_002,2,shared_resource,138980,261945,1.8847675924593468,465408,3.6000202998984605,8,188980,grain_2.0,1798
case_002,3,shared_region,95931,261945,2.730556337367483,532992,3.3498916999669746,11,96927,local_reschedule,1798
case_002,3,shared_resource,96156,261945,2.724166978659678,529920,3.836647400050424,8,168566,directed_split,1798
case_002,4,shared_region,74618,261945,3.5104800450293494,536064,3.526100100018084,11,76485,directed_split,1798
case_002,4,shared_resource,74651,261945,3.50892821261604,536064,3.1752972999820486,5,162541,local_reschedule,1798
case_002,5,shared_region,60651,261945,4.3188900430330905,536064,3.402312600053847,11,64749,directed_split,1798
case_002,5,shared_resource,60651,261945,4.3188900430330905,536064,3.2290925999404863,5,162132,directed_split,1798
case_003,2,shared_region,462800,602212,1.3012359550561798,8565562,179.54510507546365,11,468580,region_boundary_13578_0,13455
case_003,2,shared_resource,455805,602212,1.321205340002852,8631098,88.5680416021496,5,619570,directed_split,13455
case_003,3,shared_region,378576,602212,1.5907294704365833,9989392,231.85742382518947,11,431918,directed_split,13455
case_003,3,shared_resource,378576,602212,1.5907294704365833,9989392,46.689705116674304,2,620062,directed_split,13455
case_003,4,shared_region,329107,602212,1.8298364969447627,11891502,233.79181145131588,11,422371,grain_0.25,13455
case_003,4,shared_resource,329107,602212,1.8298364969447627,11891502,47.2471364364028,2,614821,grain_0.25,13455
case_003,5,shared_region,294109,602212,2.047580998881367,11891502,231.7845381759107,11,419231,grain_0.25,13455
case_003,5,shared_resource,294109,602212,2.047580998881367,11891502,50.473970679566264,2,626544,grain_0.25,13455
case_004,2,shared_region,223999,392357,1.7516015696498646,3775488,2.7226532000349835,11,223999,greedy,777
case_004,2,shared_resource,223999,392357,1.7516015696498646,3775488,2.304903300013393,8,279738,grain_2.0,777
case_004,3,shared_region,154080,392357,2.54644989615784,3812352,2.739171300083399,11,162622,directed_split,777
case_004,3,shared_resource,162622,392357,2.412693239537086,3775488,2.178343700012192,8,237523,grain_2.0,777
case_004,4,shared_region,132261,392357,2.966535864691784,3978240,2.903395500034094,11,132607,random_boundary,777
case_004,4,shared_resource,130484,392357,3.0069357162563994,4396032,2.3227049000561237,8,205351,directed_split,777
case_004,5,shared_region,110692,392357,3.544583167708597,4171776,3.143781000049785,11,117528,local_reschedule,777
case_004,5,shared_resource,113730,392357,3.4498988833201443,4396032,2.617501499946229,8,210699,directed_split,777
case_005,2,shared_region,91571,95618,1.0441952146421902,2718104,11.29491950001102,11,92730,grain_1.0,4113
case_005,2,shared_resource,91571,95618,1.0441952146421902,2718104,5.898415299947374,5,101096,grain_1.0,4113
case_005,3,shared_region,88392,95618,1.0817494795909133,2736536,11.782393299974501,11,93171,directed_split,4113
case_005,3,shared_resource,88392,95618,1.0817494795909133,2736536,3.5742265000008047,2,103110,directed_split,4113
case_005,4,shared_region,87624,95618,1.0912307130466539,2736440,11.940069900010712,11,93352,region_boundary_2838_0,4113
case_005,4,shared_resource,87624,95618,1.0912307130466539,2736440,3.704748500022106,2,110569,region_boundary_2838_0,4113
