case,cores,config,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,official_calls,initial_makespan,best_candidate,noncopy_ops
case_001,1,fixed_single,233110,,1.0,0,0.18486669997218996,1,,,
case_001,2,shared_region,123018,233110,1.8949259457965502,265344,1.7464043999789283,11,133968,local_reschedule,600
case_001,3,shared_region,85849,233110,2.715349043087281,241920,1.569873199914582,11,98772,grain_1.0,600
case_001,4,shared_region,67883,233110,3.4339967296672214,470400,1.7769481999566779,11,71772,directed_split,600
case_001,5,shared_region,50223,233110,4.641498914839814,45312,1.5600873000221327,11,50628,region_repartition_3_0,600
case_002,1,fixed_single,261945,,1.0,0,0.5074374999385327,1,,,
case_002,2,shared_region,138077,261945,1.8970936506442058,477696,3.2332470000255853,11,138980,directed_split,1798
case_002,3,shared_region,95931,261945,2.730556337367483,532992,3.3498916999669746,11,96927,local_reschedule,1798
case_002,4,shared_region,74618,261945,3.5104800450293494,536064,3.526100100018084,11,76485,directed_split,1798
case_002,5,shared_region,60651,261945,4.3188900430330905,536064,3.402312600053847,11,64749,directed_split,1798
case_003,1,fixed_single,602212,,1.0,0,149.02482231333852,1,,,
case_003,2,shared_region,462800,602212,1.3012359550561798,8565562,179.54510507546365,11,468580,region_boundary_13578_0,13455
case_003,3,shared_region,378576,602212,1.5907294704365833,9989392,231.85742382518947,11,431918,directed_split,13455
case_003,4,shared_region,329107,602212,1.8298364969447627,11891502,233.79181145131588,11,422371,grain_0.25,13455
case_003,5,shared_region,294109,602212,2.047580998881367,11891502,231.7845381759107,11,419231,grain_0.25,13455
case_004,1,fixed_single,392357,,1.0,0,0.15889540000353009,1,,,
case_004,2,shared_region,223999,392357,1.7516015696498646,3775488,2.7226532000349835,11,223999,greedy,777
case_004,3,shared_region,154080,392357,2.54644989615784,3812352,2.739171300083399,11,162622,directed_split,777
case_004,4,shared_region,132261,392357,2.966535864691784,3978240,2.903395500034094,11,132607,random_boundary,777
case_004,5,shared_region,110692,392357,3.544583167708597,4171776,3.143781000049785,11,117528,local_reschedule,777
case_005,1,fixed_single,95618,,1.0,0,1.8924375000642613,1,,,
case_005,2,shared_region,91571,95618,1.0441952146421902,2718104,11.29491950001102,11,92730,grain_1.0,4113
case_005,3,shared_region,88392,95618,1.0817494795909133,2736536,11.782393299974501,11,93171,directed_split,4113
case_005,4,shared_region,87624,95618,1.0912307130466539,2736440,11.940069900010712,11,93352,region_boundary_2838_0,4113
case_005,5,shared_region,87840,95618,1.088547358834244,2736440,12.103244199999608,11,93479,region_boundary_2838_0,4113
case_006,1,fixed_single,82837,,1.0,16400,0.14662519993726164,1,,,
case_006,2,shared_region,45330,82837,1.8274211339069049,566668,1.5090946999844164,11,50872,region_boundary_794_1,678
case_006,3,shared_region,31819,82837,2.603381627329583,582028,1.7426410999614745,11,66036,local_reschedule,678
case_006,4,shared_region,31094,82837,2.6640831028494243,533902,1.5371559000341222,11,42077,local_reschedule,678
case_006,5,shared_region,32579,82837,2.5426501734245988,566668,2.0420395999681205,11,40434,grain_1.0,678
case_007,1,fixed_single,1012562,,1.0,0,7.0658664889633656,1,,,
case_007,2,shared_region,554554,1012562,1.8259033385387176,3703296,36.9922685213387,11,622754,region_boundary_1666_0,3885
case_007,3,shared_region,383009,1012562,2.6437028894882366,3675648,38.62729937210679,11,421875,local_reschedule,3885
case_007,4,shared_region,289431,1012562,3.4984573179790694,3821568,40.75645071081817,11,332778,local_reschedule,3885
case_007,5,shared_region,240492,1012562,4.210377060359596,4365312,41.5431764498353,11,273634,multilevel,3885
case_008,1,fixed_single,487605,,1.0,0,0.32040389999747276,1,,,
case_008,2,shared_region,253697,487605,1.9219975009558647,73728,2.7245730999857187,11,257495,local_reschedule,864
case_008,3,shared_region,171575,487605,2.841935013842343,0,2.266369399963878,11,185103,grain_1.0,864
case_008,4,shared_region,135279,487605,3.604439713481028,0,2.256630099960603,11,159661,grain_1.0,864
case_008,5,shared_region,116950,487605,4.169345874305258,0,2.330164200044237,11,119719,grain_0.5,864
case_009,1,fixed_single,153261,,1.0,0,0.05858379998244345,0,,,
case_009,2,shared_region,132262,153261,1.1587682025071449,1481610,26.911215299973264,11,133807,grain_1.0,5671
case_009,3,shared_region,117616,153261,1.3030625085022447,1951934,22.99872559995856,11,133705,directed_split,5671
case_009,4,shared_region,117873,153261,1.3002214247537605,1951422,23.504185900092125,11,133987,directed_split,5671
case_009,5,shared_region,120100,153261,1.2761115736885928,1948354,23.883034999947995,11,133912,region_boundary_4929_0,5671
case_010,1,fixed_single,86969,,1.0,0,0.1334698999999091,1,,,
case_010,2,shared_region,48487,86969,1.7936560315136016,586384,1.4997932000551373,11,59196,grain_1.0,667
case_010,3,shared_region,39104,86969,2.224043576104746,586384,1.363897299976088,11,46755,grain_1.0,667
case_010,4,shared_region,33256,86969,2.6151371181140246,590172,1.733939899946563,11,34012,random_boundary,667
case_010,5,shared_region,28842,86969,3.0153595451078288,958646,1.4944776999764144,11,35777,grain_0.25,667
case_011,1,fixed_single,184697,,1.0,0,0.13513259997125715,1,,,
case_011,2,shared_region,102580,184697,1.800516669916163,2957312,2.294524100027047,11,188187,directed_split,688
case_011,3,shared_region,77052,184697,2.397043555001817,3284992,2.128333400003612,11,188536,directed_split,688
case_011,4,shared_region,69067,184697,2.6741714567014636,3276800,2.2529522998956963,11,192656,grain_0.25,688
case_011,5,shared_region,69067,184697,2.6741714567014636,3276800,2.695980100077577,11,194624,grain_0.25,688
case_012,1,fixed_single,59088,,1.0,0,0.26356570003554225,1,,,
case_012,2,shared_region,31452,59088,1.8786722624952308,231542,2.73305420007091,11,32013,grain_2.0,972
case_012,3,shared_region,24032,59088,2.458721704394141,308780,2.835930300061591,11,24137,grain_1.0,972
case_012,4,shared_region,19733,59088,2.994374904981503,308780,2.9341051999945194,11,45873,grain_1.0,972
case_012,5,shared_region,17653,59088,3.3471931116524103,308780,3.023053999990225,11,35576,grain_1.0,972
case_013,1,fixed_single,263949,,1.0,0,1.0366367999231443,1,,,
case_013,2,shared_region,150293,263949,1.7562294983798314,2646016,7.720640200073831,11,177675,multilevel,1968
case_013,3,shared_region,113875,263949,2.3178836443468716,3037184,7.88943239999935,11,131514,local_reschedule,1968
case_013,4,shared_region,88543,263949,2.9810261680765278,2646016,9.042455900111236,11,112387,multilevel,1968
case_013,5,shared_region,88581,263949,2.9797473498831577,2648064,9.611158600077033,11,111990,directed_split,1968
case_014,1,fixed_single,17698626,,1.0,71010720,1.1467250678688288,0,,,
case_014,2,shared_region,9789960,17698626,1.807834352745057,192577700,516.6995455999859,11,9828278,region_placement_0,35705
case_014,3,shared_region,6951364,17698626,2.546065203893797,193506212,1017.4793414827436,11,6991917,directed_split,35705
case_014,4,shared_region,5547598,17698626,3.190322370150108,192767396,582.1640890277922,11,5616230,multilevel,35705
case_014,5,shared_region,4697656,17698626,3.7675440687866457,193966244,472.4652939867228,11,4803118,multilevel,35705
case_015,1,fixed_single,177362,,1.0,180256,0.2759828999405727,1,,,
case_015,2,shared_region,93955,177362,1.8877334894364324,1044220,2.572223099996336,11,93955,greedy,1013
case_015,3,shared_region,87939,177362,2.0168753340383674,1038332,2.473316099960357,11,87999,region_boundary_163_0,1013
case_015,4,shared_region,74224,177362,2.3895505496874327,2845122,2.6709708999842405,11,88665,grain_0.25,1013
case_015,5,shared_region,71787,177362,2.4706701770515553,2845122,3.1481853999430314,11,121727,grain_0.25,1013
case_016,1,fixed_single,7715523,,1.0,0,257.81222810968757,1,,,
case_016,2,shared_region,5440637,7715523,1.4181286125135715,134500220,376.62512569501996,11,8018449,directed_split,17995
case_016,3,shared_region,4478897,7715523,1.7226390783266505,134500220,347.414192950353,11,8018449,directed_split,17995
case_016,4,shared_region,4266542,7715523,1.808378541685515,134500220,353.0651107337326,11,8018449,directed_split,17995
case_016,5,shared_region,4158373,7715523,1.8554186938016384,134500220,348.5449034422636,11,8018449,directed_split,17995
case_017,1,fixed_single,162810,,1.0,22528,0.34561149997171015,1,,,
case_017,2,shared_region,86968,162810,1.872067887038911,445936,2.9500937000848353,11,90084,directed_split,1373
case_017,3,shared_region,58877,162810,2.7652563819488085,427492,3.1095942999236286,11,60707,local_reschedule,1373
case_017,4,shared_region,58607,162810,2.7779958025491833,1472406,3.4014734000666067,11,59345,grain_0.25,1373
case_017,5,shared_region,49911,162810,3.262006371340987,1472406,3.488616200047545,11,59650,grain_0.25,1373
case_018,1,fixed_single,1004367,,1.0,1970176,1.2541148000163957,1,,,
case_018,2,shared_region,560808,1004367,1.7909284460991997,8809488,8.150483799981885,11,561813,region_repartition_3_0,2727
case_018,3,shared_region,392394,1004367,2.5595880670958273,8383504,8.842875999980606,11,392394,greedy,2727
case_018,4,shared_region,316398,1004367,3.1743784726831397,8436752,9.532989999977872,11,324151,region_boundary_2816_0,2727
case_018,5,shared_region,271848,1004367,3.694590359318443,8879120,9.63845259998925,11,275509,local_reschedule,2727
case_019,1,fixed_single,81144,,1.0,0,0.14565720001701266,1,,,
case_019,2,shared_region,46867,81144,1.731367486717733,277524,1.4785251999273896,11,51991,grain_2.0,647
case_019,3,shared_region,31916,81144,2.5424238626394287,295712,1.4291373000014573,11,35344,local_reschedule,647
case_019,4,shared_region,25256,81144,3.212860310421286,256668,1.2138545999769121,11,28033,region_boundary_549_0,647
case_019,5,shared_region,23450,81144,3.4602985074626864,568740,1.4830648000352085,11,27181,directed_split,647
case_020,1,fixed_single,532746,,1.0,0,0.07569460000377148,0,,,
