case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_017,3,0,component_guard,55672,2.924450352062078,193568,3.27701991610229,directed_split,1,58877,5.4435518114034345,427492,58579,1,local_reschedule,True,[55672]
case_017,4,0,shared_region,58607,2.7779958025491833,1472406,3.391992036253214,grain_0.25,0,58607,0.0,1472406,,0,grain_0.25,True,[58607]
case_017,5,0,component_guard,33184,4.906280135004821,350244,3.437828617170453,directed_split,1,49911,33.513654304662296,1472406,35496,1,grain_0.25,True,[49911]
case_017,2,0,component_guard,85208,1.9107360811191438,106012,3.6528392396867275,directed_split,1,86968,2.0237328672615216,445936,87680,1,directed_split,False,"[85208, 86291]"
case_017,5,0,component_slot,33184,4.906280135004821,359460,3.659278756007552,region_repartition_2_0,1,49911,33.513654304662296,1472406,35496,1,grain_0.25,True,[49911]
case_017,5,0,shared_region,49911,3.262006371340987,1472406,3.733008747920394,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_017,4,0,component_guard,42384,3.841308040770102,259200,4.124148456379771,structural_component_pipe,1,58607,27.680993737949393,1472406,42384,1,grain_0.25,True,[58607]
case_017,2,0,shared_region,86968,1.872067887038911,445936,4.47754468396306,directed_split,0,86968,0.0,445936,,0,directed_split,True,"[92090, 86968, 91570]"
case_017,3,0,shared_region,58877,2.7652563819488085,427492,4.60770858079195,local_reschedule,0,58877,0.0,427492,,0,local_reschedule,True,[58877]
case_017,2,0,component_slot,85208,1.9107360811191438,106012,4.436719918623567,directed_split,1,86968,2.0237328672615216,445936,87680,1,directed_split,False,"[92090, 85208]"
case_017,3,0,component_slot,55672,2.924450352062078,193568,4.462519766762853,directed_split,1,58877,5.4435518114034345,427492,58579,1,local_reschedule,True,[58579]
case_017,4,0,component_slot,42384,3.841308040770102,259200,4.558255324140191,structural_component_pipe,1,58607,27.680993737949393,1472406,42384,1,grain_0.25,True,[58607]
case_045,3,0,shared_region,48646,2.582206142334416,323584,2.772108295932412,directed_split,0,48646,0.0,323584,,0,directed_split,True,"[48646, 49359]"
case_045,3,0,component_guard,42601,2.94861622966597,0,2.628862477838993,structural_component_lpt,1,48646,12.426509887760556,323584,42601,1,directed_split,False,"[43046, 43046]"
case_045,2,0,component_guard,63059,1.99200748505368,0,3.0180884804576635,structural_component_lpt,1,65817,4.190406733822568,348160,63059,1,directed_split,False,"[63297, 63138]"
case_045,2,0,shared_region,65817,1.9085342692617409,348160,3.5589806865900755,directed_split,0,65817,0.0,348160,,0,directed_split,True,"[65817, 69268]"
case_045,3,0,component_slot,42601,2.94861622966597,0,3.2644070517271757,structural_component_lpt,1,48646,12.426509887760556,323584,42601,1,directed_split,True,"[48646, 43046, 43046]"
case_045,2,0,component_slot,63059,1.99200748505368,0,3.7685718443244696,structural_component_lpt,1,65817,4.190406733822568,348160,63059,1,directed_split,True,"[65817, 63297, 63138]"
case_045,4,0,component_guard,31878,3.940460505677897,0,3.8503723684698343,structural_component_lpt,1,37337,14.620885448750569,303104,31878,1,local_reschedule,False,[]
case_045,4,0,shared_region,37337,3.3643302889894744,303104,4.0392850041389465,local_reschedule,0,37337,0.0,303104,,0,local_reschedule,True,[37337]
case_045,5,0,component_guard,26164,4.801024308209754,0,3.899999286979437,structural_component_lpt,1,33313,21.460090655299734,557056,26164,1,region_boundary_246_0,False,[]
case_045,5,0,shared_region,33313,3.770720139284964,557056,3.9729158356785774,region_boundary_246_0,0,33313,0.0,557056,,0,region_boundary_246_0,True,[33313]
case_045,4,0,component_slot,31878,3.940460505677897,0,4.052031774073839,structural_component_lpt,1,37337,14.620885448750569,303104,31878,1,local_reschedule,False,[]
