case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_017,5,1,component_guard,33184,4.906280135004821,350244,3.4060287419706583,directed_split,1,49911,33.513654304662296,1472406,35496,1,grain_0.25,True,[49911]
case_017,5,2,shared_region,49911,3.262006371340987,1472406,3.585199085995555,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_017,5,1,shared_region,49911,3.262006371340987,1472406,3.7921090442687273,grain_0.25,0,49911,0.0,1472406,,0,grain_0.25,True,[49911]
case_017,5,1,component_slot,33184,4.906280135004821,359460,4.675418121740222,region_repartition_2_0,1,49911,33.513654304662296,1472406,35496,1,grain_0.25,True,[49911]
case_017,5,2,component_guard,33184,4.906280135004821,350244,3.782849106937647,directed_split,1,49911,33.513654304662296,1472406,35496,1,grain_0.25,True,[49911]
case_017,5,2,component_slot,35496,4.586713995943205,340992,3.8864440638571978,structural_component_pipe,1,49911,28.881408907855985,1472406,35496,1,grain_0.25,True,[49911]
case_045,5,1,shared_region,32747,3.8358933642776436,655360,4.004906443879008,local_reschedule,0,32747,0.0,655360,,0,local_reschedule,True,[32747]
case_045,5,1,component_guard,26164,4.801024308209754,0,3.9604355935007334,structural_component_lpt,1,32747,20.102604818762025,655360,26164,1,local_reschedule,False,[26164]
case_045,5,1,component_slot,26164,4.801024308209754,0,3.008359018713236,structural_component_lpt,1,32747,20.102604818762025,655360,26164,1,local_reschedule,False,[26164]
case_045,5,2,component_slot,26164,4.801024308209754,0,2.5341630205512047,structural_component_lpt,1,33374,21.603643554863066,536576,26164,1,random_merge,False,[]
case_045,5,2,shared_region,33374,3.763828129681788,536576,4.101899839937687,random_merge,0,33374,0.0,536576,,0,random_merge,True,[33374]
case_045,5,2,component_guard,26164,4.801024308209754,0,4.078836981207132,structural_component_lpt,1,33374,21.603643554863066,536576,26164,1,random_merge,False,[]
case_048,5,1,shared_region,197613,1.1245211600451388,1716280,5.2881319262087345,grain_0.25,0,197613,0.0,1716280,,0,grain_0.25,True,[197613]
case_048,5,1,component_guard,197613,1.1245211600451388,1716280,5.05252874083817,grain_0.25,0,197613,0.0,1716280,,1,grain_0.25,True,[197613]
