case,cores,config,makespan,added_copy_bytes,single_makespan,speedup,source,evaluation_sha256
case_001,1,fixed_single,233110,0,233110,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_001,3d558715d34ae2c0c81cfe7ef8c2911d869a4ae51e19f01ace95322440b579ba
case_001,2,routes_gate_reuse,116868,1152,233110,1.9946435294520313,图表/runs/20260924-A-q1-event-ranking-full100/case_001_2cores_seed0_routes_gate_reuse,4a315b3694a816839cd40ef0b71b0133ebc5982311864440538618579a4e5e87
case_001,3,routes_gate_reuse,78545,2304,233110,2.9678528232223567,图表/runs/20260924-A-q1-event-ranking-full100/case_001_3cores_seed0_routes_gate_reuse,39f20d3255455d6a4c40d51b767d061fb9ce57171b37ea51a48a593ae36b91d5
case_001,4,routes_gate_reuse,58984,3456,233110,3.952088702020887,图表/runs/20260924-A-q1-event-ranking-full100/case_001_4cores_seed0_routes_gate_reuse,2225cf3e7a66b9d2d2507e8ee6af2f0cebc43c6be0bf33c2f83ac3ad39c7fb6f
case_001,5,routes_gate_reuse,47502,4608,233110,4.9073723211654245,图表/runs/20260924-A-q1-event-ranking-full100/case_001_5cores_seed0_routes_gate_reuse,3d52119c424365982c0d430dc7fabf5fdb6e289f5f24bb041c966be00499aaf7
case_002,1,fixed_single,261945,0,261945,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_002,57c6d8c9e278666bf7b7d9d24c882767a2b7d3828dae1a292fdf92546712fd88
case_002,2,routes_gate_reuse,138077,477696,261945,1.8970936506442058,图表/runs/20260924-A-q1-event-ranking-full100/case_002_2cores_seed0_routes_gate_reuse,74a82e2ec9b85dfcbf6a9f6347d6ff59cbbda774d56681faacb16abde7f8c882
case_002,3,routes_gate_reuse,95931,532992,261945,2.730556337367483,图表/runs/20260924-A-q1-event-ranking-full100/case_002_3cores_seed0_routes_gate_reuse,f6fb223078017d0c4183a23a44522815fdb5bfefa12dfbf187fbd0c4f3feedf7
case_002,4,routes_gate_reuse,74618,536064,261945,3.5104800450293494,图表/runs/20260924-A-q1-event-ranking-full100/case_002_4cores_seed0_routes_gate_reuse,3784596773ab6231e4463f8a608f35912b404a8091bca302efab8d033f13a486
case_002,5,routes_gate_reuse,60651,536064,261945,4.3188900430330905,图表/runs/20260924-A-q1-event-ranking-full100/case_002_5cores_seed0_routes_gate_reuse,4221d539aede45b7a35a82c539491185f19452fc5bfc3f2c4e53a223720e7a6c
case_003,1,fixed_single,602212,0,602212,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_003,2956b1c793793fd325b171b6d2a766afc21dd4d028c030da4cec6f5d2466c314
case_003,2,routes_gate_reuse,462800,8565562,602212,1.3012359550561798,图表/runs/20260924-A-q1-event-ranking-full100/case_003_2cores_seed0_routes_gate_reuse,15f070e0d0a2f894c42fb38d48c1d2c8148791a00af3577a4cc4a6883a5ef995
case_003,3,routes_gate_reuse,378576,9989392,602212,1.5907294704365833,图表/runs/20260924-A-q1-event-ranking-full100/case_003_3cores_seed0_routes_gate_reuse,c8c134b67a1666e5a698e4763028111913f0e57ad1f6c5d57b5e1685f85959d6
case_003,4,routes_gate_reuse,329107,11891502,602212,1.8298364969447627,图表/runs/20260924-A-q1-event-ranking-full100/case_003_4cores_seed0_routes_gate_reuse,be812e1ae08ca1d34861bbde1df8a0300c69994160d0052fe02bb85dde10d471
case_003,5,routes_gate_reuse,294109,11891502,602212,2.047580998881367,图表/runs/20260924-A-q1-event-ranking-full100/case_003_5cores_seed0_routes_gate_reuse,27ffb33bee3f0caeed32e3b918f516063e4928ca1f7fae233d16dfeb2161a917
case_004,1,fixed_single,392357,0,392357,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_004,9c0395bf2293452869d3cd87ca0ce457a91c2b8d2a095a03c5f1db219a3e1741
case_004,2,routes_gate_reuse,199074,110592,392357,1.9709103147573264,图表/runs/20260924-A-q1-event-ranking-full100/case_004_2cores_seed0_routes_gate_reuse,e7f94db45a9cdf09e82ffad102c008226df71a6ec058559b34c362477d02d349
case_004,3,routes_gate_reuse,134043,221184,392357,2.927098020784375,图表/runs/20260924-A-q1-event-ranking-full100/case_004_3cores_seed0_routes_gate_reuse,d0c4995e4fcc1a42a2263283733f1ff4f0f4e426140a5a486ebe70ae216f9b81
case_004,4,routes_gate_reuse,104188,331776,392357,3.765855952700887,图表/runs/20260924-A-q1-event-ranking-full100/case_004_4cores_seed0_routes_gate_reuse,87f87d95c2389419f92a96ed79d2ffddcded29f2c92288c7bb5a2085a673eab4
case_004,5,routes_gate_reuse,88341,442368,392357,4.441391879195391,图表/runs/20260924-A-q1-event-ranking-full100/case_004_5cores_seed0_routes_gate_reuse,18cf30b199a1669549e4d9a2199ebc2655442e8eab3dd12e4f3727b1361bb720
case_005,1,fixed_single,95618,0,95618,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_005,4021be3e83a10778d6134f88f52414de8e755bffc6fd70f6c7546cc1b02d6d97
case_005,2,routes_gate_reuse,91571,2718104,95618,1.0441952146421902,图表/runs/20260924-A-q1-event-ranking-full100/case_005_2cores_seed0_routes_gate_reuse,a938386cf89202ae615c48d0765b74f57f8b4b553b523859f905a1d0545c80ca
case_005,3,routes_gate_reuse,88392,2736536,95618,1.0817494795909133,图表/runs/20260924-A-q1-event-ranking-full100/case_005_3cores_seed0_routes_gate_reuse,3fc9e490218b7a8f18dfd97f1f601f58deed888f09b7bfc2d40ecc5b72464f59
case_005,4,routes_gate_reuse,87624,2736440,95618,1.0912307130466539,图表/runs/20260924-A-q1-event-ranking-full100/case_005_4cores_seed0_routes_gate_reuse,c945568a374275d5de81f7eaeef29417181434f4f973152681e7ba5de5d8de23
case_005,5,routes_gate_reuse,87840,2736440,95618,1.088547358834244,图表/runs/20260924-A-q1-event-ranking-full100/case_005_5cores_seed0_routes_gate_reuse,8244175e8ac6795b1bb0dd4bb5300d4d4e2441fab5e77b5b1fed63b544d80d39
case_006,1,fixed_single,82837,16400,82837,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_006,f3e6b857986bd8211db90e520400fe35e317e04fa692351c2c30dd210006ddea
case_006,2,routes_gate_reuse,42379,56200,82837,1.9546709455154676,图表/runs/20260924-A-q1-event-ranking-full100/case_006_2cores_seed0_routes_gate_reuse,16a91e82a6ea035410ce8d527475ad60eac273ffe1c8289e920088f4c4dde41f
case_006,3,routes_gate_reuse,32925,337092,82837,2.515930144267274,图表/runs/20260924-A-q1-event-ranking-full100/case_006_3cores_seed0_routes_gate_reuse,d83124f9476eb12728d8a37c11248ba919c39bf6a9d632221fe87c9361ef7271
case_006,4,routes_gate_reuse,31129,533902,82837,2.661087731697131,图表/runs/20260924-A-q1-event-ranking-full100/case_006_4cores_seed0_routes_gate_reuse,39aa8046487954765b053e0c65525f7a0bec0bff2e9cde94d09581b4d408179c
case_006,5,routes_gate_reuse,31729,91264,82837,2.6107661760534526,图表/runs/20260924-A-q1-event-ranking-full100/case_006_5cores_seed0_routes_gate_reuse,bf317cb023aac5992268bb109ff7bd0fa29fe92e8b860a14e98472e939f446eb
case_007,1,fixed_single,1012562,0,1012562,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_007,4ee99f723d9c613f9968199984b10fe12e7757187087737287fe415cd4836cae
case_007,2,routes_gate_reuse,507494,27648,1012562,1.9952196479170197,图表/runs/20260924-A-q1-event-ranking-full100/case_007_2cores_seed0_routes_gate_reuse,f4253e276accaaef65b8c904653d5ca4be74bfe87ea028d15b1b196719ab85f3
case_007,3,routes_gate_reuse,338094,55296,1012562,2.994912657426633,图表/runs/20260924-A-q1-event-ranking-full100/case_007_3cores_seed0_routes_gate_reuse,00389a3222fe8a4494f473a6cac9df673009377ba832ec9b6ead8f40474e4cf9
case_007,4,routes_gate_reuse,254398,82944,1012562,3.980227831979811,图表/runs/20260924-A-q1-event-ranking-full100/case_007_4cores_seed0_routes_gate_reuse,0da427e3b7070280d3a872250a35316d8413b2b22c27407082e1c7ac8d3cd7eb
