case,cores,single,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,old_makespan,reference_makespan,solve_seconds,verification_seconds,host
case_001,2,233110,116868,1.9946435294520313,1152,1152,0,116868,116868,1.109725100104697,0.016787600005045533,local
case_001,3,233110,78545,2.9678528232223567,2304,2304,0,78545,78545,1.0897213999414816,0.01663259998895228,local
case_001,4,233110,58984,3.952088702020887,3456,3456,0,58984,58984,1.141564500052482,0.017287799972109497,local
case_001,5,233110,47502,4.9073723211654245,4608,4608,0,47502,47502,1.1334493999602273,0.016635900014080107,local
case_002,2,261945,138077,1.8970936506442058,477696,477696,0,138077,133697,6.517295841127634,0.03757708519697189,server
case_002,3,261945,95931,2.730556337367483,532992,532992,0,95931,93813,7.4065731558948755,0.04051000066101551,server
case_002,4,261945,74618,3.5104800450293494,536064,536064,0,74618,93916,6.17573781311512,0.033866578713059425,server
case_002,5,261945,60651,4.3188900430330905,536064,536064,0,60651,86435,6.790521023795009,0.035943808034062386,server
case_003,2,602212,462800,1.3012359550561798,8565562,8565562,0,462800,406278,105.48705548606813,0.3915572203695774,server
case_003,3,602212,378576,1.5907294704365833,9989392,9989392,0,378576,333769,108.12948506325483,0.5583290550857782,server
case_003,4,602212,329107,1.8298364969447627,11891502,11891502,0,329107,301609,107.02365427277982,0.6021671239286661,server
case_003,5,602212,294109,2.047580998881367,11891502,11891502,0,294109,287876,112.34736599214375,0.6706334259361029,server
case_004,2,392357,199074,1.9709103147573264,110592,110592,0,199074,199074,1.397112900041975,0.013686500024050474,local
case_004,3,392357,134043,2.927098020784375,221184,221184,0,134043,134043,1.3026253998978063,0.015568199916742742,local
case_004,4,392357,104188,3.765855952700887,331776,331776,0,104188,104188,1.44962279999163,0.016181099927052855,local
case_004,5,392357,88341,4.441391879195391,442368,442368,0,88341,88341,1.4084279000526294,0.015186000033281744,local
case_005,2,95618,91571,1.0441952146421902,2718104,2718104,0,91571,73560,19.404766730964184,0.08220024593174458,server
case_005,3,95618,88392,1.0817494795909133,2736536,2736536,0,88392,65325,20.830163119360805,0.08294405043125153,server
case_005,4,95618,87624,1.0912307130466539,2736440,2736440,0,87624,63407,21.929961355403066,0.12100396864116192,server
case_005,5,95618,87840,1.088547358834244,2736440,2736440,0,87840,62867,22.237771911546588,0.11116381920874119,server
case_006,2,82837,42379,1.9546709455154676,56200,43904,12296,42379,42379,1.1211157999932766,0.01198629999998957,local
case_006,3,82837,32925,2.515930144267274,337092,337092,0,31819,31152,1.3033075999701396,0.09954820002894849,local
case_006,4,82837,31129,2.661087731697131,533902,533902,0,31094,27328,1.2129876000108197,0.08951349998824298,local
case_006,5,82837,31729,2.6107661760534526,91264,91264,0,32579,27728,1.328386400011368,0.10233319993130863,local
case_007,2,1012562,507494,1.9952196479170197,27648,27648,0,507494,507494,26.401923587545753,0.04675818793475628,server
case_007,3,1012562,338094,2.994912657426633,55296,55296,0,338094,338094,26.771724985912442,0.061448248103260994,server
case_007,4,1012562,254398,3.980227831979811,82944,82944,0,254398,254398,25.767222611233592,0.0761252474039793,server
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,203834,203834,25.991107573732734,0.07646002247929573,server
case_008,2,487605,244266,1.9962049568912579,0,0,0,244266,244266,1.5579082999611273,0.020732800010591745,local
case_008,3,487605,163359,2.984867684057811,0,0,0,163359,163359,1.5156202999642119,0.02233659999910742,local
case_008,4,487605,123060,3.962335446123842,0,0,0,123060,123060,1.4231172000290826,0.017860400024801493,local
case_008,5,487605,100603,4.846823653370178,0,0,0,100603,100603,1.5511363999685273,0.019578999956138432,local
case_009,2,153261,92259,1.6612037849965857,182950,182950,0,132262,92198,40.59786695614457,0.07846786081790924,server
case_009,3,153261,92004,1.6658080083474631,193702,193702,0,117616,91440,41.07842209748924,0.07906502485275269,server
case_009,4,153261,92192,1.6624110551891704,225586,225586,0,117873,83225,39.60864528641105,0.0762295164167881,server
case_009,5,153261,91903,1.6676387060270068,214604,214604,0,120100,75973,40.02630488201976,0.08020775578916073,server
case_010,2,86969,45626,1.9061280848638933,48384,48384,0,45626,45626,1.1436751999426633,0.010980000020936131,local
case_010,3,86969,34518,2.519526044382641,395696,395696,0,39104,30856,1.2128612999804318,0.013104299898259342,local
case_010,4,86969,30262,2.873868217566585,575880,575880,0,33256,29856,1.1238476000726223,0.01342780003324151,local
case_010,5,86969,28842,3.0153595451078288,958646,958646,0,28842,30234,1.2383271000580862,0.019984200014732778,local
case_011,2,184697,92646,1.9935777043801135,180224,180224,0,92646,92646,1.1634724999312311,0.013915899908170104,local
case_011,3,184697,69625,2.6527396768402154,1081344,1081344,0,69625,69625,1.253800299949944,0.019257399952039123,local
case_011,4,184697,46880,3.9397824232081913,540672,540672,0,46880,46880,1.3344503999687731,0.01670929999090731,local
case_011,5,184697,47047,3.9257976066486706,1630208,1630208,0,47047,47287,1.4547642999095842,0.020026299986056983,local
case_012,2,59088,29489,2.0037302044830274,71816,71816,0,29489,30094,1.9327172000193968,0.01758240000344813,local
case_012,3,59088,20230,2.9208106772120614,43320,43320,0,20230,20637,1.7150847000302747,0.01914670004043728,local
case_012,4,59088,15724,3.7578224370389215,86400,86400,0,15724,16168,2.037958599976264,0.019009899930097163,local
case_012,5,59088,13406,4.407578696106221,53568,53568,0,13406,13406,1.8328679000260308,0.019818699918687344,local
case_013,2,263949,132198,1.9966187083011846,8192,8192,0,132198,132198,13.9469357393682,0.05143207125365734,server
case_013,3,263949,88351,2.98750438591527,16384,16384,0,88351,88351,14.116345904767513,0.03761010803282261,server
case_013,4,263949,66982,3.9405959810098237,24576,24576,0,66982,66982,13.7853725515306,0.04254354350268841,server
case_013,5,263949,54363,4.855305998565201,32768,32768,0,54363,54363,12.63535769842565,0.07604878582060337,server
case_014,2,17698626,8909568,1.9864740916731316,69998520,9893208,60105312,8909568,8809441,311.56475827656686,0.747096111997962,server
case_014,3,17698626,6002519,2.9485331075170276,84088488,19786416,64302072,6002519,5934863,357.1129451543093,0.5067818872630596,server
case_014,4,17698626,4543360,3.8954927630652203,76510104,28205064,48305040,4543360,4513468,313.94561481289566,0.6947930976748466,server
case_014,5,17698626,3694137,4.791004231840887,88763688,36365664,52398024,3694137,3678253,314.01190965250134,0.8293454833328724,server
case_015,2,177362,90480,1.960234305923961,199944,109824,90120,90480,90480,1.8245754999807104,0.017092599999159575,local
case_015,3,177362,61018,2.906716051001344,298252,208128,90124,61018,60815,2.0704903999576345,0.01965929998550564,local
case_015,4,177362,48866,3.6295583841525807,365824,324864,40960,48866,48866,1.9287112000165507,0.022245300002396107,local
case_015,5,177362,44068,4.024734501225379,331776,331776,0,44068,42569,2.0725204000482336,0.01812920009251684,local
case_016,2,7715523,5440637,1.4181286125135715,134500220,134500220,0,5440637,5619775,119.73983779363334,0.397239388898015,server
case_016,3,7715523,4478897,1.7226390783266505,134500220,134500220,0,4478897,4734206,121.93213598057628,0.5357222314924002,server
case_016,4,7715523,4266542,1.808378541685515,134500220,134500220,0,4266542,4545411,122.72553174942732,0.5435571633279324,server
case_016,5,7715523,4158373,1.8554186938016384,134500220,134500220,0,4158373,4082154,122.27789946831763,0.5272166728973389,server
case_017,2,162810,81117,2.0071008543215356,110100,110100,0,81117,81776,8.16204003430903,0.02403000183403492,server
case_017,3,162810,53799,3.0262644287068534,196920,196920,0,53799,49383,7.105870356783271,0.025751164183020592,server
case_017,4,162810,41101,3.961217488625581,285984,285984,0,41101,39733,7.1014857199043036,0.02082943543791771,server
case_017,5,162810,33081,4.921556180284756,359460,359460,0,33081,33998,8.792205795645714,0.027363449335098267,server
case_018,2,1004367,501235,2.003784651909783,2622524,2094140,528384,501235,504287,17.818669594824314,0.05707632005214691,server
case_018,3,1004367,336388,2.9857396815582007,4077600,3053600,1024000,336388,339082,20.790859216824174,0.05544048361480236,server
case_018,4,1004367,253676,3.9592511707847806,4938752,3779584,1159168,253676,253676,20.64489928819239,0.0669708326458931,server
case_018,5,1004367,203806,4.928054129907854,5603348,5144596,458752,203806,205219,21.422647716477513,0.05708560347557068,server
case_019,2,81144,40136,2.021726131154076,42540,42540,0,40136,41643,1.0341206999728456,0.013099199975840747,local
case_019,3,81144,27848,2.9138178684286125,83520,83520,0,27848,28153,1.1255936999805272,0.013076300034299493,local
case_019,4,81144,24465,3.316738197424893,285312,285312,0,25256,24099,1.0413084001047537,0.08040490001440048,local
case_019,5,81144,23450,3.4602985074626864,568740,568740,0,23450,21122,1.207967899972573,0.01700610003899783,local
case_020,2,532746,266580,1.9984469952734638,0,0,0,266580,266580,33.70305010303855,0.11889501847326756,server
case_020,3,532746,177950,2.993796010115201,0,0,0,177950,177950,38.37339797988534,0.06531144678592682,server
case_020,4,532746,133704,3.984518039849219,0,0,0,133704,133704,36.48022636398673,0.08531196787953377,server
case_020,5,532746,107650,4.948871342313051,0,0,0,107650,107650,36.09406760893762,0.08709358237683773,server
case_021,2,6567937,3168548,2.0728538750241436,50104320,50104320,0,3168548,3109260,32.63503815419972,0.1781920064240694,server
case_021,3,6567937,2124156,3.092021960722282,50071552,50071552,0,2124156,2101777,35.80320024676621,0.1673449445515871,server
case_021,4,6567937,1550324,4.236493145948847,4608000,4608000,0,1611899,1550324,34.974353056401014,0.0961519367992878,server
case_021,5,6567937,1249916,5.254702716022517,11845632,10240000,1605632,1313319,1249504,40.700626811012626,0.15099904499948025,server
case_022,2,56780,28303,2.006147758188178,6912,6912,0,28303,28303,2.3317997999256477,0.015417099930346012,local
case_022,3,56780,18978,2.9918853409210664,13824,13824,0,18978,18978,2.4297884999541566,0.015707499929703772,local
case_022,4,56780,14336,3.960658482142857,20736,20736,0,14336,14336,2.4005671000340953,0.01643839990720153,local
case_022,5,56780,11479,4.9464239045213,24612,24612,0,11479,11603,2.245570100028999,0.016018600086681545,local
case_023,2,122614,61065,2.0079259805125687,73728,73728,0,61065,61065,1.800472299917601,0.014806100050918758,local
case_023,3,122614,40682,3.0139619487734133,207264,207264,0,40682,40682,1.7728227000916377,0.015418800059705973,local
case_023,4,122614,30516,4.018023332022546,281280,281280,0,30516,30516,1.6921917999861762,0.01763570006005466,local
case_023,5,122614,24940,4.91635926222935,280992,280992,0,24940,24573,1.9564162999158725,0.015589100075885653,local
case_024,2,2555343,1803647,1.4167644777498036,44243528,44243528,0,1803647,1782398,30.001189816743135,0.1293744072318077,server
case_024,3,2555343,1483888,1.7220592120160012,44243528,44243528,0,1483888,1556206,29.532953960821033,0.1358727067708969,server
case_024,4,2555343,1413568,1.8077255568886677,44243528,44243528,0,1413568,1401810,29.19908127374947,0.1474951785057783,server
case_024,5,2555343,1378992,1.8530513592537157,44243528,44243528,0,1378992,1333910,31.326928017660975,0.20678996481001377,server
case_025,2,4863026,2431840,1.9997310678334101,27648,27648,0,2431840,2431840,256.91284109279513,0.2909390293061733,server
case_025,3,4863026,1622164,2.9978633479722148,55296,55296,0,1622164,1622164,255.76419060118496,0.3080834560096264,server
case_025,4,4863026,1217444,3.9944555971362954,82944,82944,0,1217444,1217444,254.95160405524075,0.34833019226789474,server
case_025,5,4863026,975282,4.986276789687495,110592,110592,0,975282,975282,253.2495682965964,0.3616010993719101,server
case_026,2,99203,51839,1.91367503231158,218580,218580,0,51839,55057,0.9996700000483543,0.014179600053466856,local
case_026,3,99203,42174,2.3522312325129224,381752,381752,0,50092,41670,1.1626142000313848,0.015165999997407198,local
case_026,4,99203,42089,2.3569816341561927,217872,217872,0,50038,42208,1.1360264000250027,0.014338499982841313,local
case_026,5,99203,43946,2.257384062258226,414504,414504,0,50757,44780,1.2205426000291482,0.013748500030487776,local
case_027,2,2363952,1116984,2.1163705120216583,1843200,1843200,0,1157230,1119508,9.43078549951315,0.03803602047264576,server
case_027,3,2363952,804739,2.937538754801246,19496960,19496960,0,816499,837049,11.50374480895698,0.05940795876085758,server
case_027,4,2363952,559196,4.227412213249022,3317760,3317760,0,644890,559196,9.7811283711344,0.03579736314713955,server
case_027,5,2363952,558753,4.230763861670542,5529600,5529600,0,644890,558753,11.51351574063301,0.04943990148603916,server
case_028,2,43836040,20808183,2.106673129508713,310682880,310516992,165888,20808183,22648929,193.37105559185147,0.5260658320039511,server
case_028,3,43836040,13957556,3.1406673202672444,310848768,310682880,165888,13957556,16289869,178.829605916515,0.5065618865191936,server
case_028,4,43836040,10676362,4.105896746476,310848768,310682880,165888,10676362,13397525,185.94676604494452,0.3918791953474283,server
case_028,5,43836040,9004662,4.868149409716878,286344264,276644040,9700224,9004662,11427204,183.52695473097265,0.4550703540444374,server
case_029,2,37555,19740,1.9024822695035462,0,0,0,19740,19740,1.3090004000114277,0.015431899926625192,local
case_029,3,37555,12743,2.9471082162756024,0,0,0,12743,12743,1.26424029993359,0.015194999985396862,local
case_029,4,37555,11028,3.405422560754443,0,0,0,11028,11028,1.3199237000662833,0.018183000036515296,local
case_029,5,37555,9383,4.002451241607162,0,0,0,9383,9383,1.255979000008665,0.02177500003017485,local
case_030,2,2808034,1399339,2.006686013896561,5285020,2376860,2908160,1399339,1399653,86.91161340102553,0.16504765674471855,server
case_030,3,2808034,932367,3.0117260692409746,8365156,4249700,4115456,932367,933857,84.30239642597735,0.1835883315652609,server
case_030,4,2808034,700342,4.009518206818954,10404864,5819392,4585472,700342,700342,81.90998287498951,0.206875404343009,server
case_030,5,2808034,560306,5.011607942802683,11168828,7664700,3504128,560306,561102,86.8363097384572,0.21223552338778973,server
case_031,2,1414369,712262,1.985742605951181,5250048,1731072,3518976,712262,712262,50.105165930464864,0.09781955741345882,server
case_031,3,1414369,473822,2.985021801435982,7544832,3462144,4082688,473822,473822,50.17245869524777,0.09605962038040161,server
case_031,4,1414369,356417,3.968298369606388,7926272,5726720,2199552,356417,358129,52.51955673098564,0.12455428205430508,server
