case,cores,seed,baseline_makespan,makespan,baseline_speedup,speedup,baseline_added_bytes,added_bytes,time_reduction_pct,unlocked,second_scored,winner,skip_reason
case_045,3,0,42601,42601,2.94861622966597,2.94861622966597,0,0,0.0,True,False,structural_component_lpt,
case_017,2,0,85208,85208,1.9107360811191438,1.9107360811191438,106012,106012,0.0,True,False,directed_split,no_unprotected_opportunity_before_budget_end
case_045,2,0,63059,63059,1.99200748505368,1.99200748505368,0,0,0.0,True,True,structural_component_lpt,
case_017,5,0,33184,33184,4.906280135004821,4.906280135004821,359460,359460,0.0,True,False,region_repartition_2_0,no_unprotected_opportunity_before_budget_end
case_017,3,0,55672,55672,2.924450352062078,2.924450352062078,193568,193568,0.0,True,False,directed_split,no_unprotected_opportunity_before_budget_end
case_017,4,0,42384,42384,3.841308040770102,3.841308040770102,259200,259200,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_045,4,0,31878,31878,3.940460505677897,3.940460505677897,0,0,0.0,True,True,structural_component_lpt,
case_045,5,0,26164,26164,4.801024308209754,4.801024308209754,0,0,0.0,True,False,structural_component_lpt,no_unprotected_opportunity_before_budget_end
case_065,2,0,26972,26972,1.9675218745365564,1.9675218745365564,13968,13968,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_065,3,0,18135,18135,2.926275158533223,2.926275158533223,27792,27792,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_048,2,0,197496,197496,1.1251873455664925,1.1251873455664925,1716280,1716280,0.0,False,False,grain_0.25,
case_065,4,0,13800,13800,3.8455072463768114,3.8455072463768114,41904,41904,0.0,True,False,structural_component_lpt,no_unprotected_opportunity_before_budget_end
case_048,3,0,197613,197613,1.1245211600451388,1.1245211600451388,1716280,1716280,0.0,False,False,grain_0.25,
case_048,4,0,197613,197613,1.1245211600451388,1.1245211600451388,1716280,1716280,0.0,False,False,grain_0.25,
case_048,5,0,197613,197613,1.1245211600451388,1.1245211600451388,1716280,1716280,0.0,False,False,grain_0.25,
case_065,5,0,11607,11607,4.572068579305592,4.572068579305592,55728,55728,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_002,3,0,95931,95931,2.730556337367483,2.730556337367483,532992,532992,0.0,False,False,local_reschedule,
case_002,2,0,138077,138077,1.8970936506442058,1.8970936506442058,477696,477696,0.0,False,False,directed_split,
case_002,4,0,74618,74618,3.5104800450293494,3.5104800450293494,536064,536064,0.0,False,False,directed_split,
case_002,5,0,60651,60651,4.3188900430330905,4.3188900430330905,536064,536064,0.0,False,False,directed_split,
case_077,4,0,144501,144501,3.4277963474301214,3.4277963474301214,348646,348646,0.0,True,False,region_repartition_2_0,no_unprotected_opportunity_before_budget_end
case_077,5,0,115141,115141,4.301855985270234,4.301855985270234,225046,225046,0.0,True,False,directed_split,no_unprotected_opportunity_before_budget_end
case_077,3,0,178648,178648,2.772603107787381,2.772603107787381,270336,270336,0.0,True,False,region_repartition_2_0,no_unprotected_opportunity_before_budget_end
case_077,2,0,250735,248734,1.9754721119907472,1.9913642686564763,57344,57344,0.798053722057152,True,True,structural_component_lpt,
case_063,3,0,371366,371366,2.882323637597411,2.882323637597411,1903104,1903104,0.0,False,False,greedy,
case_063,2,0,552512,552512,1.9373280580331287,1.9373280580331287,1903104,1903104,0.0,False,False,greedy,
case_063,5,0,229053,229053,4.673141150738039,4.673141150738039,1920000,1920000,0.0,False,False,local_reschedule,
case_063,4,0,283231,283231,3.7792367360917414,3.7792367360917414,1915392,1915392,0.0,False,False,directed_split,
case_067,2,0,32203165,32203165,1.9822534213640182,1.9822534213640182,262601984,262601984,0.0,False,False,local_reschedule,
case_067,3,0,21585693,21585693,2.957275172958311,2.957275172958311,247821184,247821184,0.0,False,False,grain_0.25,
case_028,3,0,13957556,13957556,3.1406673202672444,3.1406673202672444,310848768,310848768,0.0,False,False,directed_split,
case_028,4,0,10676362,10676362,4.105896746476,4.105896746476,310848768,310848768,0.0,False,False,local_reschedule,
case_028,2,0,20808183,20808183,2.106673129508713,2.106673129508713,310682880,310682880,0.0,False,False,grain_1.0,
case_028,5,0,9004662,9004662,4.868149409716878,4.868149409716878,286344264,286344264,0.0,False,False,region_boundary_8758_0,
case_067,4,0,16358776,16358776,3.902176666518326,3.902176666518326,262601984,262601984,0.0,False,False,directed_split,
case_006,2,0,45330,45330,1.8274211339069049,1.8274211339069049,566668,566668,0.0,False,False,region_boundary_794_1,first_probe_did_not_improve_makespan
case_006,3,0,31819,31819,2.603381627329583,2.603381627329583,582028,582028,0.0,False,False,local_reschedule,
case_006,4,0,31094,31094,2.6640831028494243,2.6640831028494243,533902,533902,0.0,False,False,local_reschedule,
case_006,5,0,32579,32579,2.5426501734245988,2.5426501734245988,566668,566668,0.0,False,False,grain_1.0,
case_067,5,0,13455316,13455316,4.744209203262116,4.744209203262116,262606080,262606080,0.0,False,False,local_reschedule,
case_040,2,0,143799,120926,1.762557458674956,2.095942973388684,53760,283200,15.906230224132296,True,True,directed_split,
case_040,3,0,145657,145657,1.7400742841058103,1.7400742841058103,4050912,4050912,0.0,False,False,directed_split,
case_040,5,0,142985,142985,1.7725915305801307,1.7725915305801307,4050916,4050916,0.0,False,False,local_reschedule,
case_040,4,0,142257,142257,1.7816627652769284,1.7816627652769284,4018142,4018142,0.0,False,False,region_boundary_6297_0,
case_090,2,0,625263,625263,1.884587765468291,1.884587765468291,18405960,18405960,0.0,False,False,region_repartition_3_0,
case_090,4,0,527825,527825,2.232488040543741,2.232488040543741,19402440,19402440,0.0,False,False,region_placement_0,
