case,cores,seed,baseline_makespan,makespan,baseline_speedup,speedup,baseline_added_bytes,added_bytes,time_reduction_pct,unlocked,second_scored,winner,skip_reason
case_017,5,1,33184,33184,4.906280135004821,4.906280135004821,359460,359460,0.0,True,False,region_repartition_2_0,no_unprotected_opportunity_before_budget_end
case_017,5,2,35496,35496,4.586713995943205,4.586713995943205,340992,340992,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_045,5,1,26164,26164,4.801024308209754,4.801024308209754,0,0,0.0,True,False,structural_component_lpt,no_unprotected_opportunity_before_budget_end
case_045,5,2,26164,26164,4.801024308209754,4.801024308209754,0,0,0.0,True,False,structural_component_lpt,no_unprotected_opportunity_before_budget_end
case_048,5,1,197613,197613,1.1245211600451388,1.1245211600451388,1716280,1716280,0.0,False,False,grain_0.25,
case_048,5,2,197613,197613,1.1245211600451388,1.1245211600451388,1716280,1716280,0.0,False,False,grain_0.25,
case_065,5,1,11607,11607,4.572068579305592,4.572068579305592,55728,55728,0.0,True,False,structural_component_pipe,no_unprotected_opportunity_before_budget_end
case_065,5,2,18025,18025,2.944133148404993,2.944133148404993,452788,452788,0.0,False,False,local_reschedule,no_unprotected_opportunity_before_budget_end
case_077,5,1,115141,115141,4.301855985270234,4.301855985270234,225046,225046,0.0,True,False,directed_split,no_unprotected_opportunity_before_budget_end
case_077,5,2,115141,115141,4.301855985270234,4.301855985270234,225046,225046,0.0,True,False,directed_split,no_unprotected_opportunity_before_budget_end
case_002,5,1,60651,60651,4.3188900430330905,4.3188900430330905,536064,536064,0.0,False,False,directed_split,
case_002,5,2,60651,60651,4.3188900430330905,4.3188900430330905,536064,536064,0.0,False,False,directed_split,
case_028,5,1,8768758,8768758,4.999116180421447,4.999116180421447,286403400,286403400,0.0,False,False,local_reschedule,
case_028,5,2,9004662,9004662,4.868149409716878,4.868149409716878,286344264,286344264,0.0,False,False,region_boundary_8758_0,
case_063,5,1,229321,229321,4.667679802547521,4.667679802547521,1964544,1964544,0.0,False,False,directed_split,
case_063,5,2,229053,229053,4.673141150738039,4.673141150738039,1920000,1920000,0.0,False,False,local_reschedule,
case_067,5,1,13455316,13455316,4.744209203262116,4.744209203262116,262606080,262606080,0.0,False,False,local_reschedule,
case_067,5,2,13437485,13437485,4.750504577307435,4.750504577307435,262619904,262619904,0.0,False,False,region_boundary_748_0,
case_085,5,1,1169044,1169044,2.72692815668187,2.72692815668187,34301210,34301210,0.0,False,False,grain_0.25,
case_085,5,2,1169044,1169044,2.72692815668187,2.72692815668187,34301210,34301210,0.0,False,False,grain_0.25,
