stage,case,cores,baseline,unguarded,event_guarded,unguarded_bytes,event_guarded_bytes,unguarded_solve_seconds,event_solve_seconds
development,case_039,2,841140,708557,708557,11550720,11550720,49.02797542139888,63.66223740018904
development,case_039,3,649664,482318,482318,15020032,15020032,51.40439847484231,66.52289941161871
development,case_039,4,564871,395323,395323,17604608,17604608,51.83001943677664,66.7868864312768
development,case_039,5,511084,431161,431161,20480000,20480000,54.37596895173192,67.43069119565189
development,case_058,5,1524911,1002440,1002440,33316864,33316864,172.73423687554896,223.043684348464
development,case_009,2,132262,92259,92259,182950,182950,36.95439557172358,49.02896450459957
development,case_058,3,1910788,1532367,1532367,31514624,31514624,179.7788620237261,230.62996982224286
development,case_058,4,1624923,1152464,1152464,42893312,42893312,189.81295659951866,234.44023725017905
development,case_009,3,117616,92004,92004,193702,193702,35.28492232784629,47.93684121593833
development,case_100,2,80622,80622,80622,16896,16896,7.697999665513635,7.256477443501353
development,case_058,2,2658985,2268326,2268326,33972224,33972224,193.51195495016873,244.14474832080305
development,case_100,3,83808,58758,58758,698388,698388,7.01672475785017,8.941962599754333
development,case_100,4,75379,58793,58793,534528,534528,6.599601207301021,8.292931582778692
development,case_100,5,75870,59649,59649,534528,534528,7.163263039663434,8.412805687636137
development,case_009,4,117873,92192,92192,225586,225586,34.56362639926374,44.34230592660606
development,case_040,2,120926,120926,120926,283200,283200,19.897343542426825,20.121686501428485
development,case_009,5,120100,91903,91903,214604,214604,35.339465165510774,45.802299335598946
development,case_040,3,145657,109777,109777,642836,642836,20.136602202430367,25.839565372094512
development,case_040,4,142257,109607,109607,1022796,1022796,18.154205325990915,23.09265244565904
development,case_040,5,142985,108131,108131,727212,727212,18.440401151776314,23.679168716073036
development,case_072,2,12769723,11841342,11841342,110234400,110234400,347.75896847061813,426.7340040896088
development,case_072,3,8956496,7929522,7929522,115280672,115280672,347.65679180808365,434.55142166279256
development,case_067,2,32203165,32203165,32203165,262601984,262601984,71.55069376714528,90.49655026383698
development,case_072,4,7126265,5990048,5990048,120472240,120472240,349.9710275642574,443.4354230724275
development,case_028,3,13957556,13957556,13957556,310848768,310848768,189.72847416065633,234.8391811158508
development,case_072,5,6027316,4830220,4830220,127451824,127451824,355.5064900163561,445.2067964375019
development,case_028,4,10676362,10694242,10676362,310848768,310848768,189.53952109254897,231.41999534331262
development,case_028,2,20808183,20808183,20808183,310682880,310682880,197.98962424509227,244.96500265598297
development,case_067,3,21585693,21585693,21585693,247821184,247821184,69.82456370815635,94.01933320611715
development,case_028,5,9004662,9004662,9004662,286344264,286344264,187.72047234512866,231.49834869801998
development,case_067,5,13455316,13455316,13455316,262606080,262606080,69.70416663400829,81.41977520287037
development,case_067,4,16358776,16358776,16358776,262601984,262601984,68.97918621823192,83.71604305878282
extension,case_010,2,45626,45626,45626,48384,48384,3.079132568091154,3.296044873073697
extension,case_010,4,33256,30262,30262,575880,575880,2.9546912983059883,3.8625346664339304
