stage,case,cores,before,after,before_bytes,after_bytes
development,case_009,5,120100,91903,1948354,214604
development,case_009,2,132262,92259,1481610,182950
development,case_009,4,117873,92192,1951422,225586
development,case_009,3,117616,92004,1951934,193702
development,case_100,3,83808,58758,1809678,698388
development,case_100,2,80622,80622,16896,16896
development,case_100,4,75379,58793,3321212,534528
development,case_100,5,75870,59649,3321212,534528
development,case_039,4,564871,564871,24850432,24850432
development,case_039,3,649664,482318,22781952,15020032
development,case_039,5,511084,431161,24543232,20480000
development,case_039,2,841140,708557,22433792,11550720
development,case_040,3,145657,109777,4050912,642836
development,case_040,4,142257,109607,4018142,1022796
development,case_040,2,120926,120926,283200,283200
development,case_040,5,142985,108131,4050916,727212
development,case_067,2,32203165,32203165,262601984,262601984
development,case_067,4,16358776,16358776,262601984,262601984
development,case_067,3,21585693,21585693,247821184,247821184
development,case_067,5,13455316,13455316,262606080,262606080
development,case_058,3,1910788,1532367,75853824,31514624
development,case_058,2,2658985,2268326,77066240,33972224
development,case_058,5,1524911,1002440,77762560,33316864
development,case_058,4,1624923,1152464,75767808,42893312
development,case_028,5,9004662,9004662,286344264,286344264
development,case_028,4,10676362,10694242,310848768,310848768
development,case_028,3,13957556,13957556,310848768,310848768
development,case_028,2,20808183,20808183,310682880,310682880
development,case_072,2,12769723,12769723,208949012,208949012
development,case_072,5,6027316,4830220,210879252,127451824
development,case_072,4,7126265,5990048,209781524,120472240
development,case_072,3,8956496,7929522,208995092,115280672
