case,cores,single_makespan,baseline_makespan,makespan,external_makespan,baseline_speedup,speedup,external_speedup,baseline_added_bytes,added_bytes,external_added_bytes,spill_added_bytes,partition_added_bytes,mean_speedup_loss_contribution,gate,tasks,used_cores,solve_seconds,validation_seconds,local_prepare_seconds,best_candidate,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction
case_001,2,233110,123018,116868,116868,1.8949259457965502,1.9946435294520313,1.9946435294520313,265344,1152,1152,0,1152,0.0,eligible,2,2,2.624766645953059,0.26255835965275764,0.2569455672055483,structural_component_lpt,600,200,2,0.005,0.005
case_001,3,233110,85849,78545,78545,2.715349043087281,2.9678528232223567,2.9678528232223567,241920,2304,2304,0,2304,0.0,eligible,3,3,2.5175447799265385,0.21985352970659733,0.3310839645564556,structural_component_lpt,600,200,2,0.005,0.005
case_001,4,233110,67883,58984,58984,3.4339967296672214,3.952088702020887,3.952088702020887,470400,3456,3456,0,3456,0.0,eligible,4,4,2.031005833297968,0.16021381132304668,0.19588794000446796,structural_component_lpt,600,200,2,0.005,0.005
case_001,5,233110,50223,47502,47502,4.641498914839814,4.9073723211654245,4.9073723211654245,45312,4608,4608,0,4608,0.0,eligible,5,5,1.6499286144971848,0.17337201721966267,0.1619210373610258,structural_component_lpt,600,200,2,0.005,0.005
case_002,2,261945,138077,138077,133697,1.8970936506442058,1.8970936506442058,1.9592436629094145,477696,477696,27648,0,477696,0.0006215001226520878,insufficient_independent_components,30,2,4.366767844185233,0.2804389800876379,0,directed_split,1798,1,23,1.0,1.0
case_002,3,261945,95931,95931,93813,2.730556337367483,2.730556337367483,2.792203639154488,532992,532992,27648,0,532992,0.0006164730178700539,insufficient_independent_components,28,3,5.2577595468610525,0.5532450880855322,0,local_reschedule,1798,1,23,1.0,1.0
case_002,4,261945,74618,74618,93916,3.5104800450293494,3.5104800450293494,2.789141360364581,536064,536064,27648,0,536064,-0.007213386846647682,insufficient_independent_components,59,4,3.613262999802828,0.6183187123388052,0,directed_split,1798,1,23,1.0,1.0
case_002,5,261945,60651,60651,86435,4.3188900430330905,4.3188900430330905,3.030543182738474,536064,536064,640512,0,536064,-0.012883468602946167,insufficient_independent_components,59,5,4.54593288898468,0.600186999887228,0,directed_split,1798,1,23,1.0,1.0
case_003,2,602212,462800,462800,406278,1.3012359550561798,1.3012359550561798,1.4822658376776492,8565562,8565562,6325946,0,8565562,0.0018102988262146936,dominant_component,421,2,68.50395506620407,11.566215224564075,0,region_boundary_13578_0,13455,10,304,0.9806020066889632,0.8531484413094738
case_003,3,602212,378576,378576,333769,1.5907294704365833,1.5907294704365833,1.8042778089037628,9989392,9989392,6325946,0,9989392,0.0021354833846717945,dominant_component,842,3,78.74862955883145,19.812512217089534,0,directed_split,13455,10,304,0.9806020066889632,0.8531484413094738
case_003,4,602212,329107,329107,301609,1.8298364969447627,1.8298364969447627,1.9966645557659088,11891502,11891502,6325946,0,11891502,0.0016682805882114616,dominant_component,1682,4,75.50931271351874,32.139476692304015,0,grain_0.25,13455,10,304,0.9806020066889632,0.8531484413094738
case_003,5,602212,294109,294109,287876,2.047580998881367,2.047580998881367,2.0919145743306147,11891502,11891502,6325946,0,11891502,0.00044333575449247766,dominant_component,1682,5,75.83214966021478,34.028221275657415,0,grain_0.25,13455,10,304,0.9806020066889632,0.8531484413094738
case_004,2,392357,223999,199074,199074,1.7516015696498646,1.9709103147573264,1.9709103147573264,3775488,110592,110592,0,110592,0.0,eligible,2,2,3.4190467093139887,0.2673235908150673,0.3831786196678877,structural_component_lpt,777,111,5,0.009009009009009009,0.009009009009009009
case_004,3,392357,154080,134043,134043,2.54644989615784,2.927098020784375,2.927098020784375,3812352,221184,221184,0,221184,0.0,eligible,3,3,2.645970232784748,0.20724314264953136,0.3627854008227587,structural_component_lpt,777,111,5,0.009009009009009009,0.009009009009009009
case_004,4,392357,132261,104188,104188,2.966535864691784,3.765855952700887,3.765855952700887,3978240,331776,331776,0,331776,0.0,eligible,4,4,3.2467778120189905,0.22330251894891262,0.34464913979172707,structural_component_lpt,777,111,5,0.009009009009009009,0.009009009009009009
case_004,5,392357,110692,88341,88341,3.544583167708597,4.441391879195391,4.441391879195391,4171776,442368,442368,0,442368,0.0,eligible,5,5,2.7405906040221453,0.21260090358555317,0.30462550558149815,structural_component_lpt,777,111,5,0.009009009009009009,0.009009009009009009
case_005,2,95618,91571,91571,73560,1.0441952146421902,1.0441952146421902,1.2998640565524742,2718104,2718104,1551834,0,2718104,0.0025566884191028393,insufficient_independent_components,129,2,17.311176290735602,2.0293394066393375,0,grain_1.0,4113,1,137,1.0,1.0
case_005,3,95618,88392,88392,65325,1.0817494795909133,1.0817494795909133,1.4637275162648298,2736536,2736536,1551834,0,2736536,0.003819780366739165,insufficient_independent_components,130,3,18.439715890213847,2.2081554029136896,0,directed_split,4113,1,137,1.0,1.0
case_005,4,95618,87624,87624,63407,1.0912307130466539,1.0912307130466539,1.5080038481555664,2736440,2736440,1551834,0,2736440,0.004167731351089126,insufficient_independent_components,130,4,17.665960654616356,2.251702966168523,0,region_boundary_2838_0,4113,1,137,1.0,1.0
case_005,5,95618,87840,87840,62867,1.088547358834244,1.088547358834244,1.5209569408433679,2736440,2736440,1551834,0,2736440,0.004324095820091238,insufficient_independent_components,130,5,20.898987216874957,1.9687019418925047,0,region_boundary_2838_0,4113,1,137,1.0,1.0
case_006,2,82837,45330,42379,42379,1.8274211339069049,1.9546709455154676,1.9546709455154676,566668,56200,56200,12296,43904,0.0,eligible,2,2,2.189514083787799,0.17969403974711895,0.5866384413093328,structural_component_lpt,678,27,21,0.20058997050147492,0.3893446305924642
case_006,3,82837,31819,31819,31152,2.603381627329583,2.603381627329583,2.659123009758603,582028,582028,43904,0,582028,0.0005574138242901983,dominant_component,23,3,2.5406300090253353,0.19816180877387524,0,local_reschedule,678,27,21,0.20058997050147492,0.3893446305924642
case_006,4,82837,31094,31094,27328,2.6640831028494243,2.6640831028494243,3.0312134074941453,533902,533902,511204,0,533902,0.0036713030464472097,dominant_component,22,4,2.485897606238723,0.2212083898484707,0,local_reschedule,678,27,21,0.20058997050147492,0.3893446305924642
case_006,5,82837,32579,32579,27728,2.5426501734245988,2.5426501734245988,2.9874855741488746,566668,566668,511204,0,566668,0.004448354007242758,dominant_component,22,5,2.5809013191610575,0.21873870491981506,0,grain_1.0,678,27,21,0.20058997050147492,0.3893446305924642
case_007,2,1012562,554554,507494,507494,1.8259033385387176,1.9952196479170197,1.9952196479170197,3703296,27648,27648,0,27648,0.0,eligible,2,2,26.443496899679303,3.32586389221251,3.226107018068433,structural_component_lpt,3885,555,5,0.0018018018018018018,0.0018018018018018018
case_007,3,1012562,383009,338094,338094,2.6437028894882366,2.994912657426633,2.994912657426633,3675648,55296,55296,0,55296,0.0,eligible,3,3,25.085573632270098,3.3079977855086327,2.9582178480923176,structural_component_lpt,3885,555,5,0.0018018018018018018,0.0018018018018018018
case_007,4,1012562,289431,254398,254398,3.4984573179790694,3.980227831979811,3.980227831979811,3821568,82944,82944,0,82944,0.0,eligible,4,4,19.776766760274768,1.4900014195591211,2.3067514058202505,structural_component_lpt,3885,555,5,0.0018018018018018018,0.0018018018018018018
case_007,5,1012562,240492,203834,203834,4.210377060359596,4.967581463347626,4.967581463347626,4365312,110592,110592,0,110592,0.0,eligible,5,5,22.367192938923836,2.1270392909646034,1.8305966686457396,structural_component_lpt,3885,555,5,0.0018018018018018018,0.0018018018018018018
case_008,2,487605,253697,244266,244266,1.9219975009558647,1.9962049568912579,1.9962049568912579,73728,0,0,0,0,0.0,eligible,2,2,4.3908996023237705,0.47288297303020954,0.6658067423850298,structural_component_lpt,864,108,7,0.009259259259259259,0.009259259259259259
