case,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction,average_point_loss_contribution,core2_loss_contribution,core3_loss_contribution,core4_loss_contribution,core5_loss_contribution,gates
case_058,16575,255,6,0.00392156862745098,0.00392156862745098,0.008907765368599552,0.0033995992965557796,0.005439144817722448,0.011383240614867049,0.015409076745252928,all_components_have_large_union_footprint
case_039,5250,70,7,0.014285714285714285,0.014285714285714285,0.0067670449817219865,0.0034989621141536765,0.0074662227822856145,0.010897390062205754,0.0052056049682429025,all_components_have_large_union_footprint
case_072,29666,476,250,0.2069709431672622,0.006280940753295935,0.005760577653102733,0.0018676806552453073,0.0038164399821070784,0.007067112241317033,0.010291077733741511,all_components_have_large_union_footprint
case_009,5671,25,365,0.8418268383001234,0.5816528070316087,0.005397641505384976,0.005035346674032652,0.003730201686631096,0.005413045590251522,0.007411972070624633,dominant_component
case_100,1394,43,51,0.19727403156384504,0.3858050747296832,0.005062937019707586,0.0,0.008114189108890592,0.006034639473497694,0.0061029194964420585,dominant_component;eligible
case_040,3083,28,228,0.7116445021083361,0.4260194491373805,0.004780370087262819,-0.002559331001437257,0.005618556918262545,0.0071340525858556705,0.008928201846370318,dominant_component;eligible
case_035,3857,16,332,0.6300233341975628,0.48921740551480525,0.004638292062316413,0.0,0.004259387566718859,0.006385353871134298,0.007908426811412496,dominant_component;eligible
case_032,827,25,29,0.22853688029020555,0.23440966231205324,0.0044198209956425195,0.0007871699785638709,-0.0002678531525169303,-0.0002445792476517461,0.017404546404174884,dominant_component;eligible
case_071,741,1,45,1.0,1.0,0.004122799741565331,0.0027511673728925,0.004228856214906564,0.004464764379100867,0.00504641099936139,insufficient_independent_components
case_057,865,21,100,0.223121387283237,0.22689281771828074,0.00400691515029292,-8.956510050785127e-05,-1.9517974670617554e-05,-3.079516581997233e-05,0.01616753884217012,dominant_component;eligible
case_080,1098,18,6,0.05555555555555555,0.05555555555555555,0.003967027941736156,0.0029559618146931866,0.008206752917010101,0.0033593548962491983,0.0013460421389921385,all_components_have_large_union_footprint
case_043,9309,38,201,0.5274465570952841,0.36394841367135783,0.003796733153576398,-7.634149052762051e-06,0.005458949198802084,0.0036080195751482247,0.006127597989408047,dominant_component;eligible
case_005,4113,1,137,1.0,1.0,0.003717073989255592,0.0025566884191028393,0.003819780366739165,0.004167731351089126,0.004324095820091238,insufficient_independent_components
case_069,1032,1,45,1.0,1.0,0.0036660855985867383,0.0015898255311720066,0.0033041586092542085,0.00392831824493598,0.005842040008984759,insufficient_independent_components
case_050,4555,23,185,0.8805708013172339,0.7062950476204528,0.0032964439344726716,0.0010716000793152048,0.0031060337117099455,0.004082777031350095,0.00492536491551544,dominant_component
case_048,1728,1,368,1.0,1.0,0.0029979294891641943,0.0013989895948428855,0.0035244568097920694,0.003541163801279965,0.003527107750741858,insufficient_independent_components
case_027,1424,16,44,0.0625,0.0625,0.002811484996584871,0.0006883138043252446,-0.0007107943076022494,0.005617452002700647,0.005650968486915842,all_components_have_large_union_footprint
case_086,5274,1,137,1.0,1.0,0.002674619729543064,0.0015497184108455087,0.002533003158264555,0.0032451878803889888,0.0033705694686732035,insufficient_independent_components
case_047,13710,1,459,1.0,1.0,0.0023768215780468494,0.001562472222240463,0.0021281492079936815,0.0024977748062963447,0.0033188900756569084,insufficient_independent_components
case_096,1198,50,118,0.3313856427378965,0.33538024914607195,0.0023441748049894896,-8.352814138298914e-05,0.004198432945399957,0.0030269053111860035,0.0022348891047549867,dominant_component;eligible
case_026,636,31,48,0.3113207547169811,0.4233317778814746,0.002292673872593376,-0.0011185146764223731,0.004002655109798354,0.0036778316959020165,0.0026087233610955062,dominant_component;eligible
