case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
18,2,502491,502491,1.0,2638848,2638848,4.5530910566449165,4.95526379160583,tie
18,3,337417,337417,1.0,3971072,3971072,4.838726185262203,5.256201820448041,tie
18,4,253676,253676,1.0,4938752,4938752,4.9378856886178255,5.506715511903167,tie
18,5,205917,205917,1.0,5320704,5320704,5.1971557307988405,5.730647852644324,tie
33,2,889132,889132,1.0,6452256,6452256,7.179135421290994,7.853678442537785,tie
33,3,596821,596821,1.0,7053888,7053888,6.894684638828039,7.537158137187362,tie
33,4,443447,443447,1.0,7214688,7214688,6.86034613661468,7.508872497826815,tie
33,5,361176,361176,1.0,7894656,7894656,7.293551664799452,8.079115699976683,tie
67,2,32040130,32084984,0.9986020251716504,215994240,216872832,21.952937511727214,26.261013912037015,loss
67,3,21255269,21374767,0.9944093893514723,159238912,159173376,25.512893797829747,32.74269387498498,loss
67,4,16409509,16430577,0.9987177565340524,226600576,226567808,23.81393894739449,30.52507713995874,loss
67,5,13461153,13477716,0.9987710825780867,229484544,229484544,25.229264814406633,33.4783687479794,loss
