case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
18,2,502491,502491,1.0,2638848,2638848,4.5530910566449165,4.614427097141743,tie
18,3,337417,337417,1.0,3971072,3971072,4.838726185262203,5.2622965052723885,tie
18,4,253676,253676,1.0,4938752,4938752,4.9378856886178255,5.443406881764531,tie
18,5,205917,205917,1.0,5320704,5320704,5.1971557307988405,5.353223733603954,tie
33,2,889132,889132,1.0,6452256,6452256,7.179135421290994,7.257672756910324,tie
33,3,596821,596821,1.0,7053888,7053888,6.894684638828039,7.57882434129715,tie
33,4,443447,443447,1.0,7214688,7214688,6.86034613661468,6.941709529608488,tie
33,5,361176,361176,1.0,7894656,7894656,7.293551664799452,8.186157474294305,tie
67,2,32040130,32040130,1.0,215994240,215994240,21.952937511727214,26.249260207638144,tie
67,3,21255269,21255269,1.0,159238912,159238912,25.512893797829747,32.40579739958048,tie
67,4,16409509,16409509,1.0,226600576,226600576,23.81393894739449,30.57667058892548,tie
67,5,13461153,13477716,0.9987710825780867,229484544,229484544,25.229264814406633,33.54064226709306,loss
