case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
18,2,502491,502491,1.0,2638848,2638848,3.041813611984253,3.1287447083741426,tie
18,3,337417,337417,1.0,3971072,3971072,3.262357810512185,3.294861489906907,tie
18,4,253676,253676,1.0,4938752,4938752,3.3907011318951845,3.4603017680346966,tie
18,5,205917,205917,1.0,5320704,5320704,3.446502286940813,3.5543282069265842,tie
33,2,889132,889132,1.0,6452256,6452256,4.814871795475483,4.895699825137854,tie
33,3,596821,596821,1.0,7053888,7053888,4.581871286034584,4.782515456900001,tie
33,4,443447,443447,1.0,7214688,7214688,4.5750481598079205,4.637781450524926,tie
33,5,361176,361176,1.0,7894656,7894656,4.832815343514085,4.9610172510147095,tie
67,2,32084984,32084984,1.0,216905600,216905600,13.59211310185492,13.707637207582593,tie
67,3,21374767,21374767,1.0,159173376,159173376,13.282260440289974,13.422322863712907,tie
67,4,16430577,16430577,1.0,226567808,226567808,12.58883336931467,12.854009846225381,tie
67,5,13477716,13477716,1.0,229484544,229484544,12.408760024234653,12.727490404620767,tie
