case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
12,2,26375,26263,1.0042645546967217,125696,125696,1.9280192982405424,2.0885451044887304,win
12,3,17704,17704,1.0,198104,198104,1.8552479445934296,2.500463968142867,tie
12,4,14689,14689,1.0,49536,49536,1.876934563741088,2.568265615031123,tie
12,5,13302,13234,1.005138280187396,35136,35136,2.0620103552937508,2.8678353801369667,win
48,2,150049,150049,1.0,467846,467846,3.3886858504265547,3.4228100143373013,tie
48,3,114626,114626,1.0,1177612,1177612,4.617427626624703,6.8774130549281836,tie
48,4,114384,114384,1.0,1270930,1270930,5.463000835850835,8.69566254504025,tie
48,5,101641,101731,0.9991153139161121,1273560,1269464,6.215800112113357,10.071694649755955,loss
50,2,87435,87003,1.004965346022551,1022694,1022694,10.195747977122664,12.221041660755873,win
50,3,60421,60479,0.9990409894343492,1831624,1834792,12.29324752651155,15.929681466892362,loss
50,4,57912,58032,0.9979321753515302,2053712,2056112,12.991104362532496,17.982863921672106,loss
50,5,57017,56886,1.0023028513166685,1337182,1347422,11.921030014753342,15.826557025313377,win
