case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
12,2,26375,26345,1.0011387360030366,125696,125696,1.9280192982405424,2.0826130155473948,win
12,3,17704,17704,1.0,198104,198104,1.8552479445934296,2.5068682618439198,tie
12,4,14689,14689,1.0,49536,49536,1.876934563741088,2.467534689232707,tie
12,5,13302,13302,1.0,35136,35136,2.0620103552937508,2.7435186691582203,tie
48,2,150049,150049,1.0,467846,467846,3.3886858504265547,3.4152443930506706,tie
48,3,114626,114626,1.0,1177612,1177612,4.617427626624703,6.9836511090397835,tie
48,4,114384,114384,1.0,1270930,1270930,5.463000835850835,8.647804841399193,tie
48,5,101641,101641,1.0,1273560,1273560,6.215800112113357,10.01783112064004,tie
50,2,87435,87234,1.0023041474654377,1022694,1018278,10.195747977122664,12.137326871976256,win
50,3,60421,60479,0.9990409894343492,1831624,1834792,12.29324752651155,15.888287050649524,loss
50,4,57912,58032,0.9979321753515302,2053712,2056112,12.991104362532496,17.236559875309467,loss
50,5,57017,57017,1.0,1337182,1337182,11.921030014753342,15.25922068208456,tie
