case,cores,baseline,challenger,ratio,baseline_bytes,challenger_bytes,baseline_seconds,challenger_seconds,outcome
12,2,26375,26375,1.0,125696,125696,0.8352836687117815,1.055852223187685,tie
12,3,17704,17704,1.0,198104,198104,0.852912025526166,0.8762818668037653,tie
12,4,14689,14689,1.0,49536,49536,0.8986772261559963,0.8776113502681255,tie
12,5,13302,13302,1.0,35136,35136,0.9023123513907194,0.9170923121273518,tie
48,2,150049,150049,1.0,467846,467846,1.417639471590519,1.4362545348703861,tie
48,3,114626,114626,1.0,1177612,1177612,1.4469706118106842,1.4710419662296772,tie
48,4,114384,114384,1.0,1270930,1270930,1.4835410173982382,1.5512248538434505,tie
48,5,101731,101731,1.0,1269464,1269464,1.5007836520671844,1.553819639608264,tie
50,2,87435,87435,1.0,1022694,1021654,5.714347507804632,5.7989859487861395,tie
50,3,60480,60480,1.0,1834792,1834792,6.006525214761496,6.066793212667108,tie
50,4,58032,58032,1.0,2056112,2056112,6.0535315573215485,6.050780834630132,tie
50,5,57017,57547,0.9907901367577806,1337182,1330014,5.931112602353096,6.150516273453832,loss
