case,T1,B1,T2,B2,T3,B3,T4,B4,T5,B5
1,233110,0,116868,1152,78545,2304,58984,3456,47502,4608
2,261945,0,134224,216576,90565,423936,68574,377856,55189,514560
3,602212,0,341181,6564470,274348,9497892,217774,7333194,199233,7908308
4,392357,0,199074,110592,134043,221184,104188,331776,88341,442368
5,95618,0,61371,882310,54267,1461452,52462,1495922,50673,1688564
6,82837,16400,40815,17280,30449,118176,26843,203696,27216,219928
7,1012562,0,507494,27648,338094,55296,254398,82944,203834,110592
8,487605,0,244266,0,163359,0,123060,0,100603,0
9,153261,0,90801,547342,72361,737384,62725,838982,56088,898504
10,86969,0,42106,311944,30856,48384,26340,483232,22006,562432
11,184697,0,92646,180224,64180,1660928,46880,540672,46194,2033664
12,59088,0,25535,94960,18128,189892,14948,39168,12519,25344
13,263949,0,132198,8192,88351,16384,66982,24576,54363,32768
14,17698626,71010720,8909568,69998520,5951263,56526504,4526637,59878296,3663108,62443416
15,177362,180256,87493,109824,61018,298252,48866,365824,42569,326144
16,7715523,0,4027025,404200,2877849,341100,2244367,605676,2088965,444880
17,162810,22528,76658,87552,49850,175104,39668,259200,33081,331776
18,1004367,1970176,502491,2638848,337417,3971072,253676,4938752,205917,5320704
19,81144,0,38506,354360,27716,54336,22276,762456,18267,255068
20,532746,0,266580,0,177950,0,133704,0,107650,0
21,6567937,4501504,3174339,33017856,2090922,34854912,1550324,4608000,1250168,11431936
22,56780,0,27860,145236,18978,13824,14336,20736,11479,20736
23,122614,0,60965,74016,40682,207264,30516,281280,24940,280992
24,2555343,0,1335245,396856,954537,332124,748435,595068,695849,432232
25,4863026,0,2431840,27648,1622164,55296,1217444,82944,975282,110592
26,99203,0,51429,21936,41688,95664,42226,172128,38198,835212
27,2363952,1400832,1120962,1744896,744579,18481152,559196,3317760,499622,21954560
28,43836040,277412256,20517451,75738432,13687852,44350128,10347838,74883456,8286707,73953792
29,37555,0,18880,16388,12743,0,10168,49164,8787,65552
30,2808034,5519360,1390496,1292288,933720,8985600,697351,6002688,559882,7484416
31,1414369,3491328,712262,5250048,473822,7544832,360134,7808000,284848,7931904
32,41443,0,17566,6216,11910,12360,10728,74980,10414,12360
33,1774196,4592640,889132,6452256,596821,7053888,443447,7214688,361176,7894656
34,842996,1079832,415251,943616,270947,2288640,206454,3059200,167389,3463168
35,169571,0,93692,801138,75717,1276568,63767,1505978,58308,1058710
36,931510,0,466068,1152,311345,2304,233584,3456,187182,4608
37,210001,0,105374,204800,74038,573440,53320,614400,43013,942080
38,1364555,5627904,674500,6790656,449590,8107008,338182,8954880,275278,9592320
39,1435262,7929856,708430,9166848,478013,11911168,368961,14536704,338925,14536704
40,253454,0,134642,1227916,105492,1985768,89539,1836692,78938,1915296
41,6003957,30898176,2990398,33669120,1991911,34851840,1490603,39164928,1196379,40630272
42,1686740,6629376,840111,7262496,570685,8474176,430510,8605536,350713,9936736
43,677656,49160,349881,3210754,250900,4852554,207895,5894554,199041,6609206
44,154407,4438112,54510,886880,44484,891584,49989,1389344,43028,655488
45,125614,0,63059,0,42601,0,31878,0,26164,0
46,276455,3176288,112410,942688,96500,2958528,71871,2098976,77698,2660736
47,326508,0,197413,1264006,156690,1857324,143256,2256146,135565,2575320
48,222220,0,150049,467846,114626,1177612,114384,1270930,101641,1273560
49,196276,0,126174,1027062,83711,2408560,75814,2607184,76846,2907980
50,149690,0,87435,1022694,60421,1831624,57912,2053712,57017,1337182
51,607628,0,319230,394084,228581,328736,183794,591064,170016,427456
52,180301,0,90903,102912,60160,181248,45777,254976,37846,333312
53,1472686,5405536,723016,4631434,495435,6090084,394500,8679750,357068,9823040
54,815051,0,465795,2620302,359793,4112418,274779,7279264,257061,8197794
55,118835,69632,52737,16384,35943,74240,31281,115712,24831,173568
56,277285,0,172836,3326338,122295,3278908,115731,3685886,117134,4124830
57,59726,94216,29703,22304,20565,14112,16345,28224,14028,14400
58,4539717,28696576,2266495,29548544,1538252,30400512,1141935,31551488,1000800,32104448
59,829473,1691648,369318,360448,254073,1171456,185216,1081344,150782,2072576
60,888789,2068520,441525,2746508,295983,3159296,223107,3960200,180081,3733888
61,77191,0,39298,34560,28342,43008,23892,62208,18840,110592
62,2854809,0,1431735,2347008,958567,2268672,722454,2603520,579973,2746368
63,1070397,0,536070,1049088,358763,1262592,270138,1420800,218917,1539072
64,19116,0,14130,47620,13074,41446,10160,130956,11391,159314
65,53068,0,25517,13968,17964,27936,13800,41904,11212,55872
66,359070,0,203504,1653418,146357,2500738,116226,3806464,106067,3979388
67,63834834,264449408,32040130,215994240,21255269,159238912,16409509,226600576,13461153,229484544
68,362095,0,196346,1624576,180284,2355384,156990,2646854,158423,5510878
69,25144,0,17030,364198,14179,325098,15620,361896,13147,433008
70,117300,0,54493,129536,39333,259072,30080,333312,25374,449024
71,18919,0,12313,171622,9867,250696,10732,223406,10542,307214
72,23897828,108613680,11836023,113724192,7941294,120851232,5965868,123071264,4826156,77245216
73,10081626,141570432,5294770,86179712,3805931,134138624,3295138,137012864,2848898,94477312
74,1682239,6070280,814840,3776512,542996,5619712,408908,6623232,328499,7151616
75,1441809,0,754663,4745798,557783,12507404,462730,11096688,378054,12427608
76,6185113,28280832,3065214,31095808,2046322,17912832,1527039,19563520,1227673,22311936
77,495320,0,248734,57344,168976,114688,127832,114688,114837,172032
78,2296143,12644568,1050081,2782080,718909,6965760,540759,6950784,470359,10766304
79,31052251,32448512,15118882,194232320,10181692,39960576,7620379,31801344,6063012,34084864
80,292138,548864,145825,1675264,100325,3047424,90584,2666496,89345,3047424
81,151795,0,76860,0,51943,0,39588,0,30943,0
82,721041,0,407535,3389668,288553,5338828,235778,6420240,206503,7708408
83,1057993,13934688,442847,5589600,290664,5739712,220741,6471456,201107,7741824
84,2507412,0,1175864,32004864,836220,0,629028,0,503472,0
85,3187899,0,1843091,17607566,1276351,31680716,995687,27902578,890475,38398484
86,118403,0,74609,1019206,63229,2197292,62299,2353614,60402,2265748
87,3974071,7902720,1987606,10142208,1374901,11036160,1046846,12607488,833349,12487680
88,243623,0,132639,1032234,122079,1572244,112565,2028164,112833,2034888
89,693092,0,329513,1467520,225452,2429184,165365,1827200,133148,2186320
90,1178363,21233592,470442,3196848,342250,5523456,294798,7360608,267434,7981056
91,9186769,53947008,4532609,52032556,3042680,60113508,2314443,67112896,1872567,71035764
92,4815554,66000096,2017778,10740320,1348585,21856448,1018849,18053920,826308,19945856
93,74205,0,37827,8192,25103,16384,19779,24576,15876,32768
94,94892,0,47498,106272,32728,212544,24668,318528,21804,424800
95,2084853,0,1042890,0,695775,0,524422,0,420852,0
96,84194,0,42443,346520,30876,123264,24217,234168,22137,448896
97,11491509,10584064,5153667,2490368,3444086,82444288,2622394,14221312,2102348,21311488
98,177430,0,89620,0,65476,784240,53735,961274,47355,1166870
99,1622999,5484544,807983,5906432,540063,6479872,405336,9838592,332266,7084052
100,151223,0,76850,621700,57811,72192,49623,1207894,53383,1599352
