case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
1,1,233110,0,1.0,0.0,prescribed_single_reference
1,2,116868,1152,1.9946435294520313,0.7578452061861753,r07_reserve_fast
1,3,78545,2304,2.9678528232223567,0.7900040727108717,r07_reserve_fast
1,4,58984,3456,3.952088702020887,0.8021490294486284,r07_reserve_fast
1,5,47502,4608,4.9073723211654245,0.8113766927272081,r07_reserve_fast
2,1,261945,0,1.0,0.0,prescribed_single_reference
2,2,134224,216576,1.951551138395518,4.054210368543863,r07_reserve_fast
2,3,90565,423936,2.892342516424667,4.72809261828661,r07_reserve_fast
2,4,68574,377856,3.8198880041998424,4.603526117280126,r07_reserve_fast
2,5,55189,514560,4.746326260667887,5.278625840321183,r07_reserve_fast
3,1,602212,0,1.0,0.0,prescribed_single_reference
3,2,341181,6564470,1.7650807049630548,210.73760255239904,r07_reserve_fast
3,3,274348,9497892,2.1950661204018256,209.66454239748418,r07_reserve_fast
3,4,217774,7333194,2.765307153287353,102.8072818275541,r07_reserve_fast
3,5,199233,7908308,3.0226518699211478,104.21825001947582,r07_reserve_fast
4,1,392357,0,1.0,0.0,prescribed_single_reference
4,2,199074,110592,1.9709103147573264,0.9751821160316467,r07_reserve_fast
4,3,134043,221184,2.927098020784375,0.9634301457554102,r07_reserve_fast
4,4,104188,331776,3.765855952700887,0.9916175324469805,r07_reserve_fast
4,5,88341,442368,4.441391879195391,0.9930065553635359,r07_reserve_fast
5,1,95618,0,1.0,0.0,prescribed_single_reference
5,2,61371,882310,1.5580322953838133,12.676465483382344,r07_reserve_fast
5,3,54267,1461452,1.7619916339580224,13.634699881076813,r07_reserve_fast
5,4,52462,1495922,1.8226144638023711,14.564976176247,r07_reserve_fast
5,5,50673,1688564,1.8869614982337735,26.29923762753606,r07_reserve_fast
6,1,82837,16400,1.0,0.0,prescribed_single_reference
6,2,40815,17280,2.029572461104986,1.105758722871542,r07_reserve_fast
6,3,30449,118176,2.7205162731124175,1.3896023128181696,r07_reserve_fast
6,4,26843,203696,3.0859814476772343,1.5357513204216957,r07_reserve_fast
6,5,27216,219928,3.0436875367430924,1.6449317000806332,r07_reserve_fast
7,1,1012562,0,1.0,0.0,prescribed_single_reference
7,2,507494,27648,1.9952196479170197,9.214566856622696,r07_reserve_fast
7,3,338094,55296,2.994912657426633,9.468902012333274,r07_reserve_fast
7,4,254398,82944,3.980227831979811,8.70188639126718,r07_reserve_fast
7,5,203834,110592,4.967581463347626,9.805441269651055,r07_reserve_fast
8,1,487605,0,1.0,0.0,prescribed_single_reference
8,2,244266,0,1.9962049568912579,1.5051975771784782,r07_reserve_fast
8,3,163359,0,2.984867684057811,1.4838173147290945,r07_reserve_fast
8,4,123060,0,3.962335446123842,1.4952359683811665,r07_reserve_fast
8,5,100603,0,4.846823653370178,1.58182224445045,r07_reserve_fast
9,1,153261,0,1.0,0.0,prescribed_single_reference
9,2,90801,547342,1.687877886807414,19.68083070963621,r07_reserve_fast
9,3,72361,737384,2.11800555547878,20.9371699038893,r07_reserve_fast
9,4,62725,838982,2.4433798326026306,29.944826673716307,r07_reserve_fast
9,5,56088,898504,2.732509627727856,22.819784484803677,r07_reserve_fast
10,1,86969,0,1.0,0.0,prescribed_single_reference
10,2,42106,311944,2.0654776041419276,1.2964229863137007,r07_reserve_fast
10,3,30856,48384,2.8185442053409386,0.9648751895874739,r07_reserve_fast
10,4,26340,483232,3.301784358390281,1.986055040732026,r07_reserve_fast
10,5,22006,562432,3.9520585294919566,1.7733479253947735,r07_reserve_fast
11,1,184697,0,1.0,0.0,prescribed_single_reference
11,2,92646,180224,1.9935777043801135,1.012318130582571,r07_reserve_fast
11,3,64180,1660928,2.8777968214397007,3.4706580210477114,r07_reserve_fast
