case,cores,outcome,loss_type,legacy_base,routed_base,legacy_final,routed_final,base_gap,legacy_J_gain,routed_J_gain,final_gap,J_gain_difference,same_anchor,legacy_base_name,routed_base_name,legacy_base_slot,routed_base_slot,legacy_base_missing_from_routed,old_base_alone_beats_routed_final,ops,largest_fraction,legacy_final_bytes,routed_final_bytes,keep_old_chain_anchor_known,keep_old_chain_cycles,keep_old_chain_bytes,keep_old_chain_J_source,keep_old_depth_anchor_known,keep_old_depth_cycles,keep_old_depth_bytes,keep_old_depth_J_source
1,2,tie,not_loss,116868,116868,116868,116868,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1001,0.005,1152,1152,True,116868,1152,legacy,True,116868,1152,legacy
1,3,tie,not_loss,78545,78545,78545,78545,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1001,0.005,2304,2304,True,78545,2304,legacy,True,78545,2304,legacy
1,4,tie,not_loss,58984,58984,58984,58984,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1001,0.005,3456,3456,True,58984,3456,legacy,True,58984,3456,legacy
1,5,tie,not_loss,47502,47502,47502,47502,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1001,0.005,4608,4608,True,47502,4608,legacy,True,47502,4608,legacy
2,2,tie,not_loss,134224,134224,134224,134224,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,2197,1.0,216576,216576,True,134224,216576,legacy,True,134224,216576,legacy
2,3,win,not_loss,91129,90565,91129,90565,-564,0,0,-564,0,False,depth8,depth8_reference_gate,8,8,True,False,2197,1.0,408576,423936,True,90565,423936,routed,True,91129,408576,legacy
2,4,tie,not_loss,68574,68574,68574,68574,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,2197,1.0,377856,377856,True,68574,377856,legacy,True,68574,377856,legacy
2,5,win,not_loss,56281,55189,56281,55189,-1092,0,0,-1092,0,False,depth8,depth8_reference_gate,8,8,True,False,2197,1.0,502272,514560,True,55189,514560,routed,True,56281,502272,legacy
3,2,win,not_loss,361473,341181,361473,341181,-20292,0,0,-20292,0,False,chains,chains_reference_gate,7,7,True,False,13670,0.9806020066889632,4782130,6564470,False,,,,True,341181,6564470,routed
3,3,win,not_loss,281649,274348,281649,274348,-7301,0,0,-7301,0,False,chains,chains_reference_gate,7,7,True,False,13670,0.9806020066889632,6837964,9497892,True,281649,6837964,legacy,True,274348,9497892,routed
3,4,tie,not_loss,217843,217843,217774,217774,0,69,69,0,0,True,migration_B,migration_B,1,1,False,False,13670,0.9806020066889632,7333194,7333194,True,217774,7333194,legacy,True,217774,7333194,legacy
3,5,tie,not_loss,199278,199278,199233,199233,0,45,45,0,0,True,migration_B,migration_B,1,1,False,False,13670,0.9806020066889632,7908308,7908308,True,199233,7908308,legacy,True,199233,7908308,legacy
4,2,tie,not_loss,199074,199074,199074,199074,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1002,0.009009009009009009,110592,110592,True,199074,110592,legacy,True,199074,110592,legacy
4,3,tie,not_loss,134043,134043,134043,134043,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1002,0.009009009009009009,221184,221184,True,134043,221184,legacy,True,134043,221184,legacy
4,4,tie,not_loss,104188,104188,104188,104188,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1002,0.009009009009009009,331776,331776,True,104188,331776,legacy,True,104188,331776,legacy
