case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
1,2,legacy,116868,1152,233110,1.9946435294520313,12,7,5,0.8892968837171793,0.12637154199182987,True,116868
1,2,routed,116868,1152,233110,1.9946435294520313,12,7,5,0.8012208435684443,0.10301395319402218,True,116868
1,3,legacy,78545,2304,233110,2.9678528232223567,12,7,5,0.832388162612915,0.1513228602707386,True,78545
1,3,routed,78545,2304,233110,2.9678528232223567,12,7,5,0.8300681747496128,0.08158128894865513,True,78545
1,4,legacy,58984,3456,233110,3.952088702020887,12,7,5,1.3918943256139755,0.1498169880360365,True,58984
1,4,routed,58984,3456,233110,3.952088702020887,12,7,5,1.4277781080454588,0.08731923624873161,True,58984
1,5,legacy,47502,4608,233110,4.9073723211654245,12,7,5,0.7992338351905346,0.08913983590900898,True,47502
1,5,routed,47502,4608,233110,4.9073723211654245,12,7,5,0.8022588696330786,0.08351609855890274,True,47502
2,2,legacy,134224,216576,261945,1.951551138395518,12,10,2,4.2023613173514605,0.29438398219645023,True,134224
2,2,routed,134224,216576,261945,1.951551138395518,12,10,2,3.5982994846999645,0.27806913293898106,True,134224
2,3,legacy,91129,408576,261945,2.8744417254660974,12,10,2,5.0109544377774,0.26314122043550014,True,91129
2,3,routed,90565,423936,261945,2.892342516424667,12,10,2,7.482640400528908,0.499630244448781,True,90565
2,4,legacy,68574,377856,261945,3.8198880041998424,12,10,2,4.452635595574975,0.4508280884474516,True,68574
2,4,routed,68574,377856,261945,3.8198880041998424,12,10,2,7.322411630302668,0.2939971163868904,True,68574
2,5,legacy,56281,502272,261945,4.6542349993781205,12,10,2,6.506093375384808,0.2458993662148714,True,56281
2,5,routed,55189,514560,261945,4.746326260667887,12,10,2,4.938739184290171,0.4664306975901127,True,55189
3,2,legacy,361473,4782130,602212,1.665994417287045,12,12,0,120.84426433965564,8.703961413353682,True,361473
3,2,routed,341181,6564470,602212,1.7650807049630548,12,12,0,130.41053925082088,12.679826157167554,True,341181
3,3,legacy,281649,6837964,602212,2.138164878980575,12,12,0,147.44144045189023,7.551445854827762,True,281649
3,3,routed,274348,9497892,602212,2.1950661204018256,12,12,0,146.16106702014804,12.16167869977653,True,274348
