case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
1,1,233110,0,1.0,0.0,prescribed_reference
1,2,116868,1152,1.9946435294520313,0.8012208435684443,routed
1,3,78545,2304,2.9678528232223567,0.8300681747496128,routed
1,4,58984,3456,3.952088702020887,1.4277781080454588,routed
1,5,47502,4608,4.9073723211654245,0.8022588696330786,routed
2,1,261945,0,1.0,0.0,prescribed_reference
2,2,134224,216576,1.951551138395518,3.5982994846999645,routed
2,3,90565,423936,2.892342516424667,7.482640400528908,routed
2,4,68574,377856,3.8198880041998424,7.322411630302668,routed
2,5,55189,514560,4.746326260667887,4.938739184290171,routed
3,1,602212,0,1.0,0.0,prescribed_reference
3,2,341181,6564470,1.7650807049630548,130.41053925082088,routed
3,3,274348,9497892,2.1950661204018256,146.16106702014804,routed
3,4,217774,7333194,2.765307153287353,118.34640407934785,routed
3,5,199233,7908308,3.0226518699211478,135.548722025007,routed
4,1,392357,0,1.0,0.0,prescribed_reference
4,2,199074,110592,1.9709103147573264,1.0212454069405794,routed
4,3,134043,221184,2.927098020784375,1.709415040910244,routed
4,4,104188,331776,3.765855952700887,1.5613982640206814,routed
4,5,88341,442368,4.441391879195391,1.0299564860761166,routed
5,1,95618,0,1.0,0.0,prescribed_reference
5,2,61371,882310,1.5580322953838133,13.06782347895205,routed
5,3,54267,1461452,1.7619916339580224,14.345235861837864,routed
5,4,52462,1495922,1.8226144638023711,15.90728940628469,routed
5,5,55679,1859574,1.717308141310009,22.413854030892253,routed
6,1,82837,16400,1.0,0.0,prescribed_reference
6,2,40815,17280,2.029572461104986,1.1294559575617313,routed
6,3,30449,118176,2.7205162731124175,1.4737554918974638,routed
6,4,26843,203696,3.0859814476772343,1.585293248295784,routed
6,5,27216,219928,3.0436875367430924,1.6880549639463425,routed
7,1,1012562,0,1.0,0.0,prescribed_reference
7,2,507494,27648,1.9952196479170197,9.270476097241044,routed
7,3,338094,55296,2.994912657426633,10.075640067458153,routed
7,4,254398,82944,3.980227831979811,10.548923406749964,routed
7,5,203834,110592,4.967581463347626,13.020922003313899,routed
8,1,487605,0,1.0,0.0,prescribed_reference
8,2,244266,0,1.9962049568912579,1.4362718500196934,routed
8,3,163359,0,2.984867684057811,1.4018758609890938,routed
8,4,123060,0,3.962335446123842,1.391427805647254,routed
8,5,100603,0,4.846823653370178,1.5518996827304363,routed
9,1,153261,0,1.0,0.0,prescribed_reference
9,2,90801,547342,1.687877886807414,20.575222343206406,routed
9,3,72361,737384,2.11800555547878,28.58407711982727,routed
9,4,62725,838982,2.4433798326026306,27.823815744370222,routed
9,5,56088,898504,2.732509627727856,27.195883441716433,routed
10,1,86969,0,1.0,0.0,prescribed_reference
10,2,42106,311944,2.0654776041419276,1.8177753686904907,routed
10,3,30856,48384,2.8185442053409386,0.9786678217351437,routed
10,4,26340,483232,3.301784358390281,1.8387508038431406,routed
10,5,22006,562432,3.9520585294919566,1.5256872866302729,routed
11,1,184697,0,1.0,0.0,prescribed_reference
11,2,92646,180224,1.9935777043801135,1.0311762224882841,routed
11,3,64180,1660928,2.8777968214397007,2.8705628234893084,routed
11,4,46880,540672,3.9397824232081913,1.0992579273879528,routed
11,5,46194,2033664,3.998289821188899,2.761585084721446,routed
12,1,59088,0,1.0,0.0,prescribed_reference
12,2,25535,94960,2.314000391619346,3.506656087934971,routed
12,3,18128,189892,3.259488084730803,2.3739836253225803,routed
12,4,14948,39168,3.952903398447953,2.2437748834490776,routed
12,5,12519,25344,4.719865803977953,2.9796621575951576,routed
13,1,263949,0,1.0,0.0,prescribed_reference
13,2,132198,8192,1.9966187083011846,3.9920027684420347,routed
13,3,88351,16384,2.98750438591527,4.278659584000707,routed
13,4,66982,24576,3.9405959810098237,5.509266523644328,routed
13,5,54363,32768,4.855305998565201,7.1810008473694324,routed
14,1,17698626,71010720,1.0,0.0,prescribed_reference
14,2,8909568,69998520,1.9864740916731316,240.62914985977113,routed
14,3,5951263,56526504,2.9739277192085107,308.36521725542843,routed
14,4,4526637,59878296,3.9098840927602545,340.65449914336205,routed
14,5,3663108,62443416,4.831587275068057,356.84703449718654,routed
15,1,177362,180256,1.0,0.0,prescribed_reference
15,2,87493,109824,2.027156458230944,3.540037252008915,routed
15,3,61018,298252,2.906716051001344,2.528594618663192,routed
15,4,48866,365824,3.6295583841525807,2.5244547221809626,routed
15,5,42569,326144,4.166459160421903,1.7720325645059347,routed
16,1,7715523,0,1.0,0.0,prescribed_reference
16,2,4027025,404200,1.9159362060081573,134.36108527705073,routed
16,3,2877849,341100,2.6810034160930614,142.27091455087066,routed
16,4,2244367,605676,3.4377278760559213,150.5180834531784,routed
16,5,2088965,444880,3.6934668603830128,163.18700999207795,routed
17,1,162810,22528,1.0,0.0,prescribed_reference
17,2,76658,87552,2.1238487829058936,2.94672985188663,routed
17,3,49850,175104,3.2659979939819457,3.975650267675519,routed
17,4,39668,259200,4.104315821316931,4.458443455398083,routed
17,5,33081,331776,4.921556180284756,2.4550455641001463,routed
18,1,1004367,1970176,1.0,0.0,prescribed_reference
18,2,502491,2638848,1.998776097482343,5.752759750932455,routed
18,3,337417,3971072,2.9766342537572203,6.568252874538302,routed
18,4,253676,4938752,3.9592511707847806,10.621434466913342,routed
18,5,205917,5320704,4.8775331808447095,8.394452510401607,routed
19,1,81144,0,1.0,0.0,prescribed_reference
19,2,38506,354360,2.1073079520074796,1.2308769561350346,routed
19,3,27716,54336,2.9276951941117044,0.7784620206803083,routed
19,4,22276,762456,3.6426647513018495,1.602489860728383,routed
19,5,18267,255068,4.442108720643784,1.3613902516663074,routed
20,1,532746,0,1.0,0.0,prescribed_reference
20,2,266580,0,1.9984469952734638,15.827647913247347,routed
20,3,177950,0,2.993796010115201,19.56921610981226,routed
20,4,133704,0,3.984518039849219,18.135817509144545,routed
20,5,107650,0,4.948871342313051,20.399849820882082,routed
21,1,6567937,4501504,1.0,0.0,prescribed_reference
21,2,3174339,33017856,2.0690723328541782,17.549928640946746,routed
21,3,2090922,34854912,3.141167867572296,20.916126677766442,routed
21,4,1550324,4608000,4.236493145948847,12.603791268542409,routed
21,5,1250168,11431936,5.253643510312214,13.616997268050909,routed
22,1,56780,0,1.0,0.0,prescribed_reference
22,2,27860,145236,2.0380473797559224,2.282356411218643,routed
22,3,18978,13824,2.9918853409210664,2.0354541409760714,routed
22,4,14336,20736,3.960658482142857,2.7286410871893167,routed
22,5,11479,20736,4.9464239045213,2.8881353344768286,routed
23,1,122614,0,1.0,0.0,prescribed_reference
23,2,60965,74016,2.0112195522020833,1.908326480537653,routed
23,3,40682,207264,3.0139619487734133,1.5640900116413832,routed
23,4,30516,281280,4.018023332022546,2.0779190361499786,routed
23,5,24940,280992,4.91635926222935,1.6536565627902746,routed
24,1,2555343,0,1.0,0.0,prescribed_reference
24,2,1335245,396856,1.9137633917370969,29.12863260321319,routed
24,3,954537,332124,2.677049711011726,33.214934239163995,routed
24,4,748435,595068,3.4142483983245038,34.33845323510468,routed
24,5,695849,432232,3.672266540585673,41.786805137991905,routed
25,1,4863026,0,1.0,0.0,prescribed_reference
25,2,2431840,27648,1.9997310678334101,123.70801037177444,routed
25,3,1622164,55296,2.9978633479722148,116.9625962227583,routed
25,4,1217444,82944,3.9944555971362954,119.90628047846258,routed
25,5,975282,110592,4.986276789687495,128.7683751191944,routed
26,1,99203,0,1.0,0.0,prescribed_reference
26,2,51429,21936,1.9289311477959905,1.157791381701827,routed
26,3,41688,95664,2.379653617347918,1.7757603786885738,routed
26,4,42226,172128,2.3493345332259743,1.2629646472632885,routed
26,5,38198,835212,2.5970731451908478,1.8659618645906448,routed
27,1,2363952,1400832,1.0,0.0,prescribed_reference
27,2,1120962,1744896,2.10886006840553,4.29897054284811,routed
27,3,744579,18481152,3.174884062000137,5.8683422319591045,routed
27,4,559196,3317760,4.227412213249022,2.8520091213285923,routed
27,5,499622,21954560,4.731480999635725,11.511665808036923,routed
28,1,43836040,277412256,1.0,0.0,prescribed_reference
28,2,20517451,75738432,2.136524658935459,177.16737578064203,routed
