case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,base_makespan,candidate_seconds
1,2,fast,116868,1152,233110,1.9946435294520313,12,7,5,0.7578452061861753,0.08806205354630947,116868,0.06761041283607483
1,3,fast,78545,2304,233110,2.9678528232223567,12,7,5,0.7900040727108717,0.08102280832827091,78545,0.07782922498881817
1,4,fast,58984,3456,233110,3.952088702020887,12,7,5,0.8021490294486284,0.08095584064722061,58984,0.0874079018831253
1,5,fast,47502,4608,233110,4.9073723211654245,12,7,5,0.8113766927272081,0.08349496312439442,47502,0.09910943731665611
2,2,fast,134224,216576,261945,1.951551138395518,12,12,0,4.054210368543863,0.2524104565382004,134224,0.2038397379219532
2,3,fast,90565,423936,261945,2.892342516424667,12,12,0,4.72809261828661,0.2685818113386631,90565,0.22506831772625446
2,4,fast,68574,377856,261945,3.8198880041998424,12,12,0,4.603526117280126,0.25055260583758354,68574,0.21390646137297153
2,5,fast,55189,514560,261945,4.746326260667887,12,12,0,5.278625840321183,0.2567432336509228,55189,0.23729438334703445
3,2,fast,341181,6564470,602212,1.7650807049630548,12,12,0,210.73760255239904,16.290760207921267,341181,7.526826513931155
3,3,fast,274348,9497892,602212,2.1950661204018256,12,12,0,209.66454239748418,11.757370691746473,274348,9.790109327062964
3,4,fast,217774,7333194,602212,2.765307153287353,12,12,0,102.8072818275541,6.3053115122020245,217843,4.495564844459295
3,5,fast,199233,7908308,602212,3.0226518699211478,12,12,0,104.21825001947582,6.515999834984541,199278,4.7566921934485435
4,2,fast,199074,110592,392357,1.9709103147573264,12,8,4,0.9751821160316467,0.0918700061738491,199074,0.08048457279801369
4,3,fast,134043,221184,392357,2.927098020784375,12,8,4,0.9634301457554102,0.09430796653032303,134043,0.09380714222788811
4,4,fast,104188,331776,392357,3.765855952700887,12,8,4,0.9916175324469805,0.09159930050373077,104188,0.09980279579758644
4,5,fast,88341,442368,392357,4.441391879195391,12,8,4,0.9930065553635359,0.08774878829717636,88341,0.11795048788189888
5,2,fast,61371,882310,95618,1.5580322953838133,12,12,0,12.676465483382344,0.8126425463706255,61371,0.7028676737099886
5,3,fast,54267,1461452,95618,1.7619916339580224,12,12,0,13.634699881076813,0.8799568209797144,54267,0.789503300562501
5,4,fast,52462,1495922,95618,1.8226144638023711,12,12,0,14.564976176247,0.8403980303555727,52572,0.8952331393957138
5,5,fast,50673,1688564,95618,1.8869614982337735,12,12,0,26.29923762753606,0.959771441295743,50733,0.9119051620364189
6,2,fast,40815,17280,82837,2.029572461104986,12,11,1,1.105758722871542,0.07108822651207447,40815,0.03881905972957611
6,3,fast,30449,118176,82837,2.7205162731124175,12,12,0,1.3896023128181696,0.08067167177796364,30589,0.046894362196326256
6,4,fast,26843,203696,82837,3.0859814476772343,12,12,0,1.5357513204216957,0.07813609391450882,26843,0.057867249473929405
6,5,fast,27216,219928,82837,3.0436875367430924,12,12,0,1.6449317000806332,0.08559119701385498,27216,0.06107631325721741
7,2,fast,507494,27648,1012562,1.9952196479170197,12,8,4,9.214566856622696,0.8126362282782793,507494,0.9982963241636753
7,3,fast,338094,55296,1012562,2.994912657426633,12,8,4,9.468902012333274,1.1943766046315432,338094,1.3910590093582869
7,4,fast,254398,82944,1012562,3.980227831979811,12,8,4,8.70188639126718,0.673042967915535,254398,1.4539145734161139
7,5,fast,203834,110592,1012562,4.967581463347626,12,8,4,9.805441269651055,1.135245680809021,203834,1.9155253767967224
8,2,fast,244266,0,487605,1.9962049568912579,12,8,4,1.5051975771784782,0.14470156654715538,244266,0.07702924869954586
8,3,fast,163359,0,487605,2.984867684057811,12,8,4,1.4838173147290945,0.15006649121642113,163359,0.07543453387916088
8,4,fast,123060,0,487605,3.962335446123842,12,8,4,1.4952359683811665,0.1426421944051981,123060,0.08787745982408524
8,5,fast,100603,0,487605,4.846823653370178,12,8,4,1.58182224445045,0.1427700575441122,100603,0.09797640331089497
9,2,fast,90801,547342,153261,1.687877886807414,12,12,0,19.68083070963621,1.2499167509377003,90844,0.9453328102827072
9,3,fast,72361,737384,153261,2.11800555547878,12,12,0,20.9371699038893,1.4030076917260885,72361,1.080069763585925
9,4,fast,62725,838982,153261,2.4433798326026306,12,12,0,29.944826673716307,2.0122851505875587,62725,1.9600494429469109
9,5,fast,56088,898504,153261,2.732509627727856,12,12,0,22.819784484803677,1.2854596953839064,56088,1.3005038108676672
10,2,fast,42106,311944,86969,2.0654776041419276,12,10,2,1.2964229863137007,0.08628729544579983,42106,0.03755868598818779
10,3,fast,30856,48384,86969,2.8185442053409386,12,12,0,0.9648751895874739,0.06923751905560493,30856,0.0471959114074707
10,4,fast,26340,483232,86969,3.301784358390281,12,12,0,1.986055040732026,0.0901945848017931,27450,0.05275442451238632
10,5,fast,22006,562432,86969,3.9520585294919566,12,12,0,1.7733479253947735,0.08828220143914223,22006,0.05574574135243893
11,2,fast,92646,180224,184697,1.9935777043801135,12,10,2,1.012318130582571,0.08806812018156052,92646,0.06309527158737183
11,3,fast,64180,1660928,184697,2.8777968214397007,12,10,2,3.4706580210477114,0.242969224229455,64651,0.09537466801702976
11,4,fast,46880,540672,184697,3.9397824232081913,12,9,3,1.9441889859735966,0.17271274514496326,46880,0.14010310545563698
11,5,fast,46194,2033664,184697,3.998289821188899,12,11,1,4.381524937227368,0.14030859805643559,46211,0.15414032898843288
12,2,fast,25535,94960,59088,2.314000391619346,12,11,1,1.9429073948413134,0.13500715233385563,25733,0.06812569126486778
12,3,fast,18128,189892,59088,3.259488084730803,12,11,1,2.323934620246291,0.1368598099797964,19120,0.07961203902959824
12,4,fast,14948,39168,59088,3.952903398447953,12,11,1,2.222077840939164,0.1255848202854395,14948,0.0843289028853178
12,5,fast,12519,25344,59088,4.719865803977953,12,11,1,2.39111540466547,0.12576068378984928,12519,0.08157481625676155
13,2,fast,132198,8192,263949,1.9966187083011846,12,8,4,3.8967314828187227,0.5502093937247992,132198,0.3457154668867588
13,3,fast,88351,16384,263949,2.98750438591527,12,8,4,6.9302950873970985,0.6060395501554012,88351,0.7697105091065168
13,4,fast,66982,24576,263949,3.9405959810098237,12,8,4,3.886105163022876,0.34395295195281506,66982,0.4863797575235367
13,5,fast,54363,32768,263949,4.855305998565201,12,8,4,4.180420381948352,0.3547298815101385,54363,0.5875874496996403
14,2,fast,8909568,69998520,17698626,1.9864740916731316,12,11,1,424.2542913015932,26.57017220184207,8909568,41.15403901040554
14,3,fast,5951263,56526504,17698626,2.9739277192085107,12,10,2,473.8893807400018,36.639987245202065,5974992,26.79367931559682
14,4,fast,4526637,59878296,17698626,3.9098840927602545,12,11,1,598.7642182055861,38.19807135500014,4526637,74.43316008709371
14,5,fast,3663108,62443416,17698626,4.831587275068057,12,11,1,629.8593608047813,32.8759039118886,3675825,85.39540474303067
15,2,fast,87493,109824,177362,2.027156458230944,12,11,1,1.8868099972605705,0.12330391444265842,87493,0.06564746424555779
15,3,fast,61018,298252,177362,2.906716051001344,12,10,2,1.523483881726861,0.1289236731827259,61018,0.07154223136603832
