case,cores,migration,base,ordinary,guided,ordinary_bytes,guided_bytes,ordinary_speedup,guided_speedup,ratio,ordinary_seconds,guided_seconds,outcome
6,2,42379,40815,40815,40815,17280,17280,2.029572461104986,2.029572461104986,1.0,0.9216463000047952,1.0044895999599248,tie
6,3,31151,30589,30449,29351,118176,118180,2.7205162731124175,2.8222888487615414,1.037409287588157,1.0578701000194997,1.1582645000889897,win
6,4,29126,26843,26843,26843,203696,203696,3.0859814476772343,3.0859814476772343,1.0,1.1180718999821693,1.1934060000348836,tie
6,5,31746,27216,27216,27165,219928,233748,3.0436875367430924,3.0494018037916435,1.00187741579238,1.1886731999693438,1.2398222000338137,win
48,2,158327,158327,158327,158289,621254,610118,1.4035508788772604,1.4038878254332265,1.0002400672188212,2.589148800005205,2.6731087000807747,win
48,3,156242,150551,150551,149571,511402,527786,1.4760446626060273,1.4857158138944047,1.006552072259997,4.092537199961953,4.157218100037426,win
48,4,156242,156242,156242,156242,760808,760808,1.4222808207780238,1.4222808207780238,1.0,2.850225599948317,2.9901615999406204,tie
48,5,156242,147369,147369,146389,506738,523122,1.5079155046176604,1.5180102330093108,1.0066944920724918,5.518484500003979,5.302124400041066,win
50,2,108153,96256,96256,96028,1390498,1393090,1.5551238364361701,1.5588161786145707,1.0023743074936478,13.793971000006422,14.946709600044414,win
50,3,60480,60480,60421,60479,1831624,1834792,2.477449893249036,2.4750739926255396,0.9990409894343492,12.153951000072993,13.198179899947718,loss
50,4,58032,58032,57912,58032,2053712,2056112,2.584783809918497,2.5794389302453817,0.9979321753515302,13.010893199942075,13.850368299987167,loss
50,5,57967,57967,57909,57967,2121814,2124214,2.5849177157263985,2.5823313264443564,0.9989994307105767,14.217747499933466,13.791184499976225,loss
