sample,arm,cores,mean_individual_speedup
regression,fast,1,1.0
regression,fast,2,1.7261787499644297
regression,fast,3,2.26283450216157
regression,fast,4,2.585509143499219
regression,fast,5,2.850830960627523
regression,reserve,1,1.0
regression,reserve,2,1.7261787499644297
regression,reserve,3,2.26283450216157
regression,reserve,4,2.585509143499219
regression,reserve,5,2.850830960627523
synthetic,fast,1,1.0
synthetic,fast,2,2.1435858566321215
synthetic,fast,3,2.8749573312867027
synthetic,fast,4,3.425754422923839
synthetic,fast,5,3.8320714243311818
synthetic,reserve,1,1.0
synthetic,reserve,2,2.1435858566321215
synthetic,reserve,3,2.8749573312867027
synthetic,reserve,4,3.425754422923839
synthetic,reserve,5,3.8320714243311818
synthetic,routed,1,1.0
synthetic,routed,2,2.107528944310844
synthetic,routed,3,2.7852263659072904
synthetic,routed,4,3.3589601155571804
synthetic,routed,5,3.7774855346043315
