case,cores,base,base_cycles,fast_cycles,ratio,outcome,base_bytes,fast_bytes
1,2,reserve,116868,116868,1.0,tie,1152,1152
1,3,reserve,78545,78545,1.0,tie,2304,2304
1,4,reserve,58984,58984,1.0,tie,3456,3456
1,5,reserve,47502,47502,1.0,tie,4608,4608
5,2,reserve,61371,61371,1.0,tie,882310,882310
5,3,reserve,54267,54267,1.0,tie,1461452,1461452
5,4,reserve,52462,52462,1.0,tie,1495922,1495922
5,5,reserve,50673,50673,1.0,tie,1688564,1688564
12,2,reserve,25535,25535,1.0,tie,94960,94960
12,3,reserve,18128,18128,1.0,tie,189892,189892
12,4,reserve,14948,14948,1.0,tie,39168,39168
12,5,reserve,12519,12519,1.0,tie,25344,25344
22,2,reserve,27860,27860,1.0,tie,145236,145236
22,3,reserve,18978,18978,1.0,tie,13824,13824
22,4,reserve,14336,14336,1.0,tie,20736,20736
22,5,reserve,11479,11479,1.0,tie,20736,20736
24,2,reserve,1335245,1335245,1.0,tie,396856,396856
24,3,reserve,954537,954537,1.0,tie,332124,332124
24,4,reserve,748435,748435,1.0,tie,595068,595068
24,5,reserve,695849,695849,1.0,tie,432232,432232
35,2,reserve,93692,93692,1.0,tie,801138,801138
35,3,reserve,75717,75717,1.0,tie,1276568,1276568
35,4,reserve,63767,63767,1.0,tie,1505978,1505978
35,5,reserve,58308,58308,1.0,tie,1058710,1058710
48,2,reserve,150049,150049,1.0,tie,467846,467846
48,3,reserve,114626,114626,1.0,tie,1177612,1177612
48,4,reserve,114384,114384,1.0,tie,1270930,1270930
48,5,reserve,101641,101641,1.0,tie,1273560,1273560
49,2,reserve,126174,126174,1.0,tie,1027062,1027062
49,3,reserve,83711,83711,1.0,tie,2408560,2408560
49,4,reserve,75814,75814,1.0,tie,2607184,2607184
49,5,reserve,76846,76846,1.0,tie,2907980,2907980
50,2,reserve,87435,87435,1.0,tie,1022694,1022694
50,3,reserve,60421,60421,1.0,tie,1831624,1831624
50,4,reserve,57912,57912,1.0,tie,2053712,2053712
50,5,reserve,57017,57017,1.0,tie,1337182,1337182
64,2,reserve,14130,14130,1.0,tie,47620,47620
64,3,reserve,13074,13074,1.0,tie,41446,41446
64,4,reserve,10160,10160,1.0,tie,130956,130956
64,5,reserve,11391,11391,1.0,tie,159314,159314
69,2,reserve,17030,17030,1.0,tie,364198,364198
69,3,reserve,14179,14179,1.0,tie,325098,325098
69,4,reserve,15620,15620,1.0,tie,361896,361896
69,5,reserve,13147,13147,1.0,tie,433008,433008
71,2,reserve,12313,12313,1.0,tie,171622,171622
71,3,reserve,9867,9867,1.0,tie,250696,250696
71,4,reserve,10732,10732,1.0,tie,223406,223406
71,5,reserve,10542,10542,1.0,tie,307214,307214
86,2,reserve,74609,74609,1.0,tie,1019206,1019206
86,3,reserve,63229,63229,1.0,tie,2197292,2197292
86,4,reserve,62299,62299,1.0,tie,2353614,2353614
86,5,reserve,60402,60402,1.0,tie,2265748,2265748
88,2,reserve,132639,132639,1.0,tie,1032234,1032234
88,3,reserve,122079,122079,1.0,tie,1572244,1572244
88,4,reserve,112565,112565,1.0,tie,2028164,2028164
88,5,reserve,112833,112833,1.0,tie,2034888,2034888
