case,cores,base,base_cycles,fast_cycles,ratio,outcome,base_bytes,fast_bytes
components_128,2,routed,180347,180347,1.0,tie,70200,70200
components_128,3,routed,118057,118057,1.0,tie,105120,105120
components_128,4,routed,89949,89949,1.0,tie,120480,120480
components_128,5,routed,83533,83533,1.0,tie,291000,291000
components_512,2,routed,666490,666490,1.0,tie,427020,427020
components_512,3,routed,448355,448355,1.0,tie,526860,526860
components_512,4,routed,351551,351551,1.0,tie,480900,480900
components_512,5,routed,276243,276243,1.0,tie,547980,547980
forkjoin_128,2,routed,127213,121608,1.0460907177159398,win,1024800,1007880
forkjoin_128,3,routed,100412,99062,1.0136278290363612,win,1669560,1104360
forkjoin_128,4,routed,86161,86161,1.0,tie,2008800,2008800
forkjoin_128,5,routed,75209,75209,1.0,tie,1735920,1735920
forkjoin_512,2,routed,510545,510545,1.0,tie,4321080,4321080
forkjoin_512,3,routed,408089,407575,1.0012611175857205,win,6735600,3510360
forkjoin_512,4,routed,340613,340613,1.0,tie,7408440,7408440
forkjoin_512,5,routed,299512,299512,1.0,tie,7552800,7552800
layered_128,2,routed,122060,110656,1.1030581260844419,win,1055280,915360
layered_128,3,routed,87719,76430,1.147703781237734,win,1569120,1395960
layered_128,4,routed,68775,62717,1.0965926303872953,win,1876560,1444440
layered_128,5,routed,62827,58494,1.0740759736041303,win,1833000,1579200
layered_512,2,routed,472477,472477,1.0,tie,4430100,4430100
layered_512,3,routed,355122,319639,1.111009607713702,win,7334820,5352180
layered_512,4,routed,288086,270415,1.0653477063032746,win,8850780,6637140
layered_512,5,routed,245054,245054,1.0,tie,9311580,9311580
pressure_128,2,routed,256113,256113,1.0,tie,10715136,10715136
pressure_128,3,routed,208660,208660,1.0,tie,11173888,11173888
pressure_128,4,routed,190402,190402,1.0,tie,10878976,10878976
pressure_128,5,routed,199822,181119,1.103263600174471,win,11796480,10682368
pressure_512,2,routed,1066411,1066411,1.0,tie,38174720,38174720
pressure_512,3,routed,980283,980283,1.0,tie,52625408,52625408
pressure_512,4,routed,939211,939211,1.0,tie,54231040,54231040
pressure_512,5,routed,915461,915461,1.0,tie,54362112,54362112
layered_2048,2,routed,1938892,1938892,1.0,tie,20438340,20438340
layered_2048,3,routed,1414607,1414607,1.0,tie,27105060,27105060
layered_2048,4,routed,1160333,1160333,1.0,tie,31915500,31915500
layered_2048,5,routed,1001137,1001137,1.0,tie,34605540,34605540
pressure_2048,2,routed,4706555,4706555,1.0,tie,158367744,158367744
pressure_2048,3,routed,4061534,4061534,1.0,tie,216825856,216825856
pressure_2048,4,routed,3868140,3868140,1.0,tie,224133120,224133120
pressure_2048,5,routed,3846694,3846694,1.0,tie,228130816,228130816
