kind,case,cores,arm,makespan,bytes,reference,speedup,official_calls,cache_hits,solve_seconds,replay_seconds,seed_seconds,reference_seconds,assessment_seconds,invalid_candidates
synthetic,components_128,2,reserve,180347,70200,366149,2.0302472455876726,9,3,0.0818301159888506,0.00718359649181366,0.17268946021795273,0.008722607046365738,0.07620471715927124,0
synthetic,components_128,2,fast,180347,70200,366149,2.0302472455876726,9,3,0.07800740748643875,0.007227594032883644,0.17268946021795273,0.008722607046365738,0.0719195194542408,0
synthetic,components_128,2,routed,180347,70200,366149,2.0302472455876726,9,3,0.08757373504340649,0.007073074579238892,0.17268946021795273,0.008722607046365738,0.08183144591748714,0
synthetic,components_128,3,fast,118057,105120,366149,3.1014594644959637,9,3,0.1162361241877079,0.008523454889655113,0.167220089584589,0.008722607046365738,0.08115445636212826,0
synthetic,components_128,3,routed,118057,105120,366149,3.1014594644959637,9,3,0.11746201850473881,0.014381719753146172,0.167220089584589,0.008722607046365738,0.08284920826554298,0
synthetic,components_128,3,reserve,118057,105120,366149,3.1014594644959637,9,3,0.11536379717290401,0.008582087233662605,0.167220089584589,0.008722607046365738,0.08110898546874523,0
synthetic,components_128,4,routed,89949,120480,366149,4.070628911938988,10,2,0.1386548075824976,0.009482823312282562,0.16859397664666176,0.008722607046365738,0.09284831769764423,0
synthetic,components_128,4,reserve,89949,120480,366149,4.070628911938988,10,2,0.1437928881496191,0.009535608813166618,0.16859397664666176,0.008722607046365738,0.09804750047624111,0
synthetic,components_128,4,fast,89949,120480,366149,4.070628911938988,10,2,0.1386861316859722,0.00898720882833004,0.16859397664666176,0.008722607046365738,0.09291759319603443,0
synthetic,components_128,5,reserve,83533,291000,366149,4.383285647588378,10,2,0.17149890772998333,0.010336127132177353,0.21975543349981308,0.008722607046365738,0.10238696821033955,0
synthetic,components_128,5,fast,83533,291000,366149,4.383285647588378,10,2,0.16800153441727161,0.010277524590492249,0.21975543349981308,0.008722607046365738,0.10221763700246811,0
synthetic,components_128,5,routed,83533,291000,366149,4.383285647588378,10,2,0.17224109545350075,0.010079914703965187,0.21975543349981308,0.008722607046365738,0.10562935099005699,0
synthetic,components_512,2,reserve,666490,427020,1401577,2.102922774535252,10,2,0.5523927640169859,0.040731919929385185,0.7051865309476852,0.05530027858912945,0.3884985651820898,0
synthetic,components_512,2,fast,666490,427020,1401577,2.102922774535252,10,2,0.5542759373784065,0.036366404965519905,0.7051865309476852,0.05530027858912945,0.3845143932849169,0
synthetic,components_512,2,routed,666490,427020,1401577,2.102922774535252,10,2,0.5546064749360085,0.0382348969578743,0.7051865309476852,0.05530027858912945,0.3881022594869137,0
synthetic,components_512,3,fast,448355,526860,1401577,3.1260429793355713,10,2,0.6304521653801203,0.042012907564640045,0.6951872669160366,0.05530027858912945,0.3921929057687521,0
synthetic,components_512,3,routed,448355,526860,1401577,3.1260429793355713,10,2,0.6384896002709866,0.04150508716702461,0.6951872669160366,0.05530027858912945,0.3976175934076309,0
synthetic,components_512,3,reserve,448355,526860,1401577,3.1260429793355713,10,2,0.6331094093620777,0.03800030052661896,0.6951872669160366,0.05530027858912945,0.39425525814294815,0
synthetic,components_512,4,routed,351551,480900,1401577,3.9868383250225428,10,2,0.7155710533261299,0.038399454206228256,0.7119051665067673,0.05530027858912945,0.39558256790041924,0
synthetic,components_512,4,reserve,351551,480900,1401577,3.9868383250225428,10,2,0.7194298338145018,0.03851587884128094,0.7119051665067673,0.05530027858912945,0.4036025535315275,0
synthetic,components_512,4,fast,351551,480900,1401577,3.9868383250225428,10,2,0.7185314428061247,0.03830597549676895,0.7119051665067673,0.05530027858912945,0.4053508583456278,0
synthetic,components_512,5,reserve,276243,547980,1401577,5.073710465061558,10,2,0.8046906013041735,0.03943919576704502,0.7515497095882893,0.05530027858912945,0.41504163295030594,0
synthetic,components_512,5,fast,276243,547980,1401577,5.073710465061558,10,2,0.801044624298811,0.044095443561673164,0.7515497095882893,0.05530027858912945,0.41394869796931744,0
synthetic,components_512,5,routed,276243,547980,1401577,5.073710465061558,10,2,0.8074804041534662,0.03996295854449272,0.7515497095882893,0.05530027858912945,0.4119183998554945,0
synthetic,forkjoin_128,2,fast,121608,1007880,329243,2.707412341293336,11,1,0.3254965152591467,0.021400267258286476,0.24847795069217682,0.00933857262134552,0.19017743319272995,0
