case,cores,routed,reserve,ratio,old_legacy,outcome,routed_bytes,reserve_bytes
1,2,116868,116868,1.0,116868,tie,1152,1152
1,3,78545,78545,1.0,78545,tie,2304,2304
1,4,58984,58984,1.0,58984,tie,3456,3456
1,5,47502,47502,1.0,47502,tie,4608,4608
5,2,61371,61371,1.0,63119,tie,882310,882310
5,3,54267,54267,1.0,56202,tie,1461452,1461452
5,4,52462,52462,1.0,52945,tie,1495922,1495922
5,5,55679,50673,1.0987902827935982,50673,win,1859574,1688564
12,2,25535,25535,1.0,25535,tie,94960,94960
12,3,18128,18128,1.0,18128,tie,189892,189892
12,4,14948,14948,1.0,14948,tie,39168,39168
12,5,12519,12519,1.0,12519,tie,25344,25344
22,2,27860,27860,1.0,27860,tie,145236,145236
22,3,18978,18978,1.0,18978,tie,13824,13824
22,4,14336,14336,1.0,14336,tie,20736,20736
22,5,11479,11479,1.0,11479,tie,20736,20736
24,2,1335245,1335245,1.0,1382326,tie,396856,396856
24,3,954537,954537,1.0,982864,tie,332124,332124
24,4,748435,748435,1.0,797232,tie,595068,595068
24,5,695849,695849,1.0,743500,tie,432232,432232
35,2,93692,93692,1.0,95406,tie,801138,801138
35,3,75717,75717,1.0,95424,tie,1276568,1276568
35,4,63767,63767,1.0,84218,tie,1505978,1505978
35,5,58308,58308,1.0,80984,tie,1058710,1058710
48,2,150049,150049,1.0,158327,tie,467846,467846
48,3,114626,114626,1.0,150551,tie,1177612,1177612
48,4,114384,114384,1.0,156242,tie,1270930,1270930
48,5,101641,101641,1.0,147369,tie,1273560,1273560
49,2,126174,126174,1.0,124747,tie,1027062,1027062
49,3,83711,83711,1.0,83711,tie,2408560,2408560
49,4,75814,75814,1.0,75814,tie,2607184,2607184
49,5,76846,76846,1.0,76846,tie,2907980,2907980
50,2,87435,87435,1.0,96256,tie,1022694,1022694
50,3,60421,60421,1.0,60421,tie,1831624,1831624
50,4,57912,57912,1.0,57912,tie,2053712,2053712
50,5,57017,57017,1.0,57909,tie,1337182,1337182
64,2,14726,14130,1.0421797593772115,14130,win,75590,47620
64,3,13455,13074,1.0291418081688848,13074,win,66186,41446
64,4,10160,10160,1.0,13083,tie,130956,130956
64,5,11391,11391,1.0,13092,tie,159314,159314
69,2,17661,17030,1.0370522607163828,17030,win,179494,364198
69,3,16631,14179,1.1729318005501093,14179,win,278084,325098
69,4,15620,15620,1.0,16804,tie,361896,361896
69,5,16803,13147,1.2780862554194874,13147,win,355242,433008
71,2,13765,12313,1.1179241452123772,12313,win,173988,171622
71,3,12869,9867,1.3042464781595215,9867,win,234308,250696
71,4,11417,10732,1.0638278046962355,10732,win,208904,223406
71,5,12234,10542,1.1605008537279453,10542,win,253002,307214
86,2,74609,74609,1.0,82748,tie,1019206,1019206
86,3,64401,63229,1.0185357984469152,63229,win,1574634,2197292
86,4,63006,62299,1.0113484967655981,62299,win,1919826,2353614
86,5,65815,60402,1.0896162378729182,60402,win,2223540,2265748
88,2,132639,132639,1.0,132639,tie,1032234,1032234
88,3,122079,122079,1.0,119844,tie,1572244,1572244
88,4,112565,112565,1.0,111860,tie,2028164,2028164
88,5,112833,112833,1.0,120762,tie,2034888,2034888
