case,cores,arm,makespan,bytes,reference,reference_seconds,speedup,base_makespan,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal
12,2,legacy,25535,94960,59088,0.09466174058616161,2.314000391619346,25733,12,11,1,1.562535671517253,0.10672115534543991,True
12,2,reference,26375,125696,59088,0.09466174058616161,2.240303317535545,26375,12,11,1,1.6715577188879251,0.11579742282629013,True
12,2,routed,25535,94960,59088,0.09466174058616161,2.314000391619346,25733,12,11,1,1.5425666701048613,0.10926377959549427,True
12,3,legacy,18128,189892,59088,0.09466174058616161,3.259488084730803,19120,12,11,1,1.7678425945341587,0.11186917498707771,True
12,3,reference,17704,198104,59088,0.09466174058616161,3.3375508359692723,17704,12,11,1,1.8991282433271408,0.12490059807896614,True
12,3,routed,18128,189892,59088,0.09466174058616161,3.259488084730803,19120,12,11,1,1.7652958892285824,0.11173498444259167,True
12,4,legacy,14948,39168,59088,0.09466174058616161,3.952903398447953,14948,12,11,1,1.7850805670022964,0.10457039996981621,True
12,4,reference,14689,49536,59088,0.09466174058616161,4.022601947035197,14689,12,11,1,1.8865019734948874,0.10322563722729683,True
12,4,routed,14948,39168,59088,0.09466174058616161,3.952903398447953,14948,12,11,1,1.7555965539067984,0.09884941764175892,True
12,5,legacy,12519,25344,59088,0.09466174058616161,4.719865803977953,12519,12,11,1,1.9201942216604948,0.10087455064058304,True
12,5,reference,13302,35136,59088,0.09466174058616161,4.4420387911592245,13302,12,11,1,2.0571348015218973,0.10375160351395607,True
12,5,routed,12519,25344,59088,0.09466174058616161,4.719865803977953,12519,12,11,1,1.9313952419906855,0.1022452712059021,True
48,2,legacy,158327,621254,222220,0.19130228459835052,1.4035508788772604,158327,12,10,2,2.742715712636709,0.22702857665717602,True
48,2,reference,150049,467846,222220,0.19130228459835052,1.4809828789262174,150049,12,10,2,2.7897432781755924,0.20794661156833172,True
48,2,routed,150049,467846,222220,0.19130228459835052,1.4809828789262174,150049,12,10,2,2.8765930477529764,0.21220448799431324,True
48,3,legacy,150551,511402,222220,0.19130228459835052,1.4760446626060273,150551,12,10,2,4.322986930608749,0.2239336520433426,True
48,3,reference,114626,1177612,222220,0.19130228459835052,1.9386526616997888,114626,12,10,2,4.632988845929503,0.26850483752787113,True
48,3,routed,114626,1177612,222220,0.19130228459835052,1.9386526616997888,114626,12,10,2,4.739531312137842,0.270527858287096,True
48,4,legacy,156242,760808,222220,0.19130228459835052,1.4222808207780238,156242,12,10,2,3.1726050600409508,0.2203315868973732,True
48,4,reference,114384,1270930,222220,0.19130228459835052,1.9427542313610295,114384,12,10,2,5.457964275032282,0.27819666266441345,True
48,4,routed,114384,1270930,222220,0.19130228459835052,1.9427542313610295,114384,12,10,2,5.5811287723481655,0.28549312613904476,True
48,5,legacy,147369,506738,222220,0.19130228459835052,1.5079155046176604,147369,12,10,2,5.866548378020525,0.22566798701882362,True
48,5,reference,101641,1273560,222220,0.19130228459835052,2.1863224486181756,101731,12,10,2,5.893265211954713,0.26647561602294445,True
48,5,routed,101641,1273560,222220,0.19130228459835052,2.1863224486181756,101731,12,10,2,6.252925831824541,0.26531803607940674,True
