case,cores,legacy,challenger,ratio,legacy_bytes,challenger_bytes,legacy_seconds,challenger_seconds,outcome
22,2,27860,28247,0.9862994300279676,145236,6912,1.795158363878727,1.8055360410362482,loss
22,3,18978,18978,1.0,13824,13824,1.529992451891303,1.5755941364914179,tie
22,4,14336,14124,1.015009912206174,20736,466560,1.601752134039998,2.5596173498779535,win
22,5,11479,11479,1.0,20736,20736,1.6593433357775211,1.6721705608069897,tie
24,2,1382326,1335245,1.0352601956944232,3632,396856,15.024859899654984,14.200340438634157,win
24,3,982864,954537,1.0296761676079607,5044,332124,16.198523495346308,15.765881977975368,win
24,4,797232,748435,1.065198714651239,5632,595068,18.132821675390005,17.682905178517103,win
24,5,743500,695849,1.0684789372406944,628436,432232,19.760617265477777,19.019584411755204,win
35,2,95406,93692,1.0182939845451053,0,801138,5.206604685634375,6.82453291490674,win
35,3,95424,75717,1.2602718015769245,0,1276568,6.1280327048152685,8.132455173879862,win
35,4,84218,63767,1.320714476139696,783102,1505978,12.761667348444462,8.689977964386344,win
35,5,80984,58308,1.3889003224257392,344584,1058710,8.89936270751059,9.229806451126933,win
