case,cores,legacy,challenger,ratio,legacy_bytes,challenger_bytes,legacy_seconds,challenger_seconds,outcome
22,2,27860,27860,1.0,145236,145236,1.795158363878727,1.832238169386983,tie
22,3,18978,18978,1.0,13824,13824,1.529992451891303,1.5508353300392628,tie
22,4,14336,14336,1.0,20736,20736,1.601752134039998,1.618407417088747,tie
22,5,11479,11479,1.0,20736,20736,1.6593433357775211,1.6637815739959478,tie
24,2,1382326,1335245,1.0352601956944232,3632,396856,15.024859899654984,14.567180844023824,win
24,3,982864,954537,1.0296761676079607,5044,332124,16.198523495346308,16.19086627289653,win
24,4,797232,748435,1.065198714651239,5632,595068,18.132821675390005,18.217459324747324,win
24,5,743500,695849,1.0684789372406944,628436,432232,19.760617265477777,20.238057516515255,win
35,2,95406,93692,1.0182939845451053,0,801138,5.206604685634375,6.907326307147741,win
35,3,95424,75717,1.2602718015769245,0,1276568,6.1280327048152685,8.466036796569824,win
35,4,84218,63767,1.320714476139696,783102,1505978,12.761667348444462,9.140927271917462,win
35,5,80984,58308,1.3889003224257392,344584,1058710,8.89936270751059,9.71707533672452,win
