case,cores,legacy,challenger,ratio,legacy_bytes,challenger_bytes,legacy_seconds,challenger_seconds,outcome
12,2,25535,26375,0.9681516587677725,94960,125696,1.562535671517253,1.6715577188879251,loss
12,3,18128,17704,1.0239493899683687,189892,198104,1.7678425945341587,1.8991282433271408,win
12,4,14948,14689,1.0176322418136021,39168,49536,1.7850805670022964,1.8865019734948874,win
12,5,12519,13302,0.9411366711772666,25344,35136,1.9201942216604948,2.0571348015218973,loss
48,2,158327,150049,1.0551686449093296,621254,467846,2.742715712636709,2.7897432781755924,win
48,3,150551,114626,1.3134105700277423,511402,1177612,4.322986930608749,4.632988845929503,win
48,4,156242,114384,1.365942789201287,760808,1270930,3.1726050600409508,5.457964275032282,win
48,5,147369,101641,1.4498971871587254,506738,1273560,5.866548378020525,5.893265211954713,win
50,2,96256,87435,1.100886372734031,1390498,1022694,13.683510547503829,10.235296560451388,win
50,3,60421,60421,1.0,1831624,1831624,11.842996288090944,11.914334427565336,tie
50,4,57912,57912,1.0,2053712,2053712,12.880223071202636,13.029218496754766,tie
50,5,57909,57017,1.0156444569163583,2121814,1337182,13.970448348671198,11.989513715729117,win
