case,cores,legacy,challenger,ratio,legacy_bytes,challenger_bytes,legacy_seconds,challenger_seconds,outcome
12,2,25535,25535,1.0,94960,94960,1.562535671517253,1.5425666701048613,tie
12,3,18128,18128,1.0,189892,189892,1.7678425945341587,1.7652958892285824,tie
12,4,14948,14948,1.0,39168,39168,1.7850805670022964,1.7555965539067984,tie
12,5,12519,12519,1.0,25344,25344,1.9201942216604948,1.9313952419906855,tie
48,2,158327,150049,1.0551686449093296,621254,467846,2.742715712636709,2.8765930477529764,win
48,3,150551,114626,1.3134105700277423,511402,1177612,4.322986930608749,4.739531312137842,win
48,4,156242,114384,1.365942789201287,760808,1270930,3.1726050600409508,5.5811287723481655,win
48,5,147369,101641,1.4498971871587254,506738,1273560,5.866548378020525,6.252925831824541,win
50,2,96256,87435,1.100886372734031,1390498,1022694,13.683510547503829,10.596578728407621,win
50,3,60421,60421,1.0,1831624,1831624,11.842996288090944,12.605950271710753,tie
50,4,57912,57912,1.0,2053712,2053712,12.880223071202636,13.419509680941701,tie
50,5,57909,57017,1.0156444569163583,2121814,1337182,13.970448348671198,12.476691687479615,win
