case,cores,no_l2,fixed_l2,selected_l2,hardware_ratio,combined_ratio,search_ratio,no_l2_added,fixed_l2_added,selected_l2_added,fixed_hit_rate,selected_hit_rate,fixed_hit_bytes,fixed_miss_bytes,selected_hit_bytes,selected_miss_bytes,search_seconds,total_seconds,input_sha256,seed_sha256
1,1,233110,233110,233110,1.0,1.0,1.0,0,0,0,0.0,0.0,0,820352,0,820352,0.09804962947964668,0.406123461201787,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e
1,2,116868,116868,116868,1.0,1.0,1.0,1152,1152,1152,0.0,0.0,0,821504,0,821504,0.8048382923007011,1.3211884461343288,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,0040a23dc730aa8e8fe425b4ff3ea2a72aefcd3b896a9f9efafc82f7de6897a5
1,3,78545,78545,78545,1.0,1.0,1.0,2304,2304,2304,0.0,0.0,0,822656,0,822656,0.7151569537818432,1.1733051165938377,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,a6063c8a12cfb0cb464ac7480454ac2e51d5e31e3416f5d0166d7481869d3b67
1,4,58984,58984,58984,1.0,1.0,1.0,3456,3456,3456,0.0,0.0,0,823808,0,823808,0.40640307776629925,0.7149316426366568,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,eeccf28f989ea7980e959263b12ef31c0385c9a3fc32aae307f00370374fe8f6
1,5,47502,47502,47502,1.0,1.0,1.0,4608,4608,4608,0.0,0.0,0,824960,0,824960,0.6208842936903238,1.036911517381668,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,3963d4ccddacb77293b6bfe4fb886fcee56d01e3410255737c44d548e7a6b586
2,1,261945,261945,261945,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1222656,0,1222656,0.46381375193595886,1.8735815770924091,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907
2,2,134224,134224,134068,1.0,1.001163588626667,1.001163588626667,216576,216576,245760,0.03724604966139955,0.03691275167785235,50688,1310208,50688,1322496,1.7568673752248287,2.7437432911247015,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1480e31a655106606622c8f32ec2899ac02636fdb4a2761a0ed58c8cc9819289
2,3,90565,90565,90565,1.0,1.0,1.0,423936,423936,423936,0.0,0.0,0,1434624,0,1434624,1.6718265525996685,2.75684860907495,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,2f361a1c69d709418ca6515330fa6ba9a5e0b6f58eaeb3b061c31880128b7d23
2,4,68574,68574,68574,1.0,1.0,1.0,377856,377856,377856,0.0,0.0,0,1411584,0,1411584,1.228037303313613,2.2555342689156532,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,51cb391220173b527a3b633b6c123c3f46529cc6d49c9a955668d34a492e304a
2,5,55189,55189,55189,1.0,1.0,1.0,514560,514560,514560,0.0031088082901554403,0.0031088082901554403,4608,1477632,4608,1477632,1.4181997440755367,2.515068368986249,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,256f4f36d92c547967db8e1986ff143269ed8586b80c9b1ab2c3f4b273901c38
