case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_001,2,distributed_components,116868,116868,0,1.109725100104697,0.27964809990953654
case_001,3,distributed_components,78545,78545,0,1.0897213999414816,0.2553941998630762
case_001,4,distributed_components,58984,58984,0,1.141564500052482,0.26263859996106476
case_001,5,distributed_components,47502,47502,0,1.1334493999602273,0.2818874000804499
case_002,2,dominant_component,138077,138077,0,6.517295841127634,1.9053903203457594
case_002,3,dominant_component,96927,95931,996,7.4065731558948755,2.3614998757839203
case_002,4,dominant_component,74670,74618,52,6.17573781311512,2.138657981529832
case_002,5,dominant_component,62090,60651,1439,6.790521023795009,1.913486683741212
case_003,2,dominant_component,462934,462800,134,105.48705548606813,22.847638284787536
case_003,3,dominant_component,378576,378576,0,108.12948506325483,24.782350288704038
case_003,4,dominant_component,342271,329107,13164,107.02365427277982,25.655185472220182
case_003,5,dominant_component,331333,294109,37224,112.34736599214375,25.38598383590579
case_004,2,distributed_components,199074,199074,0,1.397112900041975,0.33942580001894385
case_004,3,distributed_components,134043,134043,0,1.3026253998978063,0.31794400000944734
case_004,4,distributed_components,104188,104188,0,1.44962279999163,0.35446419997606426
case_004,5,distributed_components,88341,88341,0,1.4084279000526294,0.40480649983510375
case_005,2,dominant_component,91571,91571,0,19.404766730964184,5.915734816342592
case_005,3,dominant_component,88392,88392,0,20.830163119360805,5.61688444390893
case_005,4,dominant_component,87624,87624,0,21.929961355403066,7.086981605738401
case_005,5,dominant_component,87840,87840,0,22.237771911546588,6.922677868977189
case_006,2,distributed_components,42379,42379,0,1.1211157999932766,0.2700899000046775
case_006,3,distributed_components,32925,32925,0,1.3033075999701396,0.2886784999864176
case_006,4,distributed_components,31608,31129,479,1.2129876000108197,0.28939900000113994
case_006,5,distributed_components,32210,31729,481,1.328386400011368,0.32151859998703003
case_007,2,distributed_components,507494,507494,0,26.401923587545753,6.831030825152993
case_007,3,distributed_components,338094,338094,0,26.771724985912442,6.660694103688002
case_007,4,distributed_components,254398,254398,0,25.767222611233592,6.414070328697562
