family,calls,direct_improving_calls,direct_saved_cycles,evaluation_seconds
directed_migrate,22,0,0,13.221520610735752
directed_split,1073,403,3135014,3156.8068918661447
grain_0.25,400,42,10574595,1368.1588868740946
grain_0.5,402,198,38476777,1212.400327791227
grain_1.0,398,32,878722,1117.5221297339303
grain_2.0,252,0,0,893.5110070152441
grain_4.0,14,0,0,20.778712536673993
greedy,400,367,732750859,1007.884548726026
local_reschedule,276,68,571839,917.6468008462107
multilevel,389,120,5951254,1016.7782601540675
random_boundary,3,1,520,0.2131908000446856
random_migrate,136,0,0,240.33789096423425
random_reorder,1,0,0,3.296927133575082
random_split,2,2,54,0.13275040010921657
region_repair,275,75,128522,518.1017966164509
single_task,400,0,0,91.86315896513406
structural_seed,357,286,29321050,976.056304750964
