version,candidate,count,improving_calls,saved_cycles,evaluation_seconds
current,directed_migrate,22,0,0,13.221520610735752
current,directed_split,1073,403,3135014,3156.8068918661447
current,grain_0.25,400,42,10574595,1368.1588868740946
current,grain_0.5,402,198,38476777,1212.400327791227
current,grain_1.0,398,32,878722,1117.5221297339303
current,grain_2.0,252,0,0,893.5110070152441
current,grain_4.0,14,0,0,20.778712536673993
current,greedy,400,367,732750859,1007.884548726026
current,local_reschedule,276,68,571839,917.6468008462107
current,multilevel,389,120,5951254,1016.7782601540675
current,random_boundary,3,1,520,0.2131908000446856
current,random_migrate,136,0,0,240.33789096423425
current,random_reorder,1,0,0,3.296927133575082
current,random_split,2,2,54,0.13275040010921657
current,region_boundary_1018_0,3,3,202,0.15570150001440197
current,region_boundary_1039_0,1,0,0,0.11684220004826784
current,region_boundary_1105_0,3,0,0,28.201943434774876
current,region_boundary_1145_0,1,0,0,0.09158620005473495
current,region_boundary_115_0,1,0,0,1.7359115071594715
current,region_boundary_118_0,1,0,0,0.4293084517121315
current,region_boundary_1241_0,1,1,335,0.3929260391741991
current,region_boundary_1250_0,2,2,911,13.88324050232768
current,region_boundary_1319_0,1,1,45,0.07511980005074292
current,region_boundary_1339_0,1,0,0,0.0718701999867335
current,region_boundary_13546_0,1,0,0,6.573319358751178
current,region_boundary_13578_0,1,1,134,5.318393833935261
current,region_boundary_1435_0,1,1,848,0.5486450474709272
current,region_boundary_144_0,1,0,0,10.101492879912257
current,region_boundary_1463_0,1,0,0,2.2033892199397087
current,region_boundary_15583_0,2,0,0,11.529308384284377
current,region_boundary_15600_0,2,1,327,15.632145950570703
current,region_boundary_1565_0,1,1,13,0.056181700085289776
current,region_boundary_157_0,1,1,45,0.09522610006388277
current,region_boundary_1612_0,1,1,33,0.08619609999004751
current,region_boundary_1695_0,2,0,0,0.8460346143692732
current,region_boundary_178_0,1,0,0,0.1429079999215901
current,region_boundary_1898_0,1,0,0,2.284082932397723
current,region_boundary_215_0,1,1,936,0.12284010008443147
current,region_boundary_2297_0,1,0,0,0.10280150000471622
current,region_boundary_2393_0,1,1,64,0.10636849992442876
current,region_boundary_2395_0,4,2,47,12.956559535115957
current,region_boundary_258_0,1,0,0,0.06480299995746464
current,region_boundary_2838_0,3,2,142,4.7785791382193565
current,region_boundary_28_0,9,9,11700,34.5349499899894
current,region_boundary_343_0,1,1,479,0.06561960000544786
current,region_boundary_379_0,1,0,0,0.06269689998589456
current,region_boundary_3929_0,1,0,0,2.98527873121202
current,region_boundary_398_0,1,0,0,5.478270823135972
current,region_boundary_4129_0,1,0,0,3.7911173347383738
current,region_boundary_4372_0,1,0,0,8.44554791226983
current,region_boundary_4720_0,1,1,8,1.515456911176443
