case,cores,version,position,candidate,makespan,added_copy_bytes,seconds,cache_hit,plan_sha256,improvement_over_prefix
case_093,2,current,0,single_task,74205,0,0.008009799988940358,True,482a5a37f8ced505b3214d307322277ecf856b53dd562db09c970912d239c109,0
case_093,2,current,1,greedy,48342,1056768,0.07618530001491308,False,94ba5f625726055b8148176afdf13cfd416d39d1676cc33d5cf81f68a9fc638e,25863
case_093,2,current,2,multilevel,59125,925696,0.07563030009623617,False,8b1a1a31ac314d989f65af8f8339c6a3b4b70f1ed1c24512360ac79926da9433,0
case_093,2,current,3,grain_0.5,50490,1124352,0.08943719998933375,False,7a96f1d2453618337b20c57a8af8220a89fdbb7b5c9dc91bc63246619fe0842c,0
case_093,2,current,4,directed_split,47510,1058816,0.07718509994447231,False,f3b32e5a77dc3ec6cd5f605ad821105401faf0d9e88be391f041557aa4959aed,832
case_093,2,current,5,structural_component_lpt,37827,8192,0.037842500023543835,False,d7592e5c94aa602ccbfbdcd528f570f39f3f317c88160c7621b9459efbb2a5d6,9683
case_093,2,current,6,grain_1.0,48985,1091584,0.07897629996296018,False,b90faf36f6e9f99f778ecaf99cd9bf1494e385f21ff41aef1c071eb6a0c477b0,0
case_093,2,current,7,directed_split,38032,24576,0.0547730999533087,False,34376cf2ce7998969f5d710aa1f28043abfdb63b4c5a6938efacfff269fbcbbf,0
case_093,2,current,8,region_repartition_2_0,38032,28672,0.06154180003795773,False,aa8adef492341b58343a4ef9ca35d21a68849af52da40aec505e0844b6ae378c,0
case_093,2,current,9,directed_split,37827,16384,0.05614839994814247,False,f1b886c5c9bfe0d17bc90110b32b07f3722bb42428b64b5450432404a5630b9b,0
case_093,2,current,10,grain_0.25,54875,1189888,0.0895039999159053,False,061d0a5ad61ba04b19c796a9070d29c2472bf0d9af11894561a0d61a795c9c65,0
case_093,2,current,11,directed_migrate,74542,8192,0.03712310001719743,False,aa7ad0e7d1e0f2c1e55da137b6d8ab9cb6b904d82b9ece30089d9c0b6fc2220d,0
case_093,3,current,0,single_task,74205,0,0.008774499990977347,True,2f4c47f4ee26deeabbaae2208931232d0dd818ee411b61c45c2de4a28e1cd8b5,0
