case,cores,single,current,current_seconds,current_winner,previous,previous_seconds,previous_winner,ops,components,largest_component_fraction,critical_fraction,dominant_pipe_fraction,shared_input_fraction,tensor_bytes_per_cycle,fanout_max,oracle,oracle_gain,oracle_pool_seconds,fold,chosen,offline_cv,offline_seconds
case_001,2,233110,116868,1.109725100104697,structural_component_lpt,116868,2.624766645953059,structural_component_lpt,600,200,0.005,0.005,0.8844984802431611,1.0,12.454224924012157,1,116868,0,3.7344917460577562,4,current,116868,1.109725100104697
case_001,3,233110,78545,1.0897213999414816,structural_component_lpt,78545,2.5175447799265385,structural_component_lpt,600,200,0.005,0.005,0.8844984802431611,1.0,12.454224924012157,1,78545,0,3.60726617986802,4,current,78545,1.0897213999414816
case_001,4,233110,58984,1.141564500052482,structural_component_lpt,58984,2.031005833297968,structural_component_lpt,600,200,0.005,0.005,0.8844984802431611,1.0,12.454224924012157,1,58984,0,3.17257033335045,4,current,58984,1.141564500052482
case_001,5,233110,47502,1.1334493999602273,structural_component_lpt,47502,1.6499286144971848,structural_component_lpt,600,200,0.005,0.005,0.8844984802431611,1.0,12.454224924012157,1,47502,0,2.783378014457412,4,current,47502,1.1334493999602273
case_002,2,261945,138077,6.517295841127634,directed_split,138077,4.366767844185233,directed_split,1798,1,1.0,0.010785422284074106,0.8697921196833956,0.75,14.43994085413586,1,138077,0,10.884063685312867,3,current,138077,6.517295841127634
case_002,3,261945,95931,7.4065731558948755,local_reschedule,95931,5.2577595468610525,local_reschedule,1798,1,1.0,0.010785422284074106,0.8697921196833956,0.75,14.43994085413586,1,95931,0,12.664332702755928,3,current,95931,7.4065731558948755
case_002,4,261945,74618,6.17573781311512,directed_split,74618,3.613262999802828,directed_split,1798,1,1.0,0.010785422284074106,0.8697921196833956,0.75,14.43994085413586,1,74618,0,9.789000812917948,3,current,74618,6.17573781311512
case_002,5,261945,60651,6.790521023795009,directed_split,60651,4.54593288898468,directed_split,1798,1,1.0,0.010785422284074106,0.8697921196833956,0.75,14.43994085413586,1,60651,0,11.336453912779689,3,current,60651,6.790521023795009
case_003,2,602212,462800,105.48705548606813,region_boundary_13578_0,462800,68.50395506620407,region_boundary_13578_0,13455,10,0.9806020066889632,0.03702317204223665,0.5743493620914656,0.4354656097428031,11.871431357586118,9,462800,0,173.9910105522722,4,current,462800,105.48705548606813
case_003,3,602212,378576,108.12948506325483,directed_split,378576,78.74862955883145,directed_split,13455,10,0.9806020066889632,0.03702317204223665,0.5743493620914656,0.4354656097428031,11.871431357586118,9,378576,0,186.8781146220863,4,current,378576,108.12948506325483
