case,ops,components,largest_component_fraction,critical_fraction,dominant_pipe_fraction,shared_input_fraction,tensor_bytes_per_cycle,fanout_max
case_001,600,200,0.005,0.005,0.8844984802431611,1.0,12.454224924012157,1
case_002,1798,1,1.0,0.010785422284074106,0.8697921196833956,0.75,14.43994085413586,1
case_003,13455,10,0.9806020066889632,0.03702317204223665,0.5743493620914656,0.4354656097428031,11.871431357586118,9
case_004,777,111,0.009009009009009009,0.006338135370393435,0.8894009216589862,1.0,10.479345705152157,2
case_005,4113,1,1.0,0.055235073550620135,0.5118257859821171,0.7398422944464309,25.778338621286416,7
case_006,678,27,0.20058997050147492,0.032352270134611,0.7871321013004792,0.7803719738469694,36.115560118640204,11
case_007,3885,555,0.0018018018018018018,0.0013245678110542975,0.7945945945945946,1.0,9.017034331628926,2
case_008,864,108,0.009259259259259259,0.009259259259259259,0.5132978723404256,0.0,25.957890070921987,2
case_009,5671,25,0.8418268383001234,0.053820644659522986,0.6480729346698928,0.5915419007500091,15.163994987901832,6
case_010,667,36,0.19940029985007496,0.03142668771102631,0.5543723652927897,0.8193335728680112,25.546380836313507,13
case_011,688,16,0.0625,0.010096007314843036,0.8783907345321549,1.0,15.995123437976227,1
case_012,972,50,0.10082304526748971,0.03695674615464024,0.5245911309708151,0.6498339172395557,21.996283679157635,7
case_013,1968,246,0.0040650406504065045,0.001302897644361059,0.8589743589743589,0.004048582995951417,19.718991036064207,1
case_014,35705,1340,0.0034729029547682397,0.0016934740012963807,0.9125174046197174,0.998140368294248,9.715294960495141,2
case_015,1013,46,0.14313919052319843,0.040274434157687666,0.5165846384055132,0.8294708089028381,21.0361721728243,11
case_016,17995,1,1.0,0.08491796797786123,1.0,1.0,46.688406119268045,12
case_017,1373,60,0.11798980335032774,0.033632917514988585,0.622040247016344,0.8755190443976842,13.47431412470051,8
case_018,2727,126,0.021635496883021636,0.0032646065544886726,0.8960095050878603,0.8480845110749996,9.7687341278224,2
case_019,647,31,0.26275115919629055,0.1379069348002525,0.5459915231310307,0.580010264878495,17.145414374605465,2
case_020,7008,288,0.003995433789954338,0.003424657534246575,1.0,1.0,56.10958904109589,2
case_021,3920,80,0.0125,0.0007947976878612717,0.8876961189099918,1.0,7.243233324158179,1
case_022,1356,32,0.13495575221238937,0.03390756517730618,0.9234433422683581,0.8656270487964784,34.556384558911404,10
case_023,1011,43,0.12561819980217606,0.031728122038182066,0.5232206526154263,0.5753359654659289,19.09995336312076,7
case_024,5959,1,1.0,0.08491796797786123,1.0,1.0,46.79135116516198,12
case_025,18662,2666,0.00037509377344336085,0.0002757446118286328,0.7945945945945946,1.0,8.999266032724398,2
case_026,636,31,0.3113207547169811,0.038645311381531856,0.6332140300644238,0.8114775223671776,33.334717251252684,10
case_027,1424,16,0.0625,0.00836448954677247,0.8858538074164505,1.0,7.686250572256982,1
case_028,19584,153,0.006535947712418301,0.006027231552592343,0.9517575322812052,0.5333142693737489,2.4054069260415787,2
case_029,861,21,0.047619047619047616,0.010857676403894892,1.0,0.9998372925479987,29.856582633053222,5
case_030,10070,486,0.005660377358490566,0.00046932399125185106,0.8722012551746583,0.8151476251604621,13.6327109397726,1
case_031,6135,107,0.34995925020374896,0.0083939937654169,0.8579089781725304,0.9404701531476277,11.561020548152158,9
case_032,827,25,0.22853688029020555,0.02595990485898743,0.7700758862838374,0.6147387124045337,28.189738362215426,9
case_033,3465,95,0.01847041847041847,0.0032809936723693462,0.899985938598547,0.7958900620670945,11.191110069525818,4
case_034,3745,155,0.025100133511348464,0.0038946485389507223,0.7935041880446895,0.7776694924174906,15.287257074342559,8
case_035,3857,16,0.6300233341975628,0.0834542287519226,0.6982450352011877,0.7212947051738822,21.15643301099946,14
case_036,2400,800,0.00125,0.00125,0.8844984802431611,1.0,12.450942249240121,1
case_037,780,20,0.05,0.0037906742703790676,0.8788996980878899,1.0,15.629654478362966,1
case_038,5907,130,0.019637717961740308,0.005864242190388913,0.8876080537200491,0.9849726570635382,11.534774138919705,2
case_039,5250,70,0.014285714285714285,0.0005310573731626364,0.9333333333333333,1.0,17.41278601910181,1
case_040,3083,28,0.7116445021083361,0.05414428848291868,0.623905442307111,0.43808756615092176,29.364604011111,14
case_041,16594,494,0.010967819693865252,0.0002717211621115825,0.9065429902244967,0.9966894268570247,10.085687968150035,7
case_042,4733,104,0.054510881047961125,0.003114894400422552,0.8761570586191895,0.9657828129018287,11.860150282011636,10
case_043,9309,38,0.5274465570952841,0.03188744569651796,0.6009241022153151,0.8776264923172392,13.335519206864493,9
case_044,1364,11,0.09090909090909091,0.09090909090909091,0.8816475495307612,0.9763591792874173,24.205137927765666,2
case_045,1651,68,0.016959418534221685,0.014536644457904301,1.0,1.0,56.11450795371226,2
case_046,992,8,0.125,0.125,0.9191734607815575,0.9341965748803136,18.30123699746978,2
case_047,13710,1,1.0,0.048386706363614355,0.6278169099314985,0.37299633052400466,12.03303076513446,7
case_048,1728,1,1.0,0.29260851476910277,0.5375121342393565,0.3708938958803653,7.787261745173269,3
case_049,4303,11,0.918429003021148,0.03415665118558536,0.6344882245509784,0.2629570371924671,14.977528821229884,8
case_050,4555,23,0.8805708013172339,0.03683804530178715,0.7196661973578453,0.7197181334168493,19.58430027133602,8
case_051,1416,1,1.0,0.08491796797786123,1.0,1.0,47.28515516900573,12
case_052,1008,52,0.11904761904761904,0.01795486054976656,0.6933466586322953,0.35713615556685807,14.82183781347521,6
case_053,11670,39,0.8443016281062553,0.03655699311794307,0.7789853815706814,0.6550927571992028,10.110372417301623,9
case_054,15751,24,0.97708082026538,0.019993339166489307,0.5657924815349082,0.18141916332443872,12.5271695004769,9
case_055,1236,24,0.14805825242718446,0.05320799419160075,0.5277159998471473,0.6882076165269814,22.004723145706752,8
case_056,7678,19,0.9721281583745767,0.0364406622295202,0.6524488751064411,0.5525762213013371,14.427541787255716,9
case_057,865,21,0.223121387283237,0.13288006880101255,0.7718207928343096,0.9603788608031184,25.811705908124686,6
case_058,16575,255,0.00392156862745098,0.00015977554320472046,0.933588203167668,1.0,15.959227680149066,1
case_059,2752,64,0.015625,0.002524001828710759,0.8783907345321549,1.0,14.707711063700092,1
case_060,5281,89,0.03465252793031623,0.004278651721573682,0.7247464456097028,0.9619331328309337,19.12714699865462,10
case_061,1115,40,0.14977578475336323,0.11618936058488508,0.7215736963283111,0.3868310185355381,16.780526719715635,6
case_062,19636,1,1.0,0.0010361703145175432,0.8695860101066458,0.75,14.466850520476319,1
case_063,7360,1,1.0,0.0027002891648239494,0.8696206837897602,0.75,14.462323524408912,1
case_064,906,1,1.0,0.15304528891202498,0.6829776158250911,0.39632811184099714,12.506246746486205,4
case_065,704,42,0.08664772727272728,0.021894146560974766,0.5108864965903978,0.44637661817696517,20.41569455502094,5
case_066,5962,28,0.6164038913116404,0.07320999961396712,0.6124161797732397,0.7644667204093792,12.302536235997794,9
case_067,8804,71,0.014084507042253521,0.014084507042253521,0.9614757137560253,0.7618635851479182,0.9980729762333735,2
case_068,5351,32,0.7804148757241637,0.11966161214669747,0.6168966089396405,0.3969796793692203,17.744713308915124,9
case_069,1032,1,1.0,0.07189787873099306,0.5216819973718791,0.7569748430989927,26.616794943995995,6
case_070,1191,38,0.23929471032745592,0.029155818937617768,0.6604433065316514,0.5768188292232136,15.162133394703911,14
case_071,741,1,1.0,0.09783719346049047,0.5336341961852861,0.7519513376756204,27.587448910081743,6
case_072,29666,476,0.2069709431672622,0.001297597816359791,0.9306633104258015,0.996053729710414,7.770465792073507,9
case_073,4836,39,0.02564102564102564,0.02564102564102564,0.9501598372566115,0.95884312238235,1.3516494161655452,2
case_074,3609,73,0.07453588251593239,0.0017386227363030728,0.8883929073642007,0.7201721365823072,10.564408350788932,11
case_075,7410,1,1.0,0.1040418221872182,0.6320811788743166,0.3697706648378762,6.309638279172231,6
case_076,32528,809,0.003750614854894245,0.00039578295684967037,0.8648505355768072,0.9597025665627249,13.65842675275921,2
case_077,4486,41,0.4672313865358894,0.028291292172482874,0.7524407782958206,0.20100875185638362,14.540394654378549,9
case_078,1024,8,0.125,0.11527080344332855,0.9517575322812052,0.9562467954195863,3.356348637015782,2
case_079,18720,288,0.003472222222222222,0.00017936078131870674,0.8866902728598208,1.0,7.1070378856256795,1
case_080,1098,18,0.05555555555555555,0.002409840937576721,0.9337132224677288,1.0,20.680854362910416,1
case_081,3485,85,0.011764705882352941,0.002682484758609326,1.0,0.9998372925479987,29.856582633053222,5
case_082,4113,1,1.0,0.05895212040073213,0.6121965889908613,0.3925488077456807,6.02573455700214,7
case_083,3844,31,0.03225806451612903,0.03225806451612903,0.9191734607815575,0.7855772608143525,15.268938122919822,2
case_084,8616,1077,0.0009285051067780873,0.0009285051067780873,0.5051546391752577,0.0,15.258591065292096,2
case_085,19737,1,1.0,0.03859370869680148,0.5979633196128041,0.37667382070144967,5.8999986479940665,9
case_086,5274,1,1.0,0.043843247987179,0.5035677490746747,0.7417088619420414,25.399664211851796,8
case_087,27556,196,0.4606256350704021,0.01833374142997062,0.8027767252657693,0.7103788612468582,10.83677043044961,9
case_088,3309,31,0.8455726805681475,0.11790292370277151,0.6351078462934239,0.4006044607674356,17.913796130995934,9
case_089,5120,40,0.025,0.023282967032967034,0.842948717948718,0.5930047694753577,12.356227106227106,2
case_090,1664,13,0.07692307692307693,0.07105515843379921,0.934119278779473,0.981751184418319,4.6623279632988375,2
case_091,31554,513,0.004658680357482411,0.005741107447037094,0.9060119619855403,0.9924794359576968,9.90057086250778,4
case_092,17608,142,0.007042253521126761,0.007042253521126761,0.9191734607815575,0.444388402341541,14.444479641413281,2
case_093,552,69,0.014492753623188406,0.004645113340765515,0.8589743589743589,0.014285714285714285,19.78743961352657,1
case_094,647,40,0.06800618238021638,0.02309408702119747,0.6595760505764224,0.45250865639215154,23.510301227222016,2
case_095,3696,462,0.0021645021645021645,0.0021645021645021645,0.5132978723404256,0.0,25.957890070921987,2
case_096,1198,50,0.3313856427378965,0.10096061067392842,0.5696121105559964,0.8440597355654903,25.854922057593758,14
case_097,6592,64,0.015625,0.0020544554455445545,0.8855445544554456,1.0,7.327964796479648,1
case_098,1365,27,0.28498168498168497,0.037683961399356654,0.9039095096029378,0.627996079734981,42.17302510597399,13
case_099,6296,202,0.01858322744599746,0.0016239475371852955,0.9168373363122945,0.7629584722643226,8.456911948254342,2
case_100,1394,43,0.19727403156384504,0.02935046152537326,0.6198659479956005,0.9611977816819035,26.337378390039074,14
