case,cores,makespan,added,single
1,1,233110,0,233110
2,1,261945,0,261945
3,1,602212,0,602212
4,1,392357,0,392357
5,1,95618,0,95618
6,1,82837,16400,82837
7,1,1012562,0,1012562
8,1,487605,0,487605
9,1,153261,0,153261
10,1,86969,0,86969
11,1,184697,0,184697
12,1,59088,0,59088
13,1,263949,0,263949
14,1,17698626,71010720,17698626
15,1,177362,180256,177362
16,1,7715523,0,7715523
17,1,162810,22528,162810
18,1,1004367,1970176,1004367
19,1,81144,0,81144
20,1,532746,0,532746
21,1,6567937,4501504,6567937
22,1,56780,0,56780
23,1,122614,0,122614
24,1,2555343,0,2555343
25,1,4863026,0,4863026
26,1,99203,0,99203
27,1,2363952,1400832,2363952
28,1,43836040,277412256,43836040
29,1,37555,0,37555
30,1,2808034,5519360,2808034
31,1,1414369,3491328,1414369
32,1,41443,0,41443
33,1,1774196,4592640,1774196
34,1,842996,1079832,842996
35,1,169571,0,169571
36,1,931510,0,931510
37,1,210001,0,210001
38,1,1364555,5627904,1364555
39,1,1435262,7929856,1435262
40,1,253454,0,253454
41,1,6003957,30898176,6003957
42,1,1686740,6629376,1686740
43,1,677656,49160,677656
44,1,154407,4438112,154407
45,1,125614,0,125614
46,1,276455,3176288,276455
47,1,326508,0,326508
48,1,222220,0,222220
49,1,196276,0,196276
50,1,149690,0,149690
51,1,607628,0,607628
52,1,180301,0,180301
53,1,1472686,5405536,1472686
54,1,815051,0,815051
55,1,118835,69632,118835
56,1,277285,0,277285
57,1,59726,94216,59726
58,1,4539717,28696576,4539717
59,1,829473,1691648,829473
60,1,888789,2068520,888789
61,1,77191,0,77191
62,1,2854809,0,2854809
63,1,1070397,0,1070397
64,1,19116,0,19116
65,1,53068,0,53068
66,1,359070,0,359070
67,1,63834834,264449408,63834834
68,1,362095,0,362095
69,1,25144,0,25144
70,1,117300,0,117300
71,1,18919,0,18919
72,1,23897828,108613680,23897828
73,1,10081626,141570432,10081626
74,1,1682239,6070280,1682239
75,1,1441809,0,1441809
76,1,6185113,28280832,6185113
77,1,495320,0,495320
78,1,2296143,12644568,2296143
79,1,31052251,32448512,31052251
80,1,292138,548864,292138
81,1,151795,0,151795
82,1,721041,0,721041
83,1,1057993,13934688,1057993
84,1,2507412,0,2507412
85,1,3187899,0,3187899
86,1,118403,0,118403
87,1,3974071,7902720,3974071
88,1,243623,0,243623
89,1,693092,0,693092
90,1,1178363,21233592,1178363
91,1,9186769,53947008,9186769
92,1,4815554,66000096,4815554
93,1,74205,0,74205
94,1,94892,0,94892
95,1,2084853,0,2084853
96,1,84194,0,84194
97,1,11491509,10584064,11491509
98,1,177430,0,177430
99,1,1622999,5484544,1622999
100,1,151223,0,151223
1,2,116868,1152,233110
2,2,134224,216576,261945
3,2,333443,4013282,602212
4,2,199074,110592,392357
5,2,60847,882310,95618
6,2,38351,17280,82837
7,2,506754,35328,1012562
8,2,225487,999552,487605
9,2,89967,547342,153261
10,2,39899,335304,86969
11,2,92646,180224,184697
12,2,24958,94960,59088
13,2,132198,8192,263949
14,2,8859761,74348472,17698626
15,2,78150,109824,177362
16,2,4027025,404200,7715523
17,2,71079,87552,162810
18,2,498153,2194048,1004367
19,2,38506,354360,81144
20,2,266580,0,532746
21,2,3128962,7260160,6567937
22,2,27720,112464,56780
23,2,57331,74016,122614
24,2,1335245,396856,2555343
25,2,2431840,27648,4863026
26,2,46422,74016,99203
27,2,1118273,3450880,2363952
28,2,20486349,75738432,43836040
29,2,18871,10248,37555
30,2,1390496,1292288,2808034
31,2,712262,5250048,1414369
32,2,17445,6216,41443
33,2,888692,6476832,1774196
34,2,392369,1008128,842996
35,2,93692,801138,169571
36,2,466068,1152,931510
37,2,105374,204800,210001
38,2,674500,6790656,1364555
39,2,700340,9998336,1435262
40,2,134642,1227916,253454
41,2,2982616,32735232,6003957
42,2,840111,7262496,1686740
43,2,335777,506880,677656
44,2,48197,181600,154407
45,2,62983,0,125614
46,2,112410,930400,276455
47,2,197413,1264006,326508
48,2,150049,467846,222220
49,2,126174,1027062,196276
50,2,87435,1022694,149690
51,2,319230,394084,607628
52,2,86025,102912,180301
53,2,723016,4631434,1472686
54,2,465524,2642570,815051
55,2,50549,16384,118835
56,2,172836,3326338,277285
57,2,29563,26400,59726
58,2,2243125,30949376,4539717
59,2,369318,360448,829473
60,2,423532,2264192,888789
61,2,39268,34560,77191
62,2,1431735,2347008,2854809
63,2,536070,1049088,1070397
64,2,13854,46596,19116
65,2,21029,13968,53068
66,2,203504,1653418,359070
67,2,32040130,215994240,63834834
68,2,196346,1624576,362095
69,2,14953,46276,25144
70,2,54493,129536,117300
71,2,11248,171686,18919
72,2,11832440,110063664,23897828
73,2,5254133,144189824,10081626
74,2,809182,7266304,1682239
75,2,754663,4745798,1441809
76,2,3065214,31095808,6185113
77,2,247013,57344,495320
78,2,1050081,2782080,2296143
79,2,15118882,194232320,31052251
80,2,145505,1667072,292138
81,2,75991,10248,151795
82,2,407535,3389668,721041
83,2,430744,2197088,1057993
84,2,1132696,31812096,2507412
85,2,1843091,17607566,3187899
86,2,73871,1046854,118403
87,2,1986290,10142208,3974071
88,2,132639,1032234,243623
89,2,329220,1475712,693092
90,2,469626,3240624,1178363
91,2,4532609,52032556,9186769
92,2,2013738,10072672,4815554
93,2,37559,28672,74205
94,2,42420,243400,94892
95,2,1033019,73728,2084853
96,2,41628,346520,84194
97,2,5152906,2490368,11491509
98,2,89551,0,177430
99,2,803543,5488640,1622999
100,2,71342,466686,151223
1,3,78545,2304,233110
2,3,90515,423936,261945
3,3,274348,9497892,602212
4,3,134043,221184,392357
5,3,54097,1475274,95618
6,3,27680,52628,82837
7,3,338094,55296,1012562
8,3,154543,516096,487605
9,3,72361,737384,153261
10,3,29582,48384,86969
11,3,63214,1658880,184697
12,3,17099,189892,59088
