case,cores,q2_no_l2,q2_plan_l2,q3_plan_no_l2,q3_plan_l2,q3_plan_added,q3_plan_cache_ratio,graph_sha256,plan_sha256,evaluation_seconds
1,1,233110,233110,233110,233110,0,1.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,d5753ab9908d0b6f0e08f468483eb9df898272d3f675fa9253ec80f9a325a92e,0.09013100003357977
1,2,116868,116868,116868,116868,1152,1.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,0040a23dc730aa8e8fe425b4ff3ea2a72aefcd3b896a9f9efafc82f7de6897a5,0.07619870000053197
1,3,78545,78545,78545,78545,2304,1.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,a6063c8a12cfb0cb464ac7480454ac2e51d5e31e3416f5d0166d7481869d3b67,0.06488570000510663
1,4,58984,58984,58984,58984,3456,1.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,eeccf28f989ea7980e959263b12ef31c0385c9a3fc32aae307f00370374fe8f6,0.06982950004749
1,5,47502,47502,47502,47502,4608,1.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,3963d4ccddacb77293b6bfe4fb886fcee56d01e3410255737c44d548e7a6b586,0.06889479991514236
2,1,261945,261945,261945,261945,0,1.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dddf63d4ee08a357e8b9541eeccd32b08633fec4729541de8e48c5ce1f422907,0.31206890009343624
2,2,134224,134224,134068,134068,245760,1.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,ce3cfd04519c408cd85312a76be03610039cfebc1d4035ca94ad66549b4df806,0.2361113999504596
2,3,90565,90565,90565,90565,423936,1.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,2f361a1c69d709418ca6515330fa6ba9a5e0b6f58eaeb3b061c31880128b7d23,0.304422999965027
2,4,68574,68574,68574,68574,377856,1.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,51cb391220173b527a3b633b6c123c3f46529cc6d49c9a955668d34a492e304a,0.22525220003444701
2,5,55189,55189,55189,55189,514560,1.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,256f4f36d92c547967db8e1986ff143269ed8586b80c9b1ab2c3f4b273901c38,0.22566859994549304
3,1,602212,602212,602212,602212,0,1.0,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,59e61548feaac7f30e65f6e04ca4e46b9086de91c1484308305fc0f77f4d4eae,4.74226039997302
3,2,341181,340455,340969,340046,6564470,1.0027143386483006,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,3a8e16639b7efb1f93a2158b80a05e29e84e67e7580fdff438c5b907e170ae26,8.05316250002943
3,3,274348,265160,274348,265160,9497892,1.0346507768894253,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,335fdfb6d22a1043230eaa6e8a5c85ae4bca01d0b8a1a9b089b836d5c69adcad,8.30672350001987
3,4,217774,210167,217774,210167,7333194,1.0361950258603871,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,f320f1b0d2ba91db9bc3d9a4886069ccab747b6057a7795304710867ff51b026,6.184777799993753
3,5,199233,187997,199233,187997,7908308,1.0597669111741146,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,d4f72c4fdad9f5368bb2612ca47689fb1376f6f9ddae0d1f7c108c8ac1800937,5.617530300049111
4,1,392357,392357,392357,392357,0,1.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,2be095fa21b5a684c0942382e4142aacda3287bbe85f3ede09ab7a5f720f5245,0.08680389996152371
4,2,199074,199074,199074,199074,110592,1.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,98de9bc9f39570a287ffd2e1129e9e78c5a3d5fc2142f4281fb36438113305da,0.08396120008546859
4,3,134043,134043,134043,134043,221184,1.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,db11d22050df733605df72113c4dc0f630b4a3c8f308066e288422624de26ac1,0.06999460002407432
4,4,104188,104188,104188,104188,331776,1.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dbfebd8373e1d3cdb8c36910e549a95832b684e9e1d6fedef1939150c3c09bb9,0.06912600004579872
4,5,88341,88341,88341,88341,442368,1.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,64dfb598f993236d36d0905d10ea638ffc12ba0e401c4468a6163c543301d4f5,0.061038400046527386
5,1,95618,95618,95618,95618,0,1.0,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,211f957dba459390e4ce523f4c2fef4afd01dd3b8380d80aabdd3d6e313d3a13,0.5955312000587583
5,2,61371,60812,61371,60812,882310,1.0091922646846017,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,359f4c7ba048c04b3f93b7e7861931b1ef18677527c55e8927f48cc3acec45fd,0.765290500014089
5,3,54267,52965,54530,52658,1465868,1.035550153822781,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,01cf69e8087a00c1c452862d1ee579aa59f8e68f7869796ca7eb96bc5986782b,0.7964064999250695
