case,cores,makespan,added,single,no_l2_makespan,no_l2_added,cache_hit_rate,same_plan_cache_ratio
1,1,233110,0,233110,233110,0,0.0,1.0
2,1,261945,0,261945,261945,0,0.0,1.0
3,1,602212,0,602212,602212,0,0.0,1.0
4,1,392357,0,392357,392357,0,0.0,1.0
5,1,95618,0,95618,95618,0,0.0,1.0
6,1,82837,16400,82837,82837,16400,0.029275126148920052,1.0
7,1,1012562,0,1012562,1012562,0,0.0,1.0
8,1,487605,0,487605,487605,0,0.0,1.0
9,1,153261,0,153261,153261,0,0.0,1.0
10,1,86969,0,86969,86969,0,0.0,1.0
11,1,184697,0,184697,184697,0,0.0,1.0
12,1,59088,0,59088,59088,0,0.0,1.0
13,1,263949,0,263949,263949,0,0.0,1.0
14,1,17689602,71010720,17698626,17698626,71010720,0.12291025483195864,1.0005101301883446
15,1,177362,180256,177362,177362,180256,0.1692685978123867,1.0
16,1,7715523,0,7715523,7715523,0,0.0,1.0
17,1,162810,22528,162810,162810,22528,0.040398388942088706,1.0
18,1,1003110,1970176,1004367,1004367,1970176,0.34375031576536474,1.0012531028501361
19,1,81144,0,81144,81144,0,0.0,1.0
20,1,532746,0,532746,532746,0,0.0,1.0
21,1,6558837,4501504,6567937,6567937,4501504,0.5005973715651135,1.0013874410966457
22,1,56780,0,56780,56780,0,0.0,1.0
23,1,122614,0,122614,122614,0,0.0,1.0
24,1,2555343,0,2555343,2555343,0,0.0,1.0
25,1,4863026,0,4863026,4863026,0,0.0,1.0
26,1,99203,0,99203,99203,0,0.0,1.0
27,1,2359515,1400832,2363952,2363952,1400832,0.2689393939393939,1.0018804711985303
28,1,43836040,277412256,43836040,43836040,277412256,0.0,1.0
29,1,37555,0,37555,37555,0,0.0,1.0
30,1,2807891,5519360,2808034,2808034,5519360,0.259867995341012,1.0000509279028282
31,1,1414159,3491328,1414369,1414369,3491328,0.26059362793218216,1.0001484981533193
32,1,41443,0,41443,41443,0,0.0,1.0
33,1,1774080,4592640,1774196,1774196,4592640,0.09627692445862406,1.000065386002886
34,1,842733,1079832,842996,842996,1079832,0.309046599146855,1.0003120798639664
35,1,169571,0,169571,169571,0,0.0,1.0
36,1,931510,0,931510,931510,0,0.0,1.0
37,1,210001,0,210001,210001,0,0.0,1.0
38,1,1363312,5627904,1364555,1364555,5627904,0.1736168151396097,1.0009117502083162
39,1,1435262,7929856,1435262,1435262,7929856,0.0,1.0
40,1,253454,0,253454,253454,0,0.0,1.0
41,1,6001575,30898176,6003957,6003957,30898176,0.10163681549404405,1.0003968958148486
42,1,1675633,6629376,1686740,1686740,6629376,0.3186917583766532,1.0066285397816825
43,1,677656,49160,677656,677656,49160,0.03320740032104811,1.0
44,1,107814,4438112,154407,154407,4438112,0.8199885718367201,1.4321609438477378
45,1,125614,0,125614,125614,0,0.0,1.0
46,1,244994,3176288,276455,276455,3176288,0.7530304668077024,1.1284153897646474
47,1,326508,0,326508,326508,0,0.0,1.0
48,1,222220,0,222220,222220,0,0.0,1.0
49,1,196276,0,196276,196276,0,0.0,1.0
50,1,149690,0,149690,149690,0,0.0,1.0
51,1,607628,0,607628,607628,0,0.0,1.0
52,1,180301,0,180301,180301,0,0.0,1.0
53,1,1428109,5405536,1472686,1472686,5405536,0.6248708378144704,1.0312140039730862
54,1,815051,0,815051,815051,0,0.0,1.0
55,1,118835,69632,118835,118835,69632,0.10014324257468461,1.0
56,1,277285,0,277285,277285,0,0.0,1.0
57,1,59726,94216,59726,59726,94216,0.21868152274837513,1.0
58,1,4539717,28696576,4539717,4539717,28696576,0.0,1.0
59,1,815938,1691648,829473,829473,1691648,0.6100443131462334,1.0165882701871956
60,1,887801,2068520,888789,888789,2068520,0.4231432279268349,1.001112862003985
61,1,77191,0,77191,77191,0,0.0,1.0
62,1,2854809,0,2854809,2854809,0,0.0,1.0
63,1,1070397,0,1070397,1070397,0,0.0,1.0
64,1,19116,0,19116,19116,0,0.0,1.0
65,1,53068,0,53068,53068,0,0.0,1.0
66,1,359070,0,359070,359070,0,0.0,1.0
67,1,63834834,264449408,63834834,63834834,264449408,0.0,1.0
68,1,362095,0,362095,362095,0,0.0,1.0
69,1,25144,0,25144,25144,0,0.0,1.0
70,1,117300,0,117300,117300,0,0.0,1.0
71,1,18919,0,18919,18919,0,0.0,1.0
72,1,23890756,108613680,23897828,23897828,108613680,0.026210198484652728,1.000296014073393
73,1,10081626,141570432,10081626,10081626,141570432,0.0,1.0
74,1,1678120,6070280,1682239,1682239,6070280,0.16680485013829857,1.002454532452983
75,1,1441809,0,1441809,1441809,0,0.0,1.0
76,1,6183098,28280832,6185113,6185113,28280832,0.13357661937269952,1.0003258884138664
77,1,495320,0,495320,495320,0,0.0,1.0
78,1,2296143,12644568,2296143,2296143,12644568,0.0,1.0
79,1,31052251,32448512,31052251,31052251,32448512,0.0,1.0
80,1,291826,548864,292138,292138,548864,0.1686143572621035,1.0010691302351402
81,1,151795,0,151795,151795,0,0.0,1.0
82,1,721041,0,721041,721041,0,0.0,1.0
83,1,946145,13934688,1057993,1057993,13934688,0.7958684091545202,1.1182144385902795
84,1,2507412,0,2507412,2507412,0,0.0,1.0
85,1,3187899,0,3187899,3187899,0,0.0,1.0
86,1,118403,0,118403,118403,0,0.0,1.0
87,1,3969779,7902720,3974071,3974071,7902720,0.18336776784760794,1.0010811684982968
88,1,243623,0,243623,243623,0,0.0,1.0
89,1,693092,0,693092,693092,0,0.0,1.0
90,1,1178363,21233592,1178363,1178363,21233592,0.0,1.0
91,1,9168820,53947008,9186769,9186769,53947008,0.10538579237748164,1.001957612866214
92,1,4333631,66000096,4815554,4815554,66000096,0.7935495964003455,1.111205361047122
93,1,74205,0,74205,74205,0,0.0,1.0
94,1,94892,0,94892,94892,0,0.0,1.0
95,1,2084853,0,2084853,2084853,0,0.0,1.0
96,1,84194,0,84194,84194,0,0.0,1.0
97,1,11491509,10584064,11491509,11491509,10584064,0.0,1.0
98,1,177430,0,177430,177430,0,0.0,1.0
99,1,1618902,5484544,1622999,1622999,5484544,0.25235465023466686,1.002530727616619
100,1,151223,0,151223,151223,0,0.0,1.0
1,2,116868,1152,233110,116868,1152,0.0,1.0
2,2,132388,230400,261945,132388,230400,0.04049493813273341,1.0
3,2,333370,4013282,602212,333443,4013282,0.09245765295088304,1.0002189759126496
4,2,199074,110592,392357,199074,110592,0.0,1.0
5,2,60660,882310,95618,60854,882310,0.12833539303420385,1.0031981536432575
6,2,38717,16256,82837,38717,16256,0.029053474406634257,1.0
7,2,506606,104448,1012562,506606,104448,0.01610305958132045,1.0
8,2,224747,1036416,487605,224747,1036416,0.0,1.0
9,2,89589,542126,153261,89590,542126,0.058752526245231,1.000011162084631
10,2,40452,286920,86969,40668,286920,0.12296788104565395,1.0053396618214179
11,2,92646,180224,184697,92646,180224,0.0,1.0
12,2,24280,70380,59088,24280,70380,0.020855327598626416,1.0
13,2,132198,8192,263949,132198,8192,0.0,1.0
14,2,8895264,74110392,17698626,8904271,74110392,0.22639090661363676,1.001012561291042
15,2,82522,183568,177362,82522,183568,0.07981708584493868,1.0
16,2,4026193,404200,7715523,4027025,404200,0.49653249554250156,1.0002066468249287
17,2,66218,87552,162810,66218,87552,0.022201165946649108,1.0
18,2,497046,3437568,1004367,498345,3437568,0.4602760466656753,1.0026134402047295
19,2,37458,387128,81144,37458,387128,0.11587288752324736,1.0
20,2,266580,0,532746,266580,0,0.0,1.0
21,2,3137119,7327744,6567937,3137808,7327744,0.399746192893401,1.0002196282640219
22,2,27826,145236,56780,27826,145236,0.07491573997457063,1.0
23,2,56835,74016,122614,57018,74016,0.14566121801557844,1.0032198469253102
24,2,1334413,396856,2555343,1335245,396856,0.4988455468555741,1.0006234951248227
25,2,2431840,27648,4863026,2431840,27648,0.0,1.0
26,2,44686,109756,99203,44686,109756,0.11555549394567395,1.0
27,2,1117252,1634304,2363952,1117252,1634304,0.10600706713780919,1.0
28,2,20474273,75738432,43836040,20486349,75738432,0.03827809052207227,1.000589813372128
29,2,18880,16388,37555,18880,16388,0.0,1.0
30,2,1390292,1292288,2808034,1390496,1292288,0.3450958599611003,1.0001467317657011
31,2,711649,5250048,1414369,712262,5250048,0.43054214277913205,1.0008613796970136
32,2,17378,6216,41443,17378,6216,0.0217820949497498,1.0
33,2,887618,6648864,1774196,889278,6648864,0.21012644786487564,1.0018701738811064
34,2,389539,943616,842996,390278,943616,0.28890929395706666,1.00189711428124
35,2,93683,801138,169571,93684,801138,0.15466443900384597,1.0000106742952297
36,2,466068,1152,931510,466068,1152,0.0,1.0
37,2,105374,204800,210001,105374,204800,0.0,1.0
38,2,674382,6790656,1364555,674500,6790656,0.2788309681150929,1.000174975014161
39,2,697932,9785344,1435262,701354,9785344,0.4137628111273792,1.0049030564582222
40,2,134149,1227916,253454,134642,1227916,0.1273465999855112,1.0036750180769145
41,2,2982392,31100928,6003957,2986252,31100928,0.16795909671921602,1.0012942631283883
42,2,839453,7262496,1686740,840111,7262496,0.412961965735256,1.000783843764928
43,2,342932,477184,677656,342932,477184,0.25007284428093784,1.0
44,2,46025,895072,154407,55792,895072,0.3793460954567334,1.2122107550244432
45,2,62983,0,125614,62983,0,0.0,1.0
46,2,112310,991840,276455,112310,991840,0.3339873769580431,1.0
47,2,197408,1264006,326508,197413,1264006,0.10642081584830353,1.000025328254174
48,2,149459,467846,222220,149459,467846,0.14522036592318724,1.0
49,2,125566,1047286,196276,125566,1047286,0.03429068148186911,1.0
50,2,86990,1022694,149690,87003,1022694,0.045964059629304645,1.000149442464651
51,2,318398,394084,607628,319230,394084,0.49972422242160675,1.0026130817404633
52,2,84815,102912,180301,84855,102912,0.08243989852742081,1.0004716146907977
53,2,722908,4636042,1472686,722906,4636042,0.2396489462378009,0.9999972333962275
54,2,465795,2620302,815051,465795,2620302,0.05590823839747427,1.0
55,2,49343,16384,118835,49447,16384,0.025517228490085284,1.0021076951137953
56,2,172799,3326338,277285,172793,3326338,0.04506471972725184,0.9999652775768378
57,2,29563,18208,59726,29563,18208,0.0513196315629263,1.0
58,2,2228121,55287808,4539717,2230952,55287808,0.07734039034072114,1.0012705773160435
59,2,369318,360448,829473,369318,360448,0.0,1.0
60,2,428579,2675840,888789,428990,2675840,0.4452390247662197,1.000958983057966
61,2,39173,34560,77191,39268,34560,0.05973079661802017,1.0024251397646338
62,2,1431735,2297856,2854809,1431735,2297856,0.0018730489073881373,1.0
63,2,536070,1049088,1070397,536070,1049088,0.005687973997833153,1.0
64,2,13858,47620,19116,13858,47620,0.025580545496827346,1.0
65,2,21281,13968,53068,21281,13968,0.029838565708602178,1.0
66,2,202704,1653418,359070,202704,1653418,0.09155976497918207,1.0
67,2,31763756,215908736,63834834,32105013,215908736,0.2374355335881185,1.0107435971992733
68,2,196325,1624576,362095,196346,1624576,0.10132439489303485,1.0001069654908952
69,2,14851,348422,25144,14880,348422,0.07725639964212747,1.0019527304558615
70,2,53223,129536,117300,53322,129536,0.235779786455622,1.0018600980778987
71,2,11204,162950,18919,11260,162950,0.07891665856267627,1.0049982149232417
72,2,11798958,114166560,23897828,11807716,114166560,0.10503271263130515,1.0007422689359518
73,2,5041517,85522816,10081626,5576908,85522816,0.1934909583799359,1.106196408739671
74,2,810220,3997696,1682239,810616,3997696,0.36301257796268493,1.0004887561403075
75,2,754663,4745798,1441809,754663,4745798,0.10445145176790809,1.0
76,2,3063843,31095808,6185113,3065214,31095808,0.27878156126940007,1.0004474772369212
77,2,247101,57344,495320,247101,57344,0.026082004763022353,1.0
78,2,1049840,2782080,2296143,1050081,2782080,0.3321265243902439,1.0002295587899108
79,2,15116703,193798144,31052251,15116703,193798144,0.0010918242718087271,1.0
80,2,145475,1794048,292138,145475,1794048,0.3798449612403101,1.0
81,2,76860,0,151795,76860,0,0.0,1.0
82,2,407358,3389412,721041,407392,3389412,0.07334800617247658,1.0000834646674424
83,2,425955,2180704,1057993,433526,2180704,0.19819672514073486,1.0177741780235001
84,2,1118852,24488448,2507412,1122732,24488448,0.05489970795538879,1.0034678402505426
