2026-09-26T08:38:31+0800
 08:38:31 up 131 days, 21:44, 15 users,  load average: 23.28, 15.29, 6.91
  PID     ELAPSED %CPU   RSS COMMAND
31031       05:56 93.5 507660 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31034       05:56 93.1 286028 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31043       05:56 93.1 183660 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31040       05:56 93.0 269876 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31035       05:56 92.9 285328 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31037       05:56 92.9 230024 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31041       05:56 92.7 257504 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31030       05:56 92.6 475420 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31039       05:56 92.6 262632 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31033       05:56 92.2 359640 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31038       05:56 92.2 291920 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
30761       06:47 92.1 228112 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -m unittest discover -s tests -v
31044       05:56 92.1 165768 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31029       05:56 92.0 530712 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31036       05:56 92.0 300768 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31032       05:56 91.8 419540 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31755       04:22 90.9 1170532 /home/xihs/q1-runtime/venv/bin/python 程序/q1_submit.py 数据/processed/q1/data/case_076.json -n 5 --output ?表/runs/20260926-A-q123-equivalent-cold/case_076/5/q1 --verify-final --final-check-backend counter
31042       05:56 90.8 173332 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u src/run_experiments.py --mode full --problems 1 --cores 1 2 3 4 --budget standard --workers 16 --output ../../results_p1_n1to4
31753       04:22 89.4 1173372 /home/xihs/q1-runtime/venv/bin/python 程序/q1_submit.py 数据/processed/q1/data/case_072.json -n 5 --output ?表/runs/20260926-A-q123-equivalent-cold/case_072/5/q1 --verify-final --final-check-backend counter
31754       04:22 89.0 1289488 /home/xihs/q1-runtime/venv/bin/python 程序/q1_submit.py 数据/processed/q1/data/case_014.json -n 5 --output ?表/runs/20260926-A-q123-equivalent-cold/case_014/5/q1 --verify-final --final-check-backend counter
  328       02:36 87.0 59176 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u ../../allin2_delivery.py recover --project /home/xihs/q1-runs/allin2-20260926-da469d8e/Allin2/npu_schedule_project --root /home/xihs/q1-runs/allin2-20260926-da469d8e --workers 3
  329       02:36 84.7 138084 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u ../../allin2_delivery.py recover --project /home/xihs/q1-runs/allin2-20260926-da469d8e/Allin2/npu_schedule_project --root /home/xihs/q1-runs/allin2-20260926-da469d8e --workers 3
  330       02:36 84.2 92256 /home/xihs/q1-runtime/python-3.12.14/bin/python3.12 -u ../../allin2_delivery.py recover --project /home/xihs/q1-runs/allin2-20260926-da469d8e/Allin2/npu_schedule_project --root /home/xihs/q1-runs/allin2-20260926-da469d8e --workers 3
30038       07:43  3.9  4144 -bash
